dataset,representation,predictor,components,median_delta_nap,median_delta_null_adjusted_nap,configuration
CHEMBL1862_Ki,molformer,mlp,8,-0.0603263041293237,-0.0500631524919675,MoLFormer · MLP
CHEMBL1862_Ki,molformer,xgboost,8,0.0190207436926222,0.0283109468281264,MoLFormer · XGB
CHEMBL1862_Ki,morgan,mlp,8,-0.0878837131948904,-0.0921226920741374,Morgan · MLP
CHEMBL1862_Ki,morgan,xgboost,8,-0.0141127334629993,-0.0494062484555434,Morgan · XGB
CHEMBL1862_Ki,unimol,mlp,8,0.0197974685402134,0.0228927410858756,Uni-Mol · MLP
CHEMBL1862_Ki,unimol,xgboost,8,0.1189878969558418,0.1202049080817169,Uni-Mol · XGB
CHEMBL1871_Ki,molformer,mlp,11,-0.0078193645503206,-0.010921257802186,MoLFormer · MLP
CHEMBL1871_Ki,molformer,xgboost,11,0.0007535460992907,-0.0059978097257352,MoLFormer · XGB
CHEMBL1871_Ki,morgan,mlp,11,-0.0052287048131923,-0.0086479904758471,Morgan · MLP
CHEMBL1871_Ki,morgan,xgboost,11,0.0354456018518519,0.0013283512205387,Morgan · XGB
CHEMBL1871_Ki,unimol,mlp,11,7.728677941439867e-05,0.0041038925022967,Uni-Mol · MLP
CHEMBL1871_Ki,unimol,xgboost,11,-0.0086686712302474,-0.0115195193193751,Uni-Mol · XGB
CHEMBL2034_Ki,molformer,mlp,12,0.0138329448407426,0.0026452142912991,MoLFormer · MLP
CHEMBL2034_Ki,molformer,xgboost,12,0.0159349876336506,0.0089824137622591,MoLFormer · XGB
CHEMBL2034_Ki,morgan,mlp,12,0.0386016536648799,0.0364644150770559,Morgan · MLP
CHEMBL2034_Ki,morgan,xgboost,12,-0.0026562879504055,-0.0205493079066263,Morgan · XGB
CHEMBL2034_Ki,unimol,mlp,12,-0.0512947163515344,-0.0373947041892899,Uni-Mol · MLP
CHEMBL2034_Ki,unimol,xgboost,12,-0.0348759327938536,-0.0369832351960416,Uni-Mol · XGB
CHEMBL2047_EC50,molformer,mlp,10,-0.027316983310511,-0.024707401488907,MoLFormer · MLP
CHEMBL2047_EC50,molformer,xgboost,10,-0.0307546310282456,-0.0304416325981464,MoLFormer · XGB
CHEMBL2047_EC50,morgan,mlp,10,0.0094891461874847,0.0117657509156482,Morgan · MLP
CHEMBL2047_EC50,morgan,xgboost,10,-0.0117827926114768,-0.0140808347592821,Morgan · XGB
CHEMBL2047_EC50,unimol,mlp,10,-0.0153706272406324,-0.0094974004821973,Uni-Mol · MLP
CHEMBL2047_EC50,unimol,xgboost,10,0.000629345580577,0.0005699948215261,Uni-Mol · XGB
CHEMBL204_Ki,molformer,mlp,47,0.0254945613902886,0.0252296049180167,MoLFormer · MLP
