dataset,component_id,representation,predictor,mapping_combinations_evaluated,chosen_mapping_nap,minimum_mapping_nap,maximum_mapping_nap,mapping_nap_range
CHEMBL1862_Ki,10,morgan,xgboost,2,0.011114731544839,0.011114731544839,0.0120967741935483,0.0009820426487093
CHEMBL1862_Ki,10,morgan,mlp,2,0.0349455337690631,0.0349455337690631,0.0610021786492374,0.0260566448801742
CHEMBL1862_Ki,10,molformer,xgboost,2,0.0648148148148148,0.0648148148148148,0.0771604938271604,0.0123456790123456
CHEMBL1862_Ki,10,molformer,mlp,2,0.0277777777777777,0.0277777777777777,0.0563725490196078,0.02859477124183
CHEMBL1862_Ki,10,unimol,xgboost,2,0.011114731544839,0.0105920314253647,0.011114731544839,0.0005227001194743
CHEMBL1862_Ki,10,unimol,mlp,2,0.0551440329218106,0.0551440329218106,0.0853909465020576,0.0302469135802469
CHEMBL1871_Ki,19,morgan,xgboost,2,0.2352941176470588,0.1647058823529411,0.2352941176470588,0.0705882352941176
CHEMBL1871_Ki,19,morgan,mlp,2,0.6218487394957982,0.3571428571428571,0.6218487394957982,0.264705882352941
CHEMBL1871_Ki,19,molformer,xgboost,2,0.1617647058823529,0.125,0.1617647058823529,0.0367647058823529
CHEMBL1871_Ki,19,molformer,mlp,2,0.3823529411764705,0.2941176470588235,0.3823529411764705,0.0882352941176469
CHEMBL1871_Ki,19,unimol,xgboost,2,0.3235294117647059,0.2941176470588235,0.3235294117647059,0.0294117647058823
CHEMBL1871_Ki,19,unimol,mlp,2,0.0756302521008403,0.0756302521008403,0.1058823529411764,0.0302521008403361
CHEMBL1871_Ki,35,morgan,xgboost,2,0.0275801809210526,0.0275801809210526,0.0275801809210526,0.0
CHEMBL1871_Ki,35,morgan,mlp,2,0.0088575946112711,0.0088575946112711,0.0088575946112711,0.0
CHEMBL1871_Ki,35,molformer,xgboost,2,0.0927572917492272,0.0927572917492272,0.0927572917492272,0.0
CHEMBL1871_Ki,35,molformer,mlp,2,0.0792247274784039,0.0792247274784039,0.0792247274784039,0.0
CHEMBL1871_Ki,35,unimol,xgboost,2,0.3935069444444445,0.3935069444444445,0.3935069444444445,0.0
CHEMBL1871_Ki,35,unimol,mlp,2,0.1368663793103448,0.1368663793103448,0.1368663793103448,0.0
CHEMBL1871_Ki,37,morgan,xgboost,4,-0.004497227093789,-0.004497227093789,0.0040015322114218,0.0084987593052109
CHEMBL1871_Ki,37,morgan,mlp,4,0.0709756299734747,0.0581896551724138,0.0757833222811671,0.0175936671087533
CHEMBL1871_Ki,37,molformer,xgboost,4,-0.000280969030969,-0.000280969030969,0.0139713227948522,0.0142522918258212
CHEMBL1871_Ki,37,molformer,mlp,4,0.0062899057464274,0.0062899057464274,0.0381289905746427,0.0318390848282152
CHEMBL1871_Ki,37,unimol,xgboost,4,0.0157409750337382,0.0157409750337382,0.0489548828364617,0.0332139078027235
CHEMBL1871_Ki,37,unimol,mlp,4,0.0306776556776556,0.0306776556776556,0.053371108058608,0.0226934523809523
CHEMBL2034_Ki,16,morgan,xgboost,2,0.0146741406040186,0.0099291521614871,0.0146741406040186,0.0047449884425314
CHEMBL2034_Ki,16,morgan,mlp,2,0.0012052114226027,0.0012052114226027,0.0017144706818619,0.0005092592592592
CHEMBL2034_Ki,16,molformer,xgboost,2,0.0562075905692927,0.0562075905692927,0.0971985815602837,0.0409909909909909
CHEMBL2034_Ki,16,molformer,mlp,2,0.0263464506172839,0.0263464506172839,0.0272376543209876,0.0008912037037037
CHEMBL2034_Ki,16,unimol,xgboost,2,0.1062412775093934,0.0848523886205045,0.1062412775093934,0.0213888888888889
CHEMBL2034_Ki,16,unimol,mlp,2,0.0804708113686442,0.0659869002129064,0.0804708113686442,0.0144839111557377
CHEMBL2047_EC50,30,morgan,xgboost,2,0.1944444444444444,0.1944444444444444,0.2077020202020202,0.0132575757575757
CHEMBL2047_EC50,30,morgan,mlp,2,0.2788682277318641,0.2217312008978676,0.2788682277318641,0.0571370268339964
CHEMBL2047_EC50,30,molformer,xgboost,2,0.5757575757575757,0.5227272727272728,0.5757575757575757,0.0530303030303028
CHEMBL2047_EC50,30,molformer,mlp,2,0.1180830039525691,0.1143939393939393,0.1180830039525691,0.0036890645586297
CHEMBL2047_EC50,30,unimol,xgboost,2,0.0537135386711372,0.0537135386711372,0.0544888354990656,0.0007752968279284
CHEMBL2047_EC50,30,unimol,mlp,2,0.158266129032258,0.158266129032258,0.3434343434343434,0.1851682144020853
CHEMBL204_Ki,0,morgan,xgboost,2,0.0601604278074866,0.0601604278074866,0.0618534345556404,0.0016930067481538
CHEMBL204_Ki,0,morgan,mlp,2,0.0404129009392167,0.0350229469778341,0.0404129009392167,0.0053899539613825
CHEMBL204_Ki,0,molformer,xgboost,2,0.0816071428571428,0.0581150793650793,0.0816071428571428,0.0234920634920635
CHEMBL204_Ki,0,molformer,mlp,2,0.9471428571428572,0.7797619047619048,0.9471428571428572,0.1673809523809523
CHEMBL204_Ki,0,unimol,xgboost,2,0.1140422077922077,0.0512847066726377,0.1140422077922077,0.06275750111957
CHEMBL204_Ki,0,unimol,mlp,2,0.598489010989011,0.5540178571428571,0.598489010989011,0.0444711538461538
CHEMBL204_Ki,4,morgan,xgboost,2,0.0006990881458966,0.0006990881458966,0.002127659574468,0.0014285714285714
CHEMBL204_Ki,4,morgan,mlp,2,0.0028956228956228,0.0004105571847507,0.0028956228956228,0.0024850657108721
CHEMBL204_Ki,4,molformer,xgboost,2,0.0297142857142857,0.0297142857142857,0.5097142857142858,0.4800000000000001
CHEMBL204_Ki,4,molformer,mlp,2,0.0378609625668449,0.0378609625668449,0.0861764705882352,0.0483155080213903
CHEMBL204_Ki,4,unimol,xgboost,2,0.0137244897959183,0.0137244897959183,0.1112244897959183,0.0974999999999999
CHEMBL204_Ki,4,unimol,mlp,2,-0.0025255102040816,-0.0029499999999999,-0.0025255102040816,0.0004244897959183
CHEMBL204_Ki,20,morgan,xgboost,2,0.1152073732718893,0.1152073732718893,0.1152073732718893,0.0
