dataset,component_id,representation,predictor,explainer,label_permuted,trained,delta_sanity
CHEMBL1862_Ki,3,molformer,mlp,crem_lime,-0.00790953459176357,-0.0355413170161602,-0.02763178242439663
CHEMBL1862_Ki,3,molformer,mlp,crem_mean,0.12895427739729584,0.06830218855287128,-0.060652088844424565
CHEMBL1862_Ki,3,molformer,xgboost,crem_lime,0.004699050582678333,0.08842761462532489,0.08372856404264656
CHEMBL1862_Ki,3,molformer,xgboost,crem_mean,0.14094855285955102,0.16767114421487508,0.026722591355324066
CHEMBL1862_Ki,3,morgan,mlp,crem_lime,0.32187522652818806,0.22646084704351455,-0.09541437948467352
CHEMBL1862_Ki,3,morgan,mlp,crem_mean,0.3165081271236205,0.24595245191781692,-0.07055567520580355
CHEMBL1862_Ki,3,morgan,xgboost,crem_lime,0.06278136958883486,0.0219803667313387,-0.04080100285749616
CHEMBL1862_Ki,3,morgan,xgboost,crem_mean,0.16657272105788895,0.36226870589376775,0.1956959848358788
CHEMBL1862_Ki,3,unimol,mlp,crem_lime,-0.04264644059226073,0.0656889374436199,0.10833537803588061
CHEMBL1862_Ki,3,unimol,mlp,crem_mean,0.11559785969779379,0.12005992745100742,0.0044620677532136305
CHEMBL1862_Ki,3,unimol,xgboost,crem_lime,0.1400232972759948,0.03590825894034196,-0.10411503833565283
CHEMBL1862_Ki,3,unimol,xgboost,crem_mean,0.16316597817912107,0.15923186990786672,-0.003934108271254344
CHEMBL1862_Ki,8,molformer,mlp,crem_lime,0.049172132731002634,0.05074602409216047,0.0015738913611578337
CHEMBL1862_Ki,8,molformer,mlp,crem_mean,0.04287145728030331,-0.0171290621339196,-0.06000051941422291
CHEMBL1862_Ki,8,molformer,xgboost,crem_lime,-0.0209342238123585,0.23918956530742352,0.260123789119782
CHEMBL1862_Ki,8,molformer,xgboost,crem_mean,0.051853635644576235,0.041127065305843535,-0.0107265703387327
CHEMBL1862_Ki,8,morgan,mlp,crem_lime,0.3384458791125171,-0.01766289968077143,-0.35610877879328856
CHEMBL1862_Ki,8,morgan,mlp,crem_mean,0.1372213809121447,0.03200962972816727,-0.10521175118397744
CHEMBL1862_Ki,8,morgan,xgboost,crem_lime,0.27162660440833103,-0.016782918234829934,-0.28840952264316094
CHEMBL1862_Ki,8,morgan,xgboost,crem_mean,0.10446214052204834,0.09464108603187614,-0.009821054490172204
CHEMBL1862_Ki,8,unimol,mlp,crem_lime,0.17643255952499073,0.08735406041256578,-0.08907849911242495
CHEMBL1862_Ki,8,unimol,mlp,crem_mean,0.12826901477796612,0.06012523505876923,-0.06814377971919688
CHEMBL1862_Ki,8,unimol,xgboost,crem_lime,0.25325904222365486,0.07882945903933443,-0.17442958318432045
CHEMBL1862_Ki,8,unimol,xgboost,crem_mean,0.10776490689486967,0.1112705161603274,0.003505609265457732
CHEMBL1862_Ki,9,molformer,mlp,crem_lime,0.07669138074206083,0.21202534860512426,0.13533396786306343
CHEMBL1862_Ki,9,molformer,mlp,crem_mean,0.10679948398093397,0.11543621407258849,0.008636730091654513
CHEMBL1862_Ki,9,molformer,xgboost,crem_lime,0.19980707572452908,0.06233107738399041,-0.13747599834053867
CHEMBL1862_Ki,9,molformer,xgboost,crem_mean,0.12971483910975967,0.13153376912981418,0.00181893002005451
CHEMBL1862_Ki,9,morgan,mlp,crem_lime,0.1522336947185904,0.28084746494185037,0.12861377022325995
CHEMBL1862_Ki,9,morgan,mlp,crem_mean,0.19749379290341648,0.2600600197963027,0.06256622689288624
CHEMBL1862_Ki,9,morgan,xgboost,crem_lime,0.1408106279760182,0.10493733019725081,-0.035873297778767396
CHEMBL1862_Ki,9,morgan,xgboost,crem_mean,0.1790928059288006,0.0583202825244224,-0.12077252340437822
CHEMBL1862_Ki,9,unimol,mlp,crem_lime,0.25981294600456994,0.1230420710946641,-0.13677087490990586
CHEMBL1862_Ki,9,unimol,mlp,crem_mean,0.2755557021678896,0.08149262672095434,-0.19406307544693527
CHEMBL1862_Ki,9,unimol,xgboost,crem_lime,0.09006550590071788,0.22827292854561387,0.138207422644896
CHEMBL1862_Ki,9,unimol,xgboost,crem_mean,0.23495924794799194,0.36256302907582433,0.12760378112783238
CHEMBL1862_Ki,10,molformer,mlp,crem_lime,-0.009290181886472364,-0.040516173797262835,-0.031225991910790472
CHEMBL1862_Ki,10,molformer,mlp,crem_mean,0.16505933183620158,0.1844821676406152,0.01942283580441362
CHEMBL1862_Ki,10,molformer,xgboost,crem_lime,0.012314196764293467,0.017968679860583765,0.005654483096290299
CHEMBL1862_Ki,10,molformer,xgboost,crem_mean,0.1262753455999391,0.19367802291762115,0.06740267731768204
CHEMBL1862_Ki,10,morgan,mlp,crem_lime,0.2969873685072294,0.14827463138904826,-0.14871273711818114
CHEMBL1862_Ki,10,morgan,mlp,crem_mean,0.2701160540733107,0.28466414140358764,0.01454808733027696
CHEMBL1862_Ki,10,morgan,xgboost,crem_lime,0.0927325818178125,0.28689742287164216,0.19416484105382964
