term,estimate,cluster_se,t,df,p
intercept,-0.0075966096216212,0.007746428200043014,-0.9806596569989531,26,0.33579830845556224
representation[molformer],-0.016877927713460045,0.00910972596633486,-1.8527371488267266,26,0.07530434742557715
representation[unimol],-0.01012786787229567,0.012944189720185812,-0.7824257903530084,26,0.4410326365356075
predictor[mlp],-0.02981016961013832,0.007339087721526176,-4.061835849529707,26,0.00039781519133169293
explainer[crem_lime],-0.03779752096308357,0.012757025828867063,-2.9628787673655066,26,0.006439261844913102
representation[molformer]:predictor[mlp],0.02934492050477968,0.009697935176026453,3.025893653869855,26,0.005526354474888957
representation[molformer]:explainer[crem_lime],0.02885398041293943,0.014064165570355775,2.0515956150116286,26,0.05040860603286267
representation[unimol]:predictor[mlp],0.021001325220529797,0.012402955947520026,1.6932516175492034,26,0.10235748147876284
representation[unimol]:explainer[crem_lime],0.03450938248238604,0.010633536683516197,3.2453344084364226,26,0.00321905111794175
predictor[mlp]:explainer[crem_lime],0.022100916202567905,0.015669341908679836,1.4104559292515904,26,0.17025773656689733
representation[molformer]:predictor[mlp]:explainer[crem_lime],-0.02173642735586653,0.018312662695678102,-1.186961596851585,26,0.2459750440940514
representation[unimol]:predictor[mlp]:explainer[crem_lime],-0.025763930033248908,0.017671001770430066,-1.4579778989305077,26,0.15682105516731304
