dataset,median_supported_spearman,median_all_atom_spearman,finite_supported
CHEMBL1862_Ki,0.2011225444340505,0.6012006016481632,576
CHEMBL1871_Ki,0.25008172011950947,0.7249942802723157,744
CHEMBL2034_Ki,0.2346389150166011,0.7559999505083956,864
CHEMBL2047_EC50,0.20743080104272327,0.4920192035651001,720
CHEMBL204_Ki,0.21393527548452634,0.4149665537980523,3384
CHEMBL2147_Ki,0.24280288350785434,0.5505144849432142,936
CHEMBL218_EC50,0.24712739595683525,0.5880800584357946,1440
CHEMBL219_Ki,0.1962353663269818,0.718341263471273,2394
CHEMBL228_Ki,0.27879397094505315,0.7237546776684392,2178
CHEMBL231_Ki,0.15316580880160813,0.4204154647368602,1080
CHEMBL233_Ki,0.2177678859056674,0.6422164443626158,3229
CHEMBL236_Ki,0.2142016806722689,0.674423467154754,2500
CHEMBL237_EC50,0.1920176515618744,0.6488475386734434,1296
CHEMBL237_Ki,0.20670786134973124,0.7195345660043864,2862
CHEMBL238_Ki,0.3454054734872339,0.6672535211267606,1320
CHEMBL239_EC50,0.2024957458876914,0.36784659011542054,2376
CHEMBL244_Ki,0.1960484528409786,0.45928165498863327,3744
CHEMBL262_Ki,0.25127163269827646,0.6923568566962129,936
CHEMBL264_Ki,0.20967469932987176,0.5629231953260954,3366
CHEMBL2835_Ki,0.12018140589569155,0.8210435833029067,360
CHEMBL287_Ki,0.2289156626506023,0.6323989990434584,1854
CHEMBL2971_Ki,0.2349987123358228,0.6510832383124286,792
CHEMBL3979_EC50,0.14778317214881326,0.4137854903689035,1224
CHEMBL4005_Ki,0.21564438298819422,0.6683825047976055,1224
CHEMBL4203_Ki,0.07712097182690911,0.7288499832416555,384
CHEMBL4616_EC50,0.17698562083329944,0.48736018753043553,576
CHEMBL4792_Ki,0.24185909534260885,0.5631699846860644,1512
