term,estimate,cluster_se,t,df,p
intercept,-0.007505549585335761,0.00772548616790477,-0.9715310366507771,26,0.34023609391872345
representation[molformer],-0.016877927713460042,0.00910972596633479,-1.8527371488267403,26,0.07530434742557514
representation[unimol],-0.010117308428196092,0.012847677531473447,-0.7874815042182787,26,0.4381204006993299
predictor[mlp],-0.029810169610138312,0.007339087721526171,-4.061835849529709,26,0.0003978151913316916
explainer[crem_lime],-0.03779752096308357,0.012757025828867065,-2.962878767365506,26,0.0064392618449131
representation[molformer]:predictor[mlp],0.02934492050477968,0.00969793517602634,3.02589365386989,26,0.0055263544748884895
representation[molformer]:explainer[crem_lime],0.02885398041293943,0.014064165570355721,2.0515956150116366,26,0.050408606032862006
representation[unimol]:predictor[mlp],0.019998414227685453,0.01236276797655228,1.6176324157838475,26,0.11781138063250043
representation[unimol]:explainer[crem_lime],0.03443121007735547,0.010731950936957809,3.208289925998833,26,0.003529443438518149
predictor[mlp]:explainer[crem_lime],0.022100916202567898,0.015669341908679843,1.4104559292515892,26,0.17025773656689785
representation[molformer]:predictor[mlp]:explainer[crem_lime],-0.02173642735586653,0.01831266269567804,-1.186961596851589,26,0.24597504409404983
representation[unimol]:predictor[mlp]:explainer[crem_lime],-0.024736721449322784,0.017607855236261422,-1.404868515637285,26,0.1718958941384089
