dataset,component_id,representation,predictor,explainer,seed,label_permuted,trained,matched_seed_delta
CHEMBL1862_Ki,3,molformer,mlp,crem_lime,11,-0.0649794573117238,-0.0123702453932821,0.0526092119184417
CHEMBL1862_Ki,3,molformer,mlp,crem_lime,23,0.1131154903320291,-0.0468865078928247,-0.16000199822485378
CHEMBL1862_Ki,3,molformer,mlp,crem_lime,42,-0.071864636795596,-0.0473671977623738,0.0244974390332222
CHEMBL1862_Ki,3,molformer,mlp,crem_mean,11,0.0651964308985543,0.0627668916476415,-0.002429539250912799
CHEMBL1862_Ki,3,molformer,mlp,crem_mean,23,0.1020408048652238,0.0669073423292531,-0.03513346253597069
CHEMBL1862_Ki,3,molformer,mlp,crem_mean,42,0.2196255964281094,0.0752323316817192,-0.1443932647463902
CHEMBL1862_Ki,3,molformer,xgboost,crem_lime,11,0.0009438365125352,0.1270596348026977,0.12611579829016248
CHEMBL1862_Ki,3,molformer,xgboost,crem_lime,23,0.0259105331163543,0.0818988719560802,0.0559883388397259
CHEMBL1862_Ki,3,molformer,xgboost,crem_lime,42,-0.0127572178808545,0.0563243371171968,0.0690815549980513
CHEMBL1862_Ki,3,molformer,xgboost,crem_mean,11,0.1551395721245297,0.1631127156063217,0.007973143481792011
CHEMBL1862_Ki,3,molformer,xgboost,crem_mean,23,0.2365843566005095,0.1595443002240863,-0.0770400563764232
CHEMBL1862_Ki,3,molformer,xgboost,crem_mean,42,0.0311217298536139,0.1803564168142173,0.1492346869606034
CHEMBL1862_Ki,3,morgan,mlp,crem_lime,11,0.4451095020699203,-0.0751739678529782,-0.5202834699228984
CHEMBL1862_Ki,3,morgan,mlp,crem_lime,23,0.1132400311522995,0.141124835513485,0.02788480436118551
CHEMBL1862_Ki,3,morgan,mlp,crem_lime,42,0.4072761463623445,0.6134316734700368,0.2061555271076923
CHEMBL1862_Ki,3,morgan,mlp,crem_mean,11,0.3371795066967701,0.2024408291192179,-0.1347386775775522
CHEMBL1862_Ki,3,morgan,mlp,crem_mean,23,0.1247481861477688,0.138431131460432,0.013682945312663217
CHEMBL1862_Ki,3,morgan,mlp,crem_mean,42,0.4875966885263225,0.3969853951738009,-0.0906112933525216
