dataset,median_delta,mean_delta,components,rows
CHEMBL1862_Ki,-0.019903800609758493,-0.029883919398495842,8,288
CHEMBL1871_Ki,-0.0025963856145928732,0.02277065021793629,11,396
CHEMBL2034_Ki,-0.02564606466348185,-0.040290488199101644,12,432
CHEMBL2047_EC50,-0.014272899968131948,-0.003290798321689888,10,360
CHEMBL204_Ki,-0.0217133003974082,-0.0008449262032665036,47,1692
CHEMBL2147_Ki,-0.0315997694471981,-0.021266820686420433,13,468
CHEMBL218_EC50,-0.022445260286362782,0.0016417963902457316,20,720
CHEMBL219_Ki,-0.014975717691270048,-0.008790038553115394,34,1224
CHEMBL228_Ki,-0.007550325650333443,-0.016054965713173414,31,1116
CHEMBL231_Ki,-0.04505528743566894,-0.03359298418706463,15,540
CHEMBL233_Ki,-0.009712132464103091,0.006931531750420194,46,1656
CHEMBL236_Ki,-0.025738000097963315,-0.029353537618600635,37,1332
CHEMBL237_EC50,-0.011769374806833367,0.027787809719692285,18,648
CHEMBL237_Ki,-0.018700440012929552,0.004393516502270642,40,1440
CHEMBL238_Ki,-0.008457715742841865,-0.011990973152444247,19,684
CHEMBL239_EC50,-0.014999942518450125,0.011633002048520533,33,1188
CHEMBL244_Ki,-0.02333574766720817,-0.016569505989371142,52,1872
CHEMBL262_Ki,-0.037975286528275864,-0.03211804293258203,13,468
CHEMBL264_Ki,-0.017811209469840137,-0.025401335258736175,46,1656
CHEMBL2835_Ki,0.014505270071651874,0.004475123668434426,5,180
CHEMBL287_Ki,0.0,0.007054235939401553,26,936
CHEMBL2971_Ki,-0.0444199438124976,-0.03329906779342504,11,396
CHEMBL3979_EC50,-0.025000578210053394,-0.03323805973599333,17,612
CHEMBL4005_Ki,-0.0418707359469809,-0.029604372745097588,17,612
CHEMBL4203_Ki,-0.02539682539682503,-0.1360760938798187,6,216
CHEMBL4616_EC50,0.0,-0.02015710820906049,9,324
CHEMBL4792_Ki,-0.015244734981577118,-0.003319425919448989,21,756
