dataset,representation,predictor,explainer,seed,variant,component_id,component_split,left_index,right_index,average_precision,prevalence,normalized_ap_lift,supported_atom_fraction,true_delta,predicted_delta,absolute_signed_delta_error,gap_score,randomized_mean_nap,delta_sanity
CHEMBL1862_Ki,morgan,xgboost,crem_mean,11,trained,3,test,60,126,0.5232884986586404,0.2068965517241379,0.39892897656959,0.6551724137931034,-1.9602328731285124,-0.1295549869537353,1.830677886174777,-1.830677886174777,0.16657272105788895,0.23235625551170103
CHEMBL1862_Ki,morgan,xgboost,crem_mean,11,trained,8,test,109,114,0.3985675571041424,0.3170731707317073,0.1193310657596371,0.7560975609756098,-1.1024864785694142,-0.0522475242614746,1.0502389543079396,-1.0502389543079396,0.10446214052204834,0.01486892523758876
CHEMBL1862_Ki,morgan,xgboost,crem_mean,11,trained,9,test,115,163,0.3625914100787555,0.3333333333333333,0.0438871151181332,0.6666666666666666,1.4273237863572472,0.073005199432373,1.3543185869248742,-1.3543185869248742,0.1790928059288006,-0.1352056908106674
CHEMBL1862_Ki,morgan,xgboost,crem_mean,11,trained,10,test,135,144,0.4710823354205707,0.2678571428571428,0.27757587276956,0.6071428571428571,-3.4771212547196626,-0.7390381693840027,2.73808308533566,-2.73808308533566,0.1323082977348671,0.14526757503469287
CHEMBL1862_Ki,morgan,xgboost,crem_mean,11,trained,19,test,431,477,0.3600350675387211,0.2653061224489796,0.1289366197054815,0.4693877551020408,-3.397940008672037,-0.0336690321564674,3.36427097651557,-3.36427097651557,0.13385749770189126,-0.00492087799640975
CHEMBL1862_Ki,morgan,xgboost,crem_mean,11,trained,22,test,456,533,0.8625077230340388,0.3793103448275862,0.7784846648881736,0.6551724137931034,-1.414973347970818,-1.835584044456482,0.4206106964856639,-0.4206106964856639,0.3334800933915141,0.4450045714966595
CHEMBL1862_Ki,morgan,xgboost,crem_mean,11,trained,25,test,576,727,0.8050171760217343,0.8846153846153846,-0.689851141144969,0.6153846153846154,3.330413773349191,1.955898463726044,1.3745153096231473,-1.3745153096231473,-0.005761036679080632,-0.6840901044658884
CHEMBL1862_Ki,morgan,xgboost,crem_mean,11,trained,27,test,709,711,0.2426125409678041,0.2333333333333333,0.0121033143058314,0.6666666666666666,-1.8195439355418688,-0.0903813242912292,1.7291626112506395,-1.7291626112506395,0.6198240165631469,-0.6077207022573154
CHEMBL1862_Ki,morgan,xgboost,crem_lime,11,trained,3,test,60,126,0.2929242157457457,0.2068965517241379,0.1084696633315923,1.0,-1.9602328731285124,-0.1295549869537353,1.830677886174777,-1.830677886174777,0.06278136958883486,0.045688293742757444
CHEMBL1862_Ki,morgan,xgboost,crem_lime,11,trained,8,test,109,114,0.2520740409731836,0.3170731707317073,-0.0951772971464096,1.0,-1.1024864785694142,-0.0522475242614746,1.0502389543079396,-1.0502389543079396,0.27162660440833103,-0.36680390155474063
CHEMBL1862_Ki,morgan,xgboost,crem_lime,11,trained,9,test,115,163,0.4009259353728758,0.3333333333333333,0.1013889030593137,1.0,1.4273237863572472,0.073005199432373,1.3543185869248742,-1.3543185869248742,0.1408106279760182,-0.03942172491670451
CHEMBL1862_Ki,morgan,xgboost,crem_lime,11,trained,10,test,135,144,0.4657179641252589,0.2678571428571428,0.2702489266101097,1.0,-3.4771212547196626,-0.7390381693840027,2.73808308533566,-2.73808308533566,0.0927325818178125,0.17751634479229716
CHEMBL1862_Ki,morgan,xgboost,crem_lime,11,trained,19,test,431,477,0.1928934282992105,0.2653061224489796,-0.0985617225927412,1.0,-3.397940008672037,-0.0336690321564674,3.36427097651557,-3.36427097651557,0.21432053993250388,-0.3128822625252451
CHEMBL1862_Ki,morgan,xgboost,crem_lime,11,trained,22,test,456,533,0.5686118661132231,0.3793103448275862,0.3049857842935261,1.0,-1.414973347970818,-1.835584044456482,0.4206106964856639,-0.4206106964856639,0.24450508222264877,0.0604807020708773
CHEMBL1862_Ki,morgan,xgboost,crem_lime,11,trained,25,test,576,727,0.9275084879130832,0.8846153846153846,0.3717402285800552,1.0,3.330413773349191,1.955898463726044,1.3745153096231473,-1.3745153096231473,0.09310047598533315,0.278639752594722
CHEMBL1862_Ki,morgan,xgboost,crem_lime,11,trained,27,test,709,711,0.1595856133075737,0.2333333333333333,-0.096192678294469,1.0,-1.8195439355418688,-0.0903813242912292,1.7291626112506395,-1.7291626112506395,0.44900613822755603,-0.5451988165220251
CHEMBL1862_Ki,morgan,xgboost,crem_mean,23,trained,3,test,60,126,0.4351983385701405,0.2068965517241379,0.2878587747188729,0.6551724137931034,-1.9602328731285124,-0.0620691776275634,1.8981636955009489,-1.8981636955009489,0.16657272105788895,0.12128605366098394
CHEMBL1862_Ki,morgan,xgboost,crem_mean,23,trained,8,test,109,114,0.3859365948764059,0.3170731707317073,0.1008357282118801,0.7560975609756098,-1.1024864785694142,-0.1398811340332031,0.962605344536211,-0.962605344536211,0.10446214052204834,-0.0036264123101682477
CHEMBL1862_Ki,morgan,xgboost,crem_mean,23,trained,9,test,115,163,0.3539669311688252,0.3333333333333333,0.0309503967532379,0.6666666666666666,1.4273237863572472,0.0377452373504638,1.3895785490067831,-1.3895785490067831,0.1790928059288006,-0.1481424091755627
CHEMBL1862_Ki,morgan,xgboost,crem_mean,23,trained,10,test,135,144,0.5163949013949014,0.2678571428571428,0.3394662067832799,0.6071428571428571,-3.4771212547196626,-0.8231849670410156,2.653936287678647,-2.653936287678647,0.1323082977348671,0.20715790904841277
CHEMBL1862_Ki,morgan,xgboost,crem_mean,23,trained,19,test,431,477,0.3580392692193934,0.2653061224489796,0.1262201164375077,0.4693877551020408,-3.397940008672037,-0.0315022692084312,3.3664377394636062,-3.3664377394636062,0.13385749770189126,-0.007637381264383569
CHEMBL1862_Ki,morgan,xgboost,crem_mean,23,trained,22,test,456,533,0.8763776763776763,0.3793103448275862,0.8008307008307006,0.6551724137931034,-1.414973347970818,-1.8740673512220385,0.4590940032512203,-0.4590940032512203,0.3334800933915141,0.46735060743918655
CHEMBL1862_Ki,morgan,xgboost,crem_mean,23,trained,25,test,576,727,0.8375167137329423,0.8846153846153846,-0.4081884809811659,0.6153846153846154,3.330413773349191,2.013459861278534,1.316953912070657,-1.316953912070657,-0.005761036679080632,-0.40242744430208527
CHEMBL1862_Ki,morgan,xgboost,crem_mean,23,trained,27,test,709,711,0.2470300564003712,0.2333333333333333,0.0178652909570059,0.6666666666666666,-1.8195439355418688,0.0640572160482406,1.8836011515901092,-1.8836011515901092,0.6198240165631469,-0.6019587256061409
CHEMBL1862_Ki,morgan,xgboost,crem_lime,23,trained,3,test,60,126,0.1950009096740418,0.2068965517241379,-0.0149988530196863,1.0,-1.9602328731285124,-0.0620691776275634,1.8981636955009489,-1.8981636955009489,0.06278136958883486,-0.07778022260852116
CHEMBL1862_Ki,morgan,xgboost,crem_lime,23,trained,8,test,109,114,0.3723992473992474,0.3170731707317073,0.0810131836917551,1.0,-1.1024864785694142,-0.1398811340332031,0.962605344536211,-0.962605344536211,0.27162660440833103,-0.19061342071657594
CHEMBL1862_Ki,morgan,xgboost,crem_lime,23,trained,9,test,115,163,0.3612947254720979,0.3333333333333333,0.0419420882081469,1.0,1.4273237863572472,0.0377452373504638,1.3895785490067831,-1.3895785490067831,0.1408106279760182,-0.0988685397678713
CHEMBL1862_Ki,morgan,xgboost,crem_lime,23,trained,10,test,135,144,0.5068676992167187,0.2678571428571428,0.3264534428325913,1.0,-3.4771212547196626,-0.8231849670410156,2.653936287678647,-2.653936287678647,0.0927325818178125,0.2337208610147788
CHEMBL1862_Ki,morgan,xgboost,crem_lime,23,trained,19,test,431,477,0.2117730468576854,0.2653061224489796,-0.0728644639992615,1.0,-3.397940008672037,-0.0315022692084312,3.3664377394636062,-3.3664377394636062,0.21432053993250388,-0.2871850039317654
