representation,predictor,explainer,target_balanced_median_trained_ap,target_balanced_median_permuted_ap,target_balanced_median_trained_nap,target_balanced_median_permuted_nap,target_balanced_median_prevalence,target_balanced_median_delta_nap,delta_ci90_low,delta_ci90_high,delta_ci95_low,delta_ci95_high,nominally_equivalent_targets_ci90_margin_0_05,nominally_equivalent_targets_ci95_margin_0_05,targets,components
molformer,mlp,crem_lime,0.3387729073834529,0.35332033736141955,0.07397036587487008,0.1220921690999931,0.22388059701492527,-0.02942888716759355,-0.05765696367716715,-0.008033862536255515,-0.061734400758670094,-0.0016805409352437795,1,1,27,617
molformer,mlp,crem_mean,0.33375012536913284,0.3291343981311087,0.08040408664299416,0.10974083467855267,0.22388059701492527,-0.009737034164289553,-0.0243825475116983,-0.0003211767136409027,-0.02632288329447567,0.0,11,10,27,617
molformer,xgboost,crem_lime,0.32842319789864965,0.3554702584297181,0.08498574012329882,0.10606063624441127,0.22388059701492527,-0.03289306714116269,-0.05438902709191696,0.0,-0.05876942973963638,0.0033552530517161902,2,0,27,617
molformer,xgboost,crem_mean,0.3265800865800865,0.3347870291517832,0.09149980058265719,0.1233559317371913,0.22388059701492527,-0.011636188566335599,-0.02666247491671008,0.0,-0.030381865330586094,0.0,5,4,27,617
morgan,mlp,crem_lime,0.319071759320238,0.37377613062281534,0.09563225996512903,0.16443829890342881,0.22388059701492527,-0.03382114313137613,-0.0764423605442732,-0.011429977658592466,-0.08413129160354227,-0.006038625587536751,0,0,27,617
morgan,mlp,crem_mean,0.34656042715182156,0.3643843402421833,0.09348907193692448,0.15205701309458883,0.22388059701492527,-0.013081065403306665,-0.026143780461962265,-0.004096771284271106,-0.029170130615675933,-0.00038999597423509946,7,5,27,617
morgan,xgboost,crem_lime,0.2590258436701052,0.3548313157999316,0.040230179336101346,0.13282782651102093,0.22388059701492527,-0.04310745742547649,-0.07523365053458195,-0.014009332188642976,-0.08292750788698812,-0.008322254807531689,0,0,27,617
morgan,xgboost,crem_mean,0.3292243251614498,0.33057798491110185,0.0793128508379837,0.10139233954451343,0.22388059701492527,-0.008521127205708065,-0.022329229412562518,0.0010629251700680076,-0.024474633067983448,0.005459432268116345,5,2,27,617
unimol,mlp,crem_lime,0.34749915633245254,0.35565658445631393,0.08308362447215921,0.13036232261332487,0.22388059701492527,-0.002704586559658273,-0.027791800499058883,0.0034754586142979375,-0.03439407322686816,0.008104060164499605,3,2,27,617
unimol,mlp,crem_mean,0.3212001619105444,0.3630422319891917,0.10041329391306061,0.13506618421019564,0.22388059701492527,-0.0005566967587726009,-0.013011456596783584,0.0020319017810097734,-0.015902347674810833,0.0044620677532136305,8,6,27,617
unimol,xgboost,crem_lime,0.33922588125791964,0.34906055917803264,0.09392523041620304,0.1148160834080617,0.22388059701492527,-0.002541339405718089,-0.026309261486753634,0.009590724703528494,-0.030515493517674352,0.01446067605480559,2,2,27,617
unimol,xgboost,crem_mean,0.34114886743958533,0.3411111111111111,0.1091551298046829,0.12170442195812174,0.22388059701492527,-0.0002846573914620093,-0.00994584490184508,0.003451970032432434,-0.012783393129459801,0.0057193774490033504,14,9,27,617
