dataset,component_id,pair_side,row_id,atom_index,changed_atom,support_any,mask_membership_count,valid_mutant_count,local_supported_mutant_count,absolute_in_domain_mutant_count,local_support_fraction,selected_mutant_count,selected_mean_parent_tanimoto,selected_mean_nearest_train_tanimoto,inverse_mask_size
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,0,False,1.0,1.0,7.0,7.0,7.0,1.0,4.0,0.7923073042776433,0.7322675561452652,1.0
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,1,False,1.0,1.0,8.0,8.0,5.0,1.0,4.0,0.7144126462483573,0.5890147495755518,1.0
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,3,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,4,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,5,True,1.0,1.0,8.0,8.0,5.0,1.0,4.0,0.6568999518967911,0.599074552505389,1.0
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,6,True,1.0,1.0,8.0,8.0,8.0,1.0,4.0,0.7614195616211745,0.7287680979221928,1.0
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,7,True,1.0,1.0,8.0,8.0,8.0,1.0,4.0,0.7188312359683328,0.7434797482211275,1.0
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,8,True,1.0,1.0,8.0,8.0,8.0,1.0,4.0,0.7530661962365591,0.7558563748079877,0.16666666666666666
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,9,False,1.0,1.0,8.0,8.0,8.0,1.0,4.0,0.7530661962365591,0.7558563748079877,0.16666666666666666
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,10,False,1.0,1.0,8.0,8.0,8.0,1.0,4.0,0.7530661962365591,0.7558563748079877,0.16666666666666666
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,11,False,1.0,1.0,8.0,8.0,8.0,1.0,4.0,0.7530661962365591,0.7558563748079877,0.16666666666666666
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,12,False,1.0,1.0,8.0,8.0,8.0,1.0,4.0,0.7530661962365591,0.7558563748079877,0.16666666666666666
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,13,False,1.0,1.0,8.0,8.0,8.0,1.0,4.0,0.7530661962365591,0.7558563748079877,0.16666666666666666
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,14,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,15,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,16,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,17,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,18,False,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.7590548953027731,0.6163686040735221,1.0
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,19,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,20,False,1.0,1.0,8.0,8.0,8.0,1.0,4.0,0.7628214494447692,0.6321824596774194,1.0
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,21,False,1.0,1.0,8.0,8.0,5.0,1.0,4.0,0.7298145673356236,0.596881631440455,0.16666666666666666
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,22,False,1.0,1.0,8.0,8.0,5.0,1.0,4.0,0.7298145673356236,0.596881631440455,0.16666666666666666
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,23,False,1.0,1.0,8.0,8.0,5.0,1.0,4.0,0.7298145673356236,0.596881631440455,0.16666666666666666
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,24,False,1.0,1.0,8.0,8.0,5.0,1.0,4.0,0.7298145673356236,0.596881631440455,0.16666666666666666
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,25,False,1.0,1.0,8.0,8.0,5.0,1.0,4.0,0.7298145673356236,0.596881631440455,0.16666666666666666
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,26,False,1.0,1.0,8.0,8.0,5.0,1.0,4.0,0.7298145673356236,0.596881631440455,0.16666666666666666
CHEMBL1862_Ki,3,left,CHEMBL1862_Ki:60,27,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
