baseline,target_balanced_median_ap,target_balanced_median_nap,target_balanced_median_prevalence,nap_ci95_low,nap_ci95_high,targets,pairs
absolute_in_domain_mutant_count,0.35355113636363633,0.13533333333333333,0.22388059701492538,0.09062500000000002,0.1696428571428571,27,617
inverse_mask_size,0.35,0.07711853972358174,0.22388059701492538,0.05097339572453991,0.12394957983193275,27,617
local_support_fraction,0.3032103876093646,0.07092535624508216,0.22388059701492538,0.03301886792452831,0.09409071611887002,27,617
local_supported_mutant_count,0.30201072439766197,0.0630489101541734,0.22388059701492538,0.03470894354490387,0.08791208791208788,27,617
mask_membership_count,0.2794672035480859,0.0,0.22388059701492538,0.0,0.03275418275418275,27,617
selected_mean_nearest_train_tanimoto,0.5073528323528322,0.2606909430438842,0.22388059701492538,0.21808049535603713,0.3468829175699266,27,617
selected_mean_parent_tanimoto,0.3721288576955453,0.13548559728233048,0.22388059701492538,0.08543478560102621,0.18506078398883624,27,617
selected_mutant_count,0.2946265938069217,0.045454545454545484,0.22388059701492538,0.023606934936984215,0.08225108225108226,27,617
support_any,0.28835978835978837,0.02968217127699886,0.22388059701492538,0.00039246467817896955,0.05072463768115941,27,617
valid_mutant_count,0.2811237373737373,0.01842421737006277,0.22388059701492538,0.004062880819580541,0.04844290657439447,27,617
