variant,representation,predictor,model_neighborhood_rows,unique_endpoints,median_in_sample_weighted_r2,q05_in_sample_weighted_r2,q95_in_sample_weighted_r2,median_local_samples,min_local_samples,max_local_samples,median_variable_bits,min_variable_bits,max_variable_bits,median_variable_bits_per_sample,fraction_raw_dimension_ge_samples,median_supported_atom_fraction
label_permuted,molformer,mlp,3714,1238,0.9529346779589636,0.8700190038969935,0.9785679321774575,33.0,1,125,266.5,0,644,7.7560975609756095,0.9935379644588045,1.0
label_permuted,molformer,xgboost,3714,1238,0.9399309072381715,0.8367949536744249,0.9709214391274381,33.0,1,125,266.5,0,644,7.7560975609756095,0.9935379644588045,1.0
label_permuted,morgan,mlp,3714,1238,0.9516703956624954,0.8666936909187241,0.9778392382337016,33.0,1,125,266.5,0,644,7.7560975609756095,0.9935379644588045,1.0
label_permuted,morgan,xgboost,3714,1238,0.9493846561483597,0.0,0.9833031039484623,33.0,1,125,266.5,0,644,7.7560975609756095,0.9935379644588045,1.0
label_permuted,unimol,mlp,3714,1238,0.9362464395146062,0.834329017349843,0.9674605413161824,33.0,1,125,266.5,0,644,7.7560975609756095,0.9935379644588045,1.0
label_permuted,unimol,xgboost,3714,1238,0.9307512346972282,0.8177386705156033,0.9644005087577686,33.0,1,125,266.5,0,644,7.7560975609756095,0.9935379644588045,1.0
trained,molformer,mlp,3714,1238,0.954925891005115,0.8718629416955326,0.9782526510649305,33.0,1,125,266.5,0,644,7.7560975609756095,0.9935379644588045,1.0
trained,molformer,xgboost,3714,1238,0.945825502774404,0.8547109042235139,0.973713599941107,33.0,1,125,266.5,0,644,7.7560975609756095,0.9935379644588045,1.0
trained,morgan,mlp,3714,1238,0.9549652920788696,0.874709869692095,0.9811755618999524,33.0,1,125,266.5,0,644,7.7560975609756095,0.9935379644588045,1.0
trained,morgan,xgboost,3714,1238,0.9658800692067764,0.876373155278758,0.989418030125571,33.0,1,125,266.5,0,644,7.7560975609756095,0.9935379644588045,1.0
trained,unimol,mlp,3714,1238,0.9380519740602913,0.8397856146251998,0.9695600168333712,33.0,1,125,266.5,0,644,7.7560975609756095,0.9935379644588045,1.0
trained,unimol,xgboost,3714,1238,0.9354054974554404,0.8393036965357744,0.968047630990259,33.0,1,125,266.5,0,644,7.7560975609756095,0.9935379644588045,1.0
