dataset,variant,median_in_sample_weighted_r2,median_local_samples,median_variable_bits,median_variable_bits_per_sample,fraction_raw_dimension_ge_samples
CHEMBL1862_Ki,label_permuted,0.937616244471703,29.0,260.0,8.554285714285715,1.0
CHEMBL1862_Ki,trained,0.9385777769705308,29.0,260.0,8.554285714285715,1.0
CHEMBL1871_Ki,label_permuted,0.9457484412296975,32.0,217.0,6.986111111111111,1.0
CHEMBL1871_Ki,trained,0.953245404151973,32.0,217.0,6.986111111111111,1.0
CHEMBL2034_Ki,label_permuted,0.9486534372598694,27.5,201.0,7.696078431372548,1.0
CHEMBL2034_Ki,trained,0.9538795066790484,27.5,201.0,7.696078431372548,1.0
CHEMBL2047_EC50,label_permuted,0.9505681712682129,52.0,368.0,7.0953018138566755,1.0
CHEMBL2047_EC50,trained,0.9547450873908077,52.0,368.0,7.0953018138566755,1.0
CHEMBL204_Ki,label_permuted,0.9468839980016543,52.5,385.5,7.3820707070707074,1.0
CHEMBL204_Ki,trained,0.9556487392017086,52.5,385.5,7.3820707070707074,1.0
CHEMBL2147_Ki,label_permuted,0.9476407255372283,28.0,244.0,8.361293859649123,0.9285714285714286
CHEMBL2147_Ki,trained,0.9513308074978657,28.0,244.0,8.361293859649123,0.9285714285714286
CHEMBL218_EC50,label_permuted,0.9444687819348987,32.0,259.5,7.754310344827586,1.0
CHEMBL218_EC50,trained,0.9486895701746301,32.0,259.5,7.754310344827586,1.0
CHEMBL219_Ki,label_permuted,0.9260709098141817,26.0,206.5,7.884201819685691,1.0
CHEMBL219_Ki,trained,0.9318615311208559,26.0,206.5,7.884201819685691,1.0
CHEMBL228_Ki,label_permuted,0.9295080021317002,27.5,212.5,7.961538461538462,1.0
CHEMBL228_Ki,trained,0.9356942332566911,27.5,212.5,7.961538461538462,1.0
CHEMBL231_Ki,label_permuted,0.9435085744324705,44.5,322.5,7.368065967016491,1.0
CHEMBL231_Ki,trained,0.9480666667300195,44.5,322.5,7.368065967016491,1.0
CHEMBL233_Ki,label_permuted,0.9474431777546175,34.5,265.0,7.45480631276901,0.9891304347826086
CHEMBL233_Ki,trained,0.9514249025817689,34.5,265.0,7.45480631276901,0.9891304347826086
CHEMBL236_Ki,label_permuted,0.9464574040139713,28.5,229.0,7.976190476190476,0.9594594594594594
CHEMBL236_Ki,trained,0.9514612963685446,28.5,229.0,7.976190476190476,0.9594594594594594
CHEMBL237_EC50,label_permuted,0.9524616489650379,27.0,221.0,7.924242424242424,1.0
CHEMBL237_EC50,trained,0.9581449489329764,27.0,221.0,7.924242424242424,1.0
CHEMBL237_Ki,label_permuted,0.9530383692891944,33.0,279.5,7.932758620689656,1.0
CHEMBL237_Ki,trained,0.9610264841229414,33.0,279.5,7.932758620689656,1.0
CHEMBL238_Ki,label_permuted,0.9251115011517831,22.5,186.5,7.76955602536998,1.0
CHEMBL238_Ki,trained,0.9361668116597294,22.5,186.5,7.76955602536998,1.0
CHEMBL239_EC50,label_permuted,0.9471114425851885,54.0,373.0,6.811655405405405,1.0
CHEMBL239_EC50,trained,0.9504320266250774,54.0,373.0,6.811655405405405,1.0
CHEMBL244_Ki,label_permuted,0.9561629189706965,42.5,340.0,8.0,1.0
CHEMBL244_Ki,trained,0.961222944411239,42.5,340.0,8.0,1.0
CHEMBL262_Ki,label_permuted,0.9287377171184437,25.0,200.5,7.944444444444445,1.0
CHEMBL262_Ki,trained,0.933084687354806,25.0,200.5,7.944444444444445,1.0
CHEMBL264_Ki,label_permuted,0.9233040827217898,28.0,231.5,8.058873002523129,1.0
CHEMBL264_Ki,trained,0.9336654008355207,28.0,231.5,8.058873002523129,1.0
CHEMBL2835_Ki,label_permuted,0.9432266246772498,18.0,148.0,8.782608695652174,1.0
CHEMBL2835_Ki,trained,0.9445026002444974,18.0,148.0,8.782608695652174,1.0
CHEMBL287_Ki,label_permuted,0.9080768871312628,29.0,215.5,7.556140350877193,1.0
CHEMBL287_Ki,trained,0.9237946336601959,29.0,215.5,7.556140350877193,1.0
CHEMBL2971_Ki,label_permuted,0.9359295078074032,22.0,194.5,8.182539682539682,1.0
CHEMBL2971_Ki,trained,0.9333009382109361,22.0,194.5,8.182539682539682,1.0
CHEMBL3979_EC50,label_permuted,0.9471617028673924,52.0,372.0,6.712632895559725,1.0
CHEMBL3979_EC50,trained,0.9534222235206791,52.0,372.0,6.712632895559725,1.0
CHEMBL4005_Ki,label_permuted,0.9486924942974782,29.0,238.0,7.856660231660232,1.0
CHEMBL4005_Ki,trained,0.9562712431163625,29.0,238.0,7.856660231660232,1.0
CHEMBL4203_Ki,label_permuted,0.91772206363482,18.0,160.0,8.586274509803921,1.0
CHEMBL4203_Ki,trained,0.9094749179062691,18.0,160.0,8.586274509803921,1.0
CHEMBL4616_EC50,label_permuted,0.9562866055026651,42.5,341.5,8.034606866002214,0.8888888888888888
CHEMBL4616_EC50,trained,0.9609928856961518,42.5,341.5,8.034606866002214,0.8888888888888888
CHEMBL4792_Ki,label_permuted,0.9489723863149451,33.0,303.0,8.935882352941178,1.0
CHEMBL4792_Ki,trained,0.9526027888345882,33.0,303.0,8.935882352941178,1.0
