dataset,pairs,minimum,q25,median,q75,maximum,mean
CHEMBL1862_Ki,8,0.2068965517241379,0.25731292517006804,0.2924651567944251,0.3448275862068965,0.8846153846153846,0.3609656729839506
CHEMBL1871_Ki,11,0.0784313725490196,0.1807065217391304,0.2195121951219512,0.24545454545454543,0.2753623188405797,0.2055508172386423
CHEMBL2034_Ki,12,0.0727272727272727,0.16366041366041362,0.20780367231638414,0.2498797498797498,0.5,0.22299616555987836
CHEMBL2047_EC50,10,0.0769230769230769,0.1877264492753623,0.26919642857142856,0.2901103565365026,0.3125,0.23626224736350113
CHEMBL204_Ki,47,0.0422535211267605,0.1372180451127819,0.1868131868131868,0.245253164556962,0.6833333333333333,0.21387666062701075
CHEMBL2147_Ki,13,0.0638297872340425,0.189873417721519,0.2131147540983606,0.3333333333333333,0.84,0.2977727646844105
CHEMBL218_EC50,20,0.0566037735849056,0.16904761904761897,0.28283198826118855,0.42511036367458477,0.5714285714285714,0.2879289446396977
CHEMBL219_Ki,34,0.0508474576271186,0.18636363636363634,0.2558414670215913,0.3602272727272727,0.9574468085106383,0.3052170569911481
CHEMBL228_Ki,31,0.0597014925373134,0.1833333333333333,0.2432432432432432,0.3090185676392573,0.7857142857142857,0.28931158066360185
CHEMBL231_Ki,15,0.0727272727272727,0.18651778329197682,0.2112676056338028,0.25129712902109996,0.5,0.22367398891989643
CHEMBL233_Ki,46,0.0461538461538461,0.13378378378378375,0.1783268101761252,0.2765151515151515,0.4814814814814814,0.1983122352149901
CHEMBL236_Ki,37,0.0566037735849056,0.1428571428571428,0.1904761904761904,0.3010752688172043,0.5094339622641509,0.21275583833342504
CHEMBL237_EC50,18,0.0769230769230769,0.11249999999999998,0.18620689655172415,0.28242822552749913,0.3684210526315789,0.1983495173631675
CHEMBL237_Ki,40,0.0449438202247191,0.10572896840502473,0.17906178489702512,0.24313893653516294,0.4230769230769231,0.18034544766145952
CHEMBL238_Ki,19,0.0784313725490196,0.2,0.2244897959183673,0.2558139534883721,0.5846153846153846,0.23668110260356473
CHEMBL239_EC50,33,0.0555555555555555,0.1428571428571428,0.2363636363636363,0.3164556962025316,0.5862068965517241,0.2497649969531444
CHEMBL244_Ki,52,0.0476190476190476,0.1428571428571428,0.20761494252873558,0.2702702702702703,0.5172413793103449,0.21392822259660396
CHEMBL262_Ki,13,0.0909090909090909,0.1206896551724138,0.1607142857142857,0.2830188679245283,0.8857142857142857,0.24516739813724417
CHEMBL264_Ki,46,0.0615384615384615,0.21038191395961364,0.33346938775510204,0.5262946607788037,0.8775510204081632,0.3765009565731681
CHEMBL2835_Ki,5,0.0952380952380952,0.2222222222222222,0.2933333333333333,0.3469387755102041,0.4509803921568627,0.28174256369214346
CHEMBL287_Ki,26,0.1025641025641025,0.24932614555256058,0.34340456890198967,0.46458333333333335,0.5918367346938775,0.35174520500215334
CHEMBL2971_Ki,11,0.125,0.21717171717171715,0.2631578947368421,0.4109828141783029,0.8780487804878049,0.33738353860003084
CHEMBL3979_EC50,17,0.0625,0.1166666666666666,0.1851851851851851,0.2631578947368421,0.3939393939393939,0.1948022382454728
CHEMBL4005_Ki,17,0.0612244897959183,0.1290322580645161,0.2156862745098039,0.3793103448275862,0.5454545454545454,0.253278858267699
CHEMBL4203_Ki,6,0.2142857142857142,0.2672955974842767,0.3401360544217687,0.6023596938775511,0.9210526315789472,0.4580655789293539
CHEMBL4616_EC50,9,0.0793650793650793,0.1515151515151515,0.2238805970149253,0.3333333333333333,0.3846153846153846,0.23655191895161667
CHEMBL4792_Ki,21,0.0655737704918032,0.2033898305084746,0.2666666666666666,0.3728813559322034,0.6818181818181818,0.29946758736099505
