dataset,median_prevalence,median_empirical_random_ap,median_empirical_random_nap,pairs
CHEMBL1862_Ki,0.2924651567944251,0.33638246723923293,0.0540672314638445,8
CHEMBL1871_Ki,0.21951219512195122,0.25853484117568004,0.05003281325719715,11
CHEMBL2034_Ki,0.2078036723163842,0.25860325087227637,0.040548763684559286,12
CHEMBL2047_EC50,0.26919642857142856,0.30106690034937084,0.04228804507940548,10
CHEMBL204_Ki,0.18681318681318682,0.22159703041293333,0.03924435002836224,47
CHEMBL2147_Ki,0.21311475409836064,0.25463937635840306,0.04034263420942965,13
CHEMBL218_EC50,0.28283198826118855,0.30627185505797194,0.044594917727919466,20
CHEMBL219_Ki,0.2558414670215913,0.2941022181124455,0.05162795552748098,34
CHEMBL228_Ki,0.24324324324324326,0.2818922546321927,0.053030008167561156,31
CHEMBL231_Ki,0.2112676056338028,0.2478265963923373,0.044908323397915555,15
CHEMBL233_Ki,0.17832681017612523,0.21409466635481847,0.039075564498212555,46
CHEMBL236_Ki,0.19047619047619047,0.22320541113778108,0.03627019735593261,37
CHEMBL237_EC50,0.18620689655172415,0.2278051508738209,0.04325463942181795,18
CHEMBL237_Ki,0.17906178489702518,0.21172405066469638,0.038504720215577964,40
CHEMBL238_Ki,0.22448979591836735,0.2669700084773614,0.05223989572015296,19
CHEMBL239_EC50,0.23636363636363636,0.27643481096316114,0.03968197188607824,33
CHEMBL244_Ki,0.20761494252873564,0.2419052973968443,0.03863371736384885,52
CHEMBL262_Ki,0.16071428571428573,0.2060646065561093,0.054034424832811095,13
CHEMBL264_Ki,0.33346938775510204,0.36858762079052365,0.05106397537533694,46
CHEMBL2835_Ki,0.29333333333333333,0.33210874843402216,0.04069073368139188,5
CHEMBL287_Ki,0.34340456890198967,0.3842478985571121,0.06057679486947856,26
CHEMBL2971_Ki,0.2631578947368421,0.308074461380913,0.04760229088157566,11
CHEMBL3979_EC50,0.18518518518518517,0.2160638966250296,0.0387548167798628,17
CHEMBL4005_Ki,0.21568627450980393,0.24737761339346248,0.042366390786158156,17
CHEMBL4203_Ki,0.3401360544217687,0.3855794895865807,0.06895985304020943,6
CHEMBL4616_EC50,0.22388059701492538,0.25784989581065443,0.036229222295115014,9
CHEMBL4792_Ki,0.26666666666666666,0.28964986590680125,0.038885935307892014,21
