scenario,rationale,explainer,dataset,component_id,representation,predictor,trained_nap,trained_ap,trained_prevalence,permuted_nap,permuted_ap,permuted_prevalence,delta_nap_rescore,delta_nap_reference,rescore_minus_reference_delta_nap
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,6,molformer,mlp,0.05412838821180089,0.24982596306453175,0.20689655172413793,0.44063189319080553,0.5563632256340871,0.20689655172413793,-0.38650350497900465,-0.38650350497900465,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,6,molformer,xgboost,0.2928588835024874,0.43916394208817966,0.20689655172413793,0.4292164102176266,0.5473095667243245,0.20689655172413793,-0.13635752671513918,-0.13635752671513918,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,6,morgan,mlp,0.36948118557753945,0.4999333540787381,0.20689655172413793,0.811869165773628,0.8507927866480497,0.20689655172413793,-0.44238798019608855,-0.44238798019608855,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,6,morgan,xgboost,0.4238157992361402,0.5430263235321112,0.20689655172413793,0.2593599146448758,0.4125957943735222,0.20689655172413793,0.16445588459126442,0.1644558845912643,1.1102230246251565e-16
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,6,unimol,mlp,0.6444373428556148,0.71800203054066,0.20689655172413793,0.6570182258086642,0.7279799721930785,0.20689655172413793,-0.012580882953049377,-0.012580882953049377,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,6,unimol,xgboost,0.6344442319224816,0.7100764598005888,0.20689655172413793,0.5232964727123867,0.6219247887029273,0.20689655172413793,0.1111477592100949,0.1111477592100949,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,7,molformer,mlp,-0.025403422256483444,0.04917137208944262,0.07272727272727272,0.06400508159344505,0.13207743929573995,0.07272727272727272,-0.08940850384992849,-0.08940850384992843,-5.551115123125783e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,7,molformer,xgboost,-0.01667976042665952,0.05726058578618844,0.07272727272727272,0.2209312179219475,0.27759076570944224,0.07272727272727272,-0.23761097834860703,-0.237610978348607,-2.7755575615628914e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,7,morgan,mlp,-0.013888291819367361,0.05984903849476844,0.07272727272727272,-0.00047962251150801896,0.07228253185296529,0.07272727272727272,-0.013408669307859342,-0.013408669307859267,-7.45931094670027e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,7,morgan,xgboost,-0.016288164164772006,0.057623702319938686,0.07272727272727272,0.018841690159850752,0.09019865814822524,0.07272727272727272,-0.03512985432462276,-0.0351298543246227,-6.245004513516506e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,7,unimol,mlp,-0.00990529229363507,0.0635423653277202,0.07272727272727272,0.3622158485895403,0.40860015051030096,0.07272727272727272,-0.3721211408831754,-0.3721211408831753,-5.551115123125783e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,7,unimol,xgboost,0.036837601785829156,0.10688577620140521,0.07272727272727272,0.2725867845771068,0.3254895638805899,0.07272727272727272,-0.23574918279127763,-0.2357491827912776,-2.7755575615628914e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,8,molformer,mlp,0.05395206673214947,0.6138579864212855,0.5918367346938775,-0.10402132856725166,0.549379049564387,0.5918367346938775,0.15797339529940113,0.15797339529940108,5.551115123125783e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,8,molformer,xgboost,-0.15096208217981305,0.5302195582939538,0.5918367346938775,0.349852062155904,0.7346334947575118,0.5918367346938775,-0.500814144335717,-0.5008141443357169,-1.1102230246251565e-16
