scenario,dataset,variant,median_in_sample_r2,median_press_r2,median_five_fold_r2,median_effective_df,median_local_samples,median_variable_bits,five_fold_available_fraction,endpoints
fixed_selected_absolute_domain_only,CHEMBL2147_Ki,label_permuted,0.9478743172960361,-0.02951490495166337,-0.04604620586108345,21.19364974609025,28.0,229.0,0.8928571428571429,28
fixed_selected_absolute_domain_only,CHEMBL2147_Ki,trained,0.9518255635425407,0.07771716258544226,0.05249336631127761,21.19364974609025,28.0,229.0,0.8928571428571429,28
fixed_selected_absolute_domain_only,CHEMBL239_EC50,label_permuted,0.9487063324770885,-0.08925260024368561,-0.09667926685314863,17.31453184045488,24.0,161.0,0.8409090909090909,66
fixed_selected_absolute_domain_only,CHEMBL239_EC50,trained,0.9500913538926701,-0.041896368549442856,-0.026778300616018276,17.31453184045488,24.0,161.0,0.8636363636363636,66
fixed_selected_absolute_domain_only,CHEMBL244_Ki,label_permuted,0.9585808014555455,-0.05342705640195186,-0.07863274616822627,28.44318435563055,36.0,277.5,0.9636752136752137,104
fixed_selected_absolute_domain_only,CHEMBL244_Ki,trained,0.9622721456724934,0.093902031945003,0.0707399581270691,28.44318435563055,36.0,277.5,0.9711538461538461,104
fixed_selected_absolute_domain_only,CHEMBL2835_Ki,label_permuted,0.9504967331210625,-0.13920314456629135,-0.08399443754849897,12.939388301973814,17.5,143.0,0.7888888888888889,10
fixed_selected_absolute_domain_only,CHEMBL2835_Ki,trained,0.9519154116649883,-0.1560486593464825,-0.00448260391836762,12.939388301973814,17.5,143.0,0.8,10
fixed_selected_absolute_domain_only,CHEMBL287_Ki,label_permuted,0.9009756582284009,-0.1274930004213663,-0.10302018627395725,14.349214959851592,20.0,164.5,0.7638888888888888,52
fixed_selected_absolute_domain_only,CHEMBL287_Ki,trained,0.917245712415222,0.01592167671152188,0.0039157079546341175,14.349214959851592,20.0,164.5,0.7884615384615384,52
fixed_selected_absolute_domain_only,CHEMBL4616_EC50,label_permuted,0.9553673917569117,-0.11753175542082511,-0.10693601702632588,16.89953044240753,21.0,185.0,0.8333333333333334,18
fixed_selected_absolute_domain_only,CHEMBL4616_EC50,trained,0.9617898951822672,-0.014776539124582239,-0.003366711682440542,16.89953044240753,21.0,185.0,0.8333333333333334,18
fixed_selected_support_0_60,CHEMBL2147_Ki,label_permuted,0.9476407255372283,-0.03453828622324862,-0.031391177446509294,22.058783262910488,28.0,244.0,0.9265873015873016,28
fixed_selected_support_0_60,CHEMBL2147_Ki,trained,0.9513308074978657,0.07575206137282814,0.05579501399189281,22.058783262910488,28.0,244.0,0.9285714285714286,28
fixed_selected_support_0_60,CHEMBL239_EC50,label_permuted,0.9471114425851885,0.0027989997782073843,-0.00879809594850898,41.5443744731529,54.0,373.0,0.9907407407407407,66
fixed_selected_support_0_60,CHEMBL239_EC50,trained,0.9504320266250774,0.08361904493770916,0.07065542996237692,41.5443744731529,54.0,373.0,1.0,66
fixed_selected_support_0_60,CHEMBL244_Ki,label_permuted,0.9561629189706966,-0.006368264059435148,-0.029189429087160813,33.69789862163877,42.5,340.0,0.999465811965812,104
fixed_selected_support_0_60,CHEMBL244_Ki,trained,0.9612229444112389,0.16585390769200287,0.12995419517594742,33.69789862163877,42.5,340.0,1.0,104
fixed_selected_support_0_60,CHEMBL2835_Ki,label_permuted,0.9432266246772499,-0.07665312339098872,-0.10516475502654986,13.277514612615573,18.0,148.0,0.9777777777777777,10
fixed_selected_support_0_60,CHEMBL2835_Ki,trained,0.9445026002444974,-0.014329843907141659,-0.025174014089450386,13.277514612615573,18.0,148.0,1.0,10
fixed_selected_support_0_60,CHEMBL287_Ki,label_permuted,0.9080768871312628,-0.09559829120717131,-0.09303697856363208,19.939908907064353,29.0,215.5,0.9636752136752137,52
fixed_selected_support_0_60,CHEMBL287_Ki,trained,0.9237946336601959,0.07209873995070451,0.04963422619077902,19.939908907064353,29.0,215.5,0.9807692307692307,52
fixed_selected_support_0_60,CHEMBL4616_EC50,label_permuted,0.9562866055026651,0.012021222744507688,-0.022213793874854317,31.089388383043385,42.5,341.5,0.8888888888888888,18
fixed_selected_support_0_60,CHEMBL4616_EC50,trained,0.9609928856961519,0.07603970486570301,0.06395135115011652,31.089388383043385,42.5,341.5,0.8888888888888888,18
fixed_selected_support_0_70_restriction,CHEMBL2147_Ki,label_permuted,0.9574775578793985,-0.10750375354415534,-0.13071071259574824,15.095734029795095,19.5,156.5,0.9166666666666666,28
fixed_selected_support_0_70_restriction,CHEMBL2147_Ki,trained,0.9597265540720572,-0.023145876991056184,-0.046484485506323434,15.095734029795095,19.5,156.5,0.9285714285714286,28
fixed_selected_support_0_70_restriction,CHEMBL239_EC50,label_permuted,0.9537112221966568,-0.018578389493592452,-0.04088147989288046,37.94194937245925,48.0,317.5,0.9873737373737373,66
fixed_selected_support_0_70_restriction,CHEMBL239_EC50,trained,0.9546293327780373,0.0609417926809689,0.03476908732933494,37.94194937245925,48.0,317.5,1.0,66
fixed_selected_support_0_70_restriction,CHEMBL244_Ki,label_permuted,0.9619457971029457,-0.038291680575963376,-0.0407783638547006,27.808203338483505,34.0,268.5,0.9967948717948718,104
fixed_selected_support_0_70_restriction,CHEMBL244_Ki,trained,0.9656733663075522,0.10793331488217352,0.08902289889979606,27.808203338483505,34.0,268.5,1.0,104
fixed_selected_support_0_70_restriction,CHEMBL2835_Ki,label_permuted,0.9579340328458917,-0.1589153805434404,-0.18363515951314116,8.432370541380283,10.5,92.5,0.8722222222222222,10
fixed_selected_support_0_70_restriction,CHEMBL2835_Ki,trained,0.956486923126174,-0.13013133920000353,-0.10121728162914628,8.432370541380283,10.5,92.5,0.9,10
fixed_selected_support_0_70_restriction,CHEMBL287_Ki,label_permuted,0.9331961304567905,-0.19013261441641385,-0.14041621901657136,11.795954381745386,15.5,115.0,0.7649572649572649,52
fixed_selected_support_0_70_restriction,CHEMBL287_Ki,trained,0.9389711149749005,-0.09786368318356439,-0.06054966316945648,11.795954381745386,15.5,115.0,0.8076923076923077,52
fixed_selected_support_0_70_restriction,CHEMBL4616_EC50,label_permuted,0.961871762686044,-0.02195192493771351,-0.027639456545886006,23.982828139108356,29.0,255.5,0.8888888888888888,18
fixed_selected_support_0_70_restriction,CHEMBL4616_EC50,trained,0.9655348376352921,0.061762172049723105,0.03765333535142612,23.982828139108356,29.0,255.5,0.8888888888888888,18
