scenario,dataset,endpoints,selected_mutant_rows,unique_selected_mutants,endpoints_with_any_mutant,median_local_samples,minimum_local_samples,endpoints_with_fewer_than_five_samples
fixed_selected_support_0_60,CHEMBL2147_Ki,28,807,792,26,28.0,1,2
fixed_selected_support_0_60,CHEMBL239_EC50,66,3495,3417,66,54.0,22,0
fixed_selected_support_0_60,CHEMBL244_Ki,104,4542,4476,104,42.5,15,0
fixed_selected_support_0_60,CHEMBL2835_Ki,10,227,221,10,18.0,10,0
fixed_selected_support_0_60,CHEMBL287_Ki,52,1472,1409,52,29.0,3,1
fixed_selected_support_0_60,CHEMBL4616_EC50,18,743,726,16,42.5,1,2
fixed_selected_support_0_70_restriction,CHEMBL2147_Ki,28,574,559,26,19.5,1,2
fixed_selected_support_0_70_restriction,CHEMBL239_EC50,66,2848,2772,66,48.0,8,0
fixed_selected_support_0_70_restriction,CHEMBL244_Ki,104,3678,3614,104,34.0,6,0
fixed_selected_support_0_70_restriction,CHEMBL2835_Ki,10,165,159,10,10.5,3,1
fixed_selected_support_0_70_restriction,CHEMBL287_Ki,52,845,798,50,15.5,1,10
fixed_selected_support_0_70_restriction,CHEMBL4616_EC50,18,646,629,16,29.0,1,2
fixed_selected_absolute_domain_only,CHEMBL2147_Ki,28,783,768,25,28.0,1,3
fixed_selected_absolute_domain_only,CHEMBL239_EC50,66,1744,1681,61,24.0,1,9
fixed_selected_absolute_domain_only,CHEMBL244_Ki,104,3540,3482,101,36.0,1,3
fixed_selected_absolute_domain_only,CHEMBL2835_Ki,10,205,199,10,17.5,2,2
fixed_selected_absolute_domain_only,CHEMBL287_Ki,52,1024,979,45,20.0,1,11
fixed_selected_absolute_domain_only,CHEMBL4616_EC50,18,511,495,16,21.0,1,3
