dataset,representation,predictor,seed,variant,parent_rows,mutant_rows,reference_max_abs_difference
CHEMBL4616_EC50,morgan,mlp,11,label_permuted,38,1526,1.1920928977282585e-07
CHEMBL4616_EC50,morgan,mlp,11,trained,38,1526,2.3841857915707365e-07
CHEMBL4616_EC50,morgan,mlp,23,label_permuted,38,1526,1.1920928977282585e-07
CHEMBL4616_EC50,morgan,mlp,23,trained,38,1526,2.384185792125848e-07
CHEMBL4616_EC50,morgan,mlp,42,label_permuted,38,1526,1.1920928977282585e-07
CHEMBL4616_EC50,morgan,mlp,42,trained,38,1526,2.384185791015625e-07
CHEMBL4616_EC50,morgan,xgboost,11,label_permuted,38,1526,2.384185791015625e-07
CHEMBL4616_EC50,morgan,xgboost,11,trained,38,1526,5.960464475318616e-07
CHEMBL4616_EC50,morgan,xgboost,23,label_permuted,38,1526,1.1920928977282585e-07
CHEMBL4616_EC50,morgan,xgboost,23,trained,38,1526,9.5367431640625e-07
CHEMBL4616_EC50,morgan,xgboost,42,label_permuted,38,1526,3.5762786865234375e-07
CHEMBL4616_EC50,morgan,xgboost,42,trained,38,1526,2.1457672119140625e-06
CHEMBL239_EC50,morgan,mlp,11,label_permuted,130,6745,2.384185791015625e-07
CHEMBL239_EC50,morgan,mlp,11,trained,130,6745,4.768371584251696e-07
CHEMBL239_EC50,morgan,mlp,23,label_permuted,130,6745,2.384185791015625e-07
CHEMBL239_EC50,morgan,mlp,23,trained,130,6745,4.76837158203125e-07
CHEMBL239_EC50,morgan,mlp,42,label_permuted,130,6745,2.384185795456517e-07
CHEMBL239_EC50,morgan,mlp,42,trained,130,6745,4.76837158203125e-07
CHEMBL239_EC50,morgan,xgboost,11,label_permuted,130,6745,4.768371586472142e-07
CHEMBL239_EC50,morgan,xgboost,11,trained,130,6745,5.7220458984375e-06
CHEMBL239_EC50,morgan,xgboost,23,label_permuted,130,6745,0.0
CHEMBL239_EC50,morgan,xgboost,23,trained,130,6745,5.7220458984375e-06
CHEMBL239_EC50,morgan,xgboost,42,label_permuted,130,6745,4.76837158203125e-07
CHEMBL239_EC50,morgan,xgboost,42,trained,130,6745,4.291534423828125e-06
CHEMBL2835_Ki,morgan,mlp,11,label_permuted,20,357,2.384185792125848e-07
CHEMBL2835_Ki,morgan,mlp,11,trained,20,357,4.768371577590358e-07
