scenario,dataset,variant,median_lsqr_vs_svd_fitted_max_abs_difference,maximum_lsqr_vs_svd_fitted_max_abs_difference,median_lsqr_vs_svd_coefficient_relative_l2_difference,q95_lsqr_vs_svd_coefficient_relative_l2_difference,maximum_lsqr_vs_svd_coefficient_relative_l2_difference,local_fits
fixed_selected_absolute_domain_only,CHEMBL2147_Ki,label_permuted,4.851046857168306e-05,0.0010124401481809153,0.00016189741576972798,0.00033610630326533306,0.0005208944547230494,504
fixed_selected_absolute_domain_only,CHEMBL2147_Ki,trained,0.00012775917750035282,0.0010643272725869846,0.00015866032315845695,0.0002938021148574767,0.00047488629339861714,504
fixed_selected_absolute_domain_only,CHEMBL239_EC50,label_permuted,1.0395704076904266e-05,0.0002883574622569718,0.00013443425635060487,0.0003306224579469004,0.0005277730772807687,1188
fixed_selected_absolute_domain_only,CHEMBL239_EC50,trained,5.929168498730597e-05,0.0003931761265629774,0.00012495891347950834,0.0003445979087703045,0.0005618628373605334,1188
fixed_selected_absolute_domain_only,CHEMBL244_Ki,label_permuted,2.208200609143951e-05,0.0005201125004816731,0.00016778909305846212,0.0003582421896986765,0.0006534867246552528,1872
fixed_selected_absolute_domain_only,CHEMBL244_Ki,trained,0.0001252170701883104,0.0010624921929180964,0.00016302973207445496,0.0003467219378762283,0.0006382378341238443,1872
fixed_selected_absolute_domain_only,CHEMBL2835_Ki,label_permuted,1.1484059748517739e-05,0.0004460441838560758,0.0001172212568302408,0.0003773919582130917,0.0005086378587647123,180
fixed_selected_absolute_domain_only,CHEMBL2835_Ki,trained,2.2834953224193377e-05,0.0004175565292250383,0.00011645217116010534,0.00035731355009060875,0.0005376172751287042,180
fixed_selected_absolute_domain_only,CHEMBL287_Ki,label_permuted,1.0137666314857796e-05,0.00014448318972570817,0.00012271110906100124,0.00030506202080840794,0.0006092341167028132,936
fixed_selected_absolute_domain_only,CHEMBL287_Ki,trained,6.316448257315255e-05,0.00041661500329848167,0.00011793774923776968,0.0002912445605174899,0.0005261750522233018,936
fixed_selected_absolute_domain_only,CHEMBL4616_EC50,label_permuted,1.2163248846008834e-05,0.00029850123768881964,0.0001374206373338074,0.0003689129041494903,0.0004550430610301432,324
fixed_selected_absolute_domain_only,CHEMBL4616_EC50,trained,5.3831401729986794e-05,0.0005499478635118127,0.000128017069161117,0.00033207340151042376,0.0004673237395576806,324
fixed_selected_support_0_60,CHEMBL2147_Ki,label_permuted,4.950151106397627e-05,0.0010124401481809153,0.00016452431107078573,0.0003299997420645172,0.0005659796903211632,504
fixed_selected_support_0_60,CHEMBL2147_Ki,trained,0.0001294002452212617,0.0010643272725869846,0.0001596428834252185,0.0003039655625331701,0.00047488629339861714,504
