scenario,rationale,explainer,target_balanced_median_trained_nap,target_balanced_median_permuted_nap,target_balanced_median_delta_nap,delta_ci95_low,delta_ci95_high,targets,components
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_signed_parent_bit_loss,0.06982896170849263,0.08455333013582197,-0.001754769176314183,-0.03454101220589294,0.019160047527753986,6,138
fixed_selected_absolute_domain_only,boundary_extended,crem_mean_signed_exponent_0,0.06374338996658217,0.07117703183724591,0.0017036458783107802,-0.01149718696998973,0.021477473234614592,6,138
fixed_selected_absolute_domain_only,boundary_extended,crem_mean_signed_exponent_0.5,0.08085660180013544,0.07707863594473024,0.005001544904408545,-0.0048997497053188946,0.031759503131609336,6,138
fixed_selected_absolute_domain_only,strict_unmatched,crem_lime_signed_parent_bit_loss,0.04374101099416256,0.055651872082898075,-0.00906193571493771,-0.03359753633391922,0.00664869688569657,6,127
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0,0.03900171992130636,0.056066426624380404,-0.003865067409625214,-0.01597405667726409,0.012185120348091796,6,127
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,0.06028535217528196,0.08370340664327788,0.00038092935932284357,-0.013853664994581513,0.01628807764787287,6,127
fixed_selected_support_0_60,boundary_extended,crem_lime_signed_parent_bit_loss,0.060637702696591,0.0745993480982067,-0.005260405384031819,-0.04708657052307233,0.034075577394198274,6,138
fixed_selected_support_0_60,boundary_extended,crem_mean_signed_exponent_0,0.07840578211235362,0.08358396932663421,0.003134179880568867,-0.030820620323472523,0.024257399125692955,6,138
fixed_selected_support_0_60,boundary_extended,crem_mean_signed_exponent_0.5,0.09426889652443904,0.08742769449380805,0.0008205814743820691,-0.017366815471690857,0.032855391723653114,6,138
fixed_selected_support_0_60,strict_unmatched,crem_lime_signed_parent_bit_loss,0.04287086001500129,0.05601962077193233,-0.0060272640343680935,-0.0362267616753283,0.015393457392456907,6,127
fixed_selected_support_0_60,strict_unmatched,crem_mean_signed_exponent_0,0.04394461085048082,0.05375726903498786,-0.007644081152329973,-0.01880132169435797,0.010030087243711796,6,127
fixed_selected_support_0_60,strict_unmatched,crem_mean_signed_exponent_0.5,0.07007914381272454,0.07669550672960379,0.0012764287085677917,-0.01605700912524565,0.025802206113072077,6,127
fixed_selected_support_0_70_restriction,boundary_extended,crem_lime_signed_parent_bit_loss,0.06943183064971009,0.07742550862370502,0.0041575045025308704,-0.024905694279831078,0.04404073621822883,6,138
fixed_selected_support_0_70_restriction,boundary_extended,crem_mean_signed_exponent_0,0.0721629139470008,0.06882998242884567,0.0022413698936475453,-0.006380419010678864,0.03309064780648083,6,138
fixed_selected_support_0_70_restriction,boundary_extended,crem_mean_signed_exponent_0.5,0.08073593037777449,0.0721998935433426,0.010109770845899294,-0.0021250497897450826,0.02904603583847654,6,138
fixed_selected_support_0_70_restriction,strict_unmatched,crem_lime_signed_parent_bit_loss,0.04213954975780228,0.06337207212309416,-0.003926920220034858,-0.01846014380590349,0.03642591968886905,6,127
fixed_selected_support_0_70_restriction,strict_unmatched,crem_mean_signed_exponent_0,0.04545225765692067,0.05516556993218491,0.0007084014402065329,-0.009254476154593455,0.01467072464029047,6,127
fixed_selected_support_0_70_restriction,strict_unmatched,crem_mean_signed_exponent_0.5,0.07114669443807702,0.07910421072649455,0.001646647640651618,-0.008285766317525247,0.022320792109859974,6,127
