scenario,rationale,explainer,dataset,component_id,representation,predictor,trained_nap,trained_ap,trained_prevalence,permuted_nap,permuted_ap,permuted_prevalence,delta_nap
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_signed_parent_bit_loss,CHEMBL2147_Ki,6,molformer,mlp,0.3292363156083562,0.46801500893076525,0.20689655172413793,0.15146127035775936,0.3270210075251195,0.20689655172413793,0.17777504525059684
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_signed_parent_bit_loss,CHEMBL2147_Ki,6,molformer,xgboost,0.20451763863617448,0.3691001961597246,0.20689655172413793,0.13117369671270393,0.31093086291007555,0.20689655172413793,0.07334394192347055
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_signed_parent_bit_loss,CHEMBL2147_Ki,6,morgan,mlp,-0.060325827569739386,0.15905192985848257,0.20689655172413793,-0.0809419295152745,0.14270122831547194,0.20689655172413793,0.020616101945535113
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_signed_parent_bit_loss,CHEMBL2147_Ki,6,morgan,xgboost,0.17056631982299328,0.3421732881354775,0.20689655172413793,0.0799315519707613,0.27029054121819,0.20689655172413793,0.09063476785223198
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_signed_parent_bit_loss,CHEMBL2147_Ki,6,unimol,mlp,0.22979623115669723,0.3891487350553116,0.20689655172413793,0.27893616614514893,0.4281217869427043,0.20689655172413793,-0.049139934988451706
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_signed_parent_bit_loss,CHEMBL2147_Ki,6,unimol,xgboost,0.35497910843821795,0.48843170669237973,0.20689655172413793,0.20233859014065814,0.3673719852839703,0.20689655172413793,0.1526405182975598
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_signed_parent_bit_loss,CHEMBL2147_Ki,7,molformer,mlp,0.001505761644236034,0.07412352443374613,0.07272727272727272,0.016289813105628093,0.08783237215249151,0.07272727272727272,-0.01478405146139206
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_signed_parent_bit_loss,CHEMBL2147_Ki,7,molformer,xgboost,0.00037097918560445847,0.07307127160846959,0.07272727272727272,0.008294109748871108,0.08041817449440776,0.07272727272727272,-0.007923130563266649
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_signed_parent_bit_loss,CHEMBL2147_Ki,7,morgan,mlp,0.04740551180366618,0.11668511094521772,0.07272727272727272,0.002717346401840666,0.07524699393625224,0.07272727272727272,0.04468816540182551
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_signed_parent_bit_loss,CHEMBL2147_Ki,7,morgan,xgboost,0.004151906375115064,0.0765772222751067,0.07272727272727272,0.02124544583840625,0.0924275952319767,0.07272727272727272,-0.017093539463291185
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_signed_parent_bit_loss,CHEMBL2147_Ki,7,unimol,mlp,-0.004702787515123847,0.0683665061223397,0.07272727272727272,0.008164780074388785,0.08029825061443323,0.07272727272727272,-0.012867567589512633
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_signed_parent_bit_loss,CHEMBL2147_Ki,7,unimol,xgboost,-0.025718060002001702,0.04887961708905297,0.07272727272727272,0.28147550544266114,0.33373183231955855,0.07272727272727272,-0.30719356544466286
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_signed_parent_bit_loss,CHEMBL2147_Ki,8,molformer,mlp,-0.2253373534122055,0.499862304729712,0.5918367346938775,0.16869853538173665,0.6606932797476476,0.5918367346938775,-0.39403588879394214
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_signed_parent_bit_loss,CHEMBL2147_Ki,8,molformer,xgboost,-0.14291357201167862,0.5335046644850291,0.5918367346938775,0.5258767068826753,0.806480288523541,0.5918367346938775,-0.6687902788943539
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_signed_parent_bit_loss,CHEMBL2147_Ki,8,morgan,mlp,0.2491060227015116,0.6935126623271476,0.5918367346938775,-0.015098951880529935,0.5856738971916204,0.5918367346938775,0.26420497458204156
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_signed_parent_bit_loss,CHEMBL2147_Ki,8,morgan,xgboost,-0.10189978373341162,0.5502449862312605,0.5918367346938775,0.024062126837516257,0.6016580109540882,0.5918367346938775,-0.12596191057092787
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_signed_parent_bit_loss,CHEMBL2147_Ki,8,unimol,mlp,0.345479992143434,0.7328489763850751,0.5918367346938775,0.06312939825145544,0.6176038360210022,0.5918367346938775,0.2823505938919786
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_signed_parent_bit_loss,CHEMBL2147_Ki,8,unimol,xgboost,0.1951231613898745,0.6714788413836222,0.5918367346938775,0.24177191187200198,0.6905191477028579,0.5918367346938775,-0.046648750482127466
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_signed_parent_bit_loss,CHEMBL2147_Ki,13,molformer,mlp,0.0,0.84,0.84,0.0,0.84,0.84,0.0
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_signed_parent_bit_loss,CHEMBL2147_Ki,13,molformer,xgboost,0.0,0.84,0.84,0.0,0.84,0.84,0.0
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_signed_parent_bit_loss,CHEMBL2147_Ki,13,morgan,mlp,0.0,0.84,0.84,0.0,0.84,0.84,0.0
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_signed_parent_bit_loss,CHEMBL2147_Ki,13,morgan,xgboost,0.0,0.84,0.84,0.0,0.84,0.84,0.0
