dataset,component_id,representation,predictor,explainer,trained_seed_sd,permuted_seed_sd,matched_delta_seed_sd
CHEMBL1862_Ki,3,molformer,mlp,crem_lime,0.02006817594606151,0.10486726809393272,0.11549447375083467
CHEMBL1862_Ki,3,molformer,mlp,crem_mean,0.006348700323802752,0.0806557068305748,0.07434261937571006
CHEMBL1862_Ki,3,molformer,xgboost,crem_lime,0.035816741131697326,0.019605483068008966,0.03728761587588429
CHEMBL1862_Ki,3,molformer,xgboost,crem_mean,0.011129712609710992,0.10346381743521636,0.11429663693534924
CHEMBL1862_Ki,3,morgan,mlp,crem_lime,0.35214501056150177,0.1816709229986334,0.37859004299438975
CHEMBL1862_Ki,3,morgan,mlp,crem_mean,0.1346570562949311,0.18230534377708937,0.07621624104990062
CHEMBL1862_Ki,3,morgan,xgboost,crem_lime,0.07516351784415681,0.12072054995842482,0.13996843601403783
CHEMBL1862_Ki,3,morgan,xgboost,crem_mean,0.0644431927020705,0.11419094365952573,0.16911870842463567
CHEMBL1862_Ki,3,unimol,mlp,crem_lime,0.023637947338843848,0.03634062212022264,0.03459593204760678
CHEMBL1862_Ki,3,unimol,mlp,crem_mean,0.029158164151222948,0.027303648257632693,0.03874696416768422
CHEMBL1862_Ki,3,unimol,xgboost,crem_lime,0.04231577831423646,0.12228043636076633,0.08251709009400002
CHEMBL1862_Ki,3,unimol,xgboost,crem_mean,0.06597277878830518,0.16657330849030494,0.10886339082198078
CHEMBL1862_Ki,8,molformer,mlp,crem_lime,0.06819082875783865,0.018998998851172944,0.0721690242664421
CHEMBL1862_Ki,8,molformer,mlp,crem_mean,0.035802639789111815,0.12103375374544245,0.08620813305129411
CHEMBL1862_Ki,8,molformer,xgboost,crem_lime,0.13042507743980616,0.12663801428773144,0.082125684063365
CHEMBL1862_Ki,8,molformer,xgboost,crem_mean,0.08050625019099668,0.1165587898563726,0.06325913632986958
CHEMBL1862_Ki,8,morgan,mlp,crem_lime,0.1777786888698356,0.12224604361682288,0.27638101224965056
CHEMBL1862_Ki,8,morgan,mlp,crem_mean,0.045669369710201316,0.07241227054699513,0.027046412714503407
CHEMBL1862_Ki,8,morgan,xgboost,crem_lime,0.08968328454321442,0.1435281107801035,0.21497876394282509
CHEMBL1862_Ki,8,morgan,xgboost,crem_mean,0.028300428981564266,0.038592063592600034,0.058778917775052696
CHEMBL1862_Ki,8,unimol,mlp,crem_lime,0.11168214441294591,0.11208661849418818,0.015880928528521947
CHEMBL1862_Ki,8,unimol,mlp,crem_mean,0.06603486543874458,0.04847910309433279,0.05077633827669566
CHEMBL1862_Ki,8,unimol,xgboost,crem_lime,0.1343989382472642,0.08001590527269058,0.1556826176150764
CHEMBL1862_Ki,8,unimol,xgboost,crem_mean,0.07377487637161763,0.11444009842932557,0.18821096499808038
CHEMBL1862_Ki,9,molformer,mlp,crem_lime,0.09195865265731643,0.10946188829182665,0.02322105175930437
CHEMBL1862_Ki,9,molformer,mlp,crem_mean,0.07394910046290777,0.0646926735245046,0.026622064685421384
CHEMBL1862_Ki,9,molformer,xgboost,crem_lime,0.08379107535527795,0.1472287814161644,0.12134782460130614
CHEMBL1862_Ki,9,molformer,xgboost,crem_mean,0.03295852800973872,0.08645085960660219,0.06913440594577921
CHEMBL1862_Ki,9,morgan,mlp,crem_lime,0.2320282144764773,0.1766280640682643,0.40203884627919123
CHEMBL1862_Ki,9,morgan,mlp,crem_mean,0.07405950829998355,0.09224758163970154,0.104681935009208
CHEMBL1862_Ki,9,morgan,xgboost,crem_lime,0.06484231546339211,0.10971261087695186,0.14834542813531418
CHEMBL1862_Ki,9,morgan,xgboost,crem_mean,0.03677582238009335,0.012296906486230195,0.04423793206529392
CHEMBL1862_Ki,9,unimol,mlp,crem_lime,0.09916130543803954,0.2310568928295413,0.3299130311100383
CHEMBL1862_Ki,9,unimol,mlp,crem_mean,0.027683212434248917,0.1330151565242526,0.14393196945024242
CHEMBL1862_Ki,9,unimol,xgboost,crem_lime,0.1911664621517207,0.18081465777042985,0.08543341401714198
CHEMBL1862_Ki,9,unimol,xgboost,crem_mean,0.10703759621506054,0.0760524660651582,0.17084874155724544
CHEMBL1862_Ki,10,molformer,mlp,crem_lime,0.03349943111199562,0.08010360216223242,0.10064118037229924
CHEMBL1862_Ki,10,molformer,mlp,crem_mean,0.043326582078306655,0.04950171221649746,0.024332046540772808
CHEMBL1862_Ki,10,molformer,xgboost,crem_lime,0.029604672040750343,0.08936422934930612,0.07550903633914652
CHEMBL1862_Ki,10,molformer,xgboost,crem_mean,0.024100916734568947,0.110371349025676,0.12397829283788776
CHEMBL1862_Ki,10,morgan,mlp,crem_lime,0.12647112749335762,0.06676847642280925,0.07207733486138287
CHEMBL1862_Ki,10,morgan,mlp,crem_mean,0.030615613902451856,0.07397739716164954,0.0948621757387671
CHEMBL1862_Ki,10,morgan,xgboost,crem_lime,0.03439916993882706,0.1785329889026955,0.14413381952741475
CHEMBL1862_Ki,10,morgan,xgboost,crem_mean,0.0399178705384929,0.22916469393973998,0.18986424422436657
CHEMBL1862_Ki,10,unimol,mlp,crem_lime,0.03368654819710124,0.07743894738874478,0.0750548028560288
CHEMBL1862_Ki,10,unimol,mlp,crem_mean,0.022580443513161075,0.047499004043490764,0.03774545592032861
CHEMBL1862_Ki,10,unimol,xgboost,crem_lime,0.05930409077791143,0.1406551538929181,0.1966128842870861
CHEMBL1862_Ki,10,unimol,xgboost,crem_mean,0.03395418056805441,0.06608577598011464,0.09072946289097404
CHEMBL1862_Ki,19,molformer,mlp,crem_lime,0.08656938873360012,0.13023259737241719,0.11658646262901624
CHEMBL1862_Ki,19,molformer,mlp,crem_mean,0.05593592590691113,0.12977312175987682,0.11943341440917536
CHEMBL1862_Ki,19,molformer,xgboost,crem_lime,0.1454569860514999,0.35533197507523157,0.2915030793488938
CHEMBL1862_Ki,19,molformer,xgboost,crem_mean,0.01891514994436131,0.031042639852328763,0.01396026901612757
CHEMBL1862_Ki,19,morgan,mlp,crem_lime,0.03507616528518618,0.06933611591045537,0.10172073022453532
CHEMBL1862_Ki,19,morgan,mlp,crem_mean,0.01666875893964227,0.14638159504271955,0.1498134187551405
CHEMBL1862_Ki,19,morgan,xgboost,crem_lime,0.01649452585222857,0.11466427138710981,0.11618707383544347
CHEMBL1862_Ki,19,morgan,xgboost,crem_mean,0.021045481625189405,0.17200210633278512,0.15969858571786863
CHEMBL1862_Ki,19,unimol,mlp,crem_lime,0.07878292711375148,0.22572115848607702,0.2887362400127939
CHEMBL1862_Ki,19,unimol,mlp,crem_mean,0.04867553085894136,0.09598664270430904,0.07962096791208202
CHEMBL1862_Ki,19,unimol,xgboost,crem_lime,0.07230421794294219,0.2780071403212851,0.2441623749015013
CHEMBL1862_Ki,19,unimol,xgboost,crem_mean,0.03110693776176675,0.1754973412426431,0.16133751753988226
CHEMBL1862_Ki,22,molformer,mlp,crem_lime,0.04696320627386085,0.21940888204823333,0.26607766336160704
CHEMBL1862_Ki,22,molformer,mlp,crem_mean,0.11004967007768544,0.11321031360215472,0.15485937406001068
CHEMBL1862_Ki,22,molformer,xgboost,crem_lime,0.1267451292975757,0.3551491971907775,0.2389467970323501
CHEMBL1862_Ki,22,molformer,xgboost,crem_mean,0.08501838677016664,0.44068114659087654,0.3889921963403794
CHEMBL1862_Ki,22,morgan,mlp,crem_lime,0.03895367602129721,0.34844092978104213,0.3871040597647919
CHEMBL1862_Ki,22,morgan,mlp,crem_mean,0.15786876318252957,0.22310202866388795,0.28665016878698324
CHEMBL1862_Ki,22,morgan,xgboost,crem_lime,0.009514910827037608,0.24744423488264117,0.24350767959787248
CHEMBL1862_Ki,22,morgan,xgboost,crem_mean,0.022135471099632972,0.2834360184793788,0.2711220995391013
CHEMBL1862_Ki,22,unimol,mlp,crem_lime,0.14708283647347534,0.13398383302367137,0.2697389804214756
CHEMBL1862_Ki,22,unimol,mlp,crem_mean,0.20275452850288628,0.14482468460106926,0.3475356715873
CHEMBL1862_Ki,22,unimol,xgboost,crem_lime,0.22833490707017973,0.29841468413181244,0.3699470133586786
CHEMBL1862_Ki,22,unimol,xgboost,crem_mean,0.15514673450492886,0.033597134996897995,0.12923393203468225
CHEMBL1862_Ki,25,molformer,mlp,crem_lime,0.10190843204354666,0.36206094753074747,0.4634117706845076
CHEMBL1862_Ki,25,molformer,mlp,crem_mean,0.18385035393113297,0.13815084319138748,0.16528904628533034
CHEMBL1862_Ki,25,molformer,xgboost,crem_lime,0.10135030214290901,0.285654519303343,0.25037281462732874
CHEMBL1862_Ki,25,molformer,xgboost,crem_mean,0.054276525095977156,0.028521074025375855,0.08237045110266164
CHEMBL1862_Ki,25,morgan,mlp,crem_lime,0.14098952031808643,0.4013290907946212,0.26357311135559275
CHEMBL1862_Ki,25,morgan,mlp,crem_mean,0.09816039359454644,0.2467456071128351,0.33103598798402256
