dataset,component_id,left_index,right_index,representation,predictor,explainer,seed,trained_ap,trained_nap,permuted_ap,permuted_nap,prevalence,delta_nap,delta_ap,pair_index,original_pair_index,potency_difference,original_potency_difference,component_median_potency_difference,component_pair_count,same_as_original
CHEMBL4616_EC50,2,16,37,morgan,xgboost,crem_mean,42,0.4943513609049134,0.3984524810765349,0.3811816641856168,0.2638195660139234,0.1594202898550724,0.1346329150626115,0.11316969671929661,8,8,1.8784542062890388,1.8784542062890388,1.8784542062890388,1,True
CHEMBL4616_EC50,7,135,141,morgan,xgboost,crem_mean,42,0.5606776343650663,0.3448701565093094,0.4132332297159274,0.1249969215062076,0.3294117647058823,0.2198732350031018,0.14744440464913894,55,58,1.4449365713482614,2.3869446243705745,1.4214382900101494,32,False
CHEMBL4616_EC50,13,120,124,morgan,xgboost,crem_mean,42,0.4931024970915992,0.2396537456373988,0.3785485571608135,0.0678228357412203,0.3333333333333333,0.1718309098961785,0.11455393993078572,50,50,1.2240148113728644,1.2240148113728644,1.2240148113728644,1,True
CHEMBL4616_EC50,14,189,193,morgan,xgboost,crem_mean,42,0.2961966413359602,0.0520199658810892,0.5963252433840669,0.4562748176193554,0.2575757575757575,-0.4042548517382662,-0.3001286020481067,104,102,1.5999318377006553,2.099913633468997,1.749956476481321,6,False
CHEMBL4616_EC50,23,283,296,morgan,xgboost,crem_mean,42,0.4648318264575756,0.021934027663845,0.4504144472615177,-0.0044149756944675,0.4528301886792453,0.0263490033583125,0.0144173791960579,489,488,1.6478174818886373,1.6989700043360187,1.5228787452803374,4,False
CHEMBL4616_EC50,31,544,546,morgan,xgboost,crem_mean,42,0.0793650793650793,0.0,0.0793650793650793,0.0,0.0793650793650793,0.0,0.0,940,940,1.9661417327390325,1.9661417327390325,1.9661417327390325,1,True
CHEMBL4616_EC50,34,604,608,morgan,xgboost,crem_mean,42,0.1515151515151515,0.0,0.1515151515151515,0.0,0.1515151515151515,0.0,0.0,1007,1007,1.3025140804612594,1.3025140804612594,1.2722668583886545,2,True
CHEMBL4616_EC50,35,610,614,morgan,xgboost,crem_mean,42,0.6235805860805861,0.5181831501831502,0.6991496598639455,0.6149115646258503,0.21875,-0.09672841444270008,-0.07556907378335942,1010,1011,1.9950557290813071,2.311223910432457,1.9950557290813071,3,False
CHEMBL4616_EC50,37,648,651,morgan,xgboost,crem_mean,42,0.6860426855715589,0.5356048057412642,0.3878304666348144,0.0944992318973297,0.323943661971831,0.44110557384393456,0.2982122189367445,1015,1013,2.195031560679157,2.484904754280328,2.107722663777343,10,False
CHEMBL4616_EC50,2,16,37,morgan,xgboost,crem_lime,42,0.4541518122400475,0.3506288800786772,0.1792269484844597,0.0235630938866848,0.1594202898550724,0.3270657861919924,0.27492486375558783,8,8,1.8784542062890388,1.8784542062890388,1.8784542062890388,1,True
CHEMBL4616_EC50,7,135,141,morgan,xgboost,crem_lime,42,0.4810745819828428,0.226163850325292,0.3201587565658751,-0.0137983454719406,0.3294117647058823,0.23996219579723257,0.1609158254169677,55,58,1.4449365713482614,2.3869446243705745,1.4214382900101494,32,False
CHEMBL4616_EC50,13,120,124,morgan,xgboost,crem_lime,42,0.5549148526551139,0.3323722789826708,0.2482053869915596,-0.1276919195126604,0.3333333333333333,0.4600641984953312,0.3067094656635543,50,50,1.2240148113728644,1.2240148113728644,1.2240148113728644,1,True
CHEMBL4616_EC50,14,189,193,morgan,xgboost,crem_lime,42,0.1960951198716893,-0.0828106548667041,0.5932598552617528,0.4521459274954222,0.2575757575757575,-0.5349565823621263,-0.3971647353900636,104,102,1.5999318377006553,2.099913633468997,1.749956476481321,6,False
CHEMBL4616_EC50,23,283,296,morgan,xgboost,crem_lime,42,0.5352640931734236,0.1506550668341879,0.5513095808587681,0.179979578810852,0.4528301886792453,-0.029324511976664108,-0.01604548768534453,489,488,1.6478174818886373,1.6989700043360187,1.5228787452803374,4,False
