draw,alternative_full_delta_nap,alternative_paired_delta_nap,original_paired_delta_nap,paired_primary_estimate_change,paired_selection_change
0,-0.004682211968220402,-0.0026191473594301537,-0.00033585104169409996,-0.002283296317736054,0.0
1,-0.0037595286606915993,-0.0005458986182892761,-0.0146893643770379,0.014143465758748624,0.0
2,-0.00243915223656865,-0.0044514120731531295,-0.011909145107325252,0.007457733034172123,0.0
3,-0.003816800961545126,-0.009975838115859802,-0.017659553221314104,0.007683715105454302,0.0
4,0.0,-0.014190355178131973,-0.025644753687779145,0.011454398509647173,0.0
5,-0.0038949793930860505,-0.0007379420752938264,0.0,-0.0007379420752938264,0.0
6,-0.0051315454544803496,-0.0005792124542124029,-0.0007166482979484748,0.00013743584373607188,0.0
7,0.001934802436786745,-0.008950244115648449,-0.009486007193471176,0.0005357630778227273,0.0
8,-0.0032486694399248978,-0.0038791177731308246,2.3704124875925398e-05,-0.00390282189800675,0.0
9,-0.007425833361358547,0.006590690641511148,0.009721782398660103,-0.0031310917571489554,0.0
10,0.001019546548737251,-0.004554787959561901,-0.003753450663160428,-0.0008013372964014729,0.0
11,0.0,-0.0062525098599785014,-0.012071754846381,0.005819244986402499,0.0
12,-0.02274176986808015,-0.005696241995081625,-0.029609105286197323,0.023912863291115697,0.0
13,-0.019122079429331622,-0.004278837772348775,-0.0035724350740403985,-0.0007064026983083765,0.0
14,-0.010507585646130524,-0.01688784935471005,-0.006925424398229881,-0.009962424956480169,0.0
15,-0.003804525362965875,-0.0008966716963752499,0.0,-0.0008966716963752499,0.0
16,-0.028240052484560404,-0.012817476281714951,-0.013166959240437048,0.0003494829587220964,0.0
17,0.0,-0.00044833584818762496,-0.000615029454764375,0.00016669360657675008,0.0
18,0.0124627377493571,-0.008808845010170901,-0.00716072523471795,-0.0016481197754529518,0.0
19,-0.0018305473866491507,-0.0016113189372321032,-0.011166567261221052,0.009555248323988949,0.0
20,-0.00452680270169035,-0.005096031905485101,-0.004917904627525669,-0.00017812727795943166,0.0
21,0.0006677830701158505,-0.005933021777987652,0.0,-0.005933021777987652,0.0
22,-0.008672091173347201,0.0023806005705708302,-2.7516849421926892e-05,0.002408117419992757,0.0
23,-0.004002493067625798,-0.015142885013685332,-0.029084330872607124,0.013941445858921792,0.0
24,-0.0018498070594377765,0.0,0.0,0.0,0.0
25,-0.006297178036300051,0.0,0.0,0.0,0.0
26,-0.0003849863115978,-0.004617854495133876,-0.003202254249327425,-0.001415600245806451,0.0
27,0.028292982500525497,0.0,-0.003956887169203326,0.003956887169203326,0.0
28,0.0,-0.00307645323221192,-0.013019446277813717,0.009942993045601797,0.0
29,-0.0002756124564113504,0.001019546548737251,0.0,0.001019546548737251,0.0
30,-0.0022118952631586504,-0.020302459515074,-0.01220996272141215,-0.00809249679366185,0.0
31,-0.01865506239401115,0.00019337320487529917,-0.0029990169253353745,0.0031923901302106737,0.0
32,-0.004240844324867699,0.0008441925273219529,0.0016865133203068528,-0.0008423207929848999,0.0
33,-0.004783638189989451,0.0,0.0,0.0,0.0
34,-0.0097846385360474,0.0,0.0,0.0,0.0
35,0.0,-0.0030868650079195004,-0.0069212269804611514,0.003834361972541651,0.0
36,-0.001464292780889798,-0.002995138117849076,-0.008914927381879637,0.005919789264030561,0.0
37,-0.009638469439102801,-0.00312999124516995,-0.009361097388995217,0.006231106143825267,0.0
38,-0.004450439164369227,0.0,0.0,0.0,0.0
39,-0.0034668740111012263,-0.0001932852993446984,-0.0114104261093554,0.011217140810010701,0.0
40,-0.005140620885646025,-0.0008737185461323502,-0.003883256130118353,0.003009537583986003,0.0
41,-0.009757398769667351,-0.0025938985679186503,-0.003816800961545126,0.0012229023936264757,0.0
42,-1.5097502415599949e-05,-0.03425602727335893,-0.018171588112319025,-0.016084439161039903,0.0
43,0.0029420706850935008,-0.0010951133138515498,0.00245870802970465,-0.0035538213435562,0.0
44,-0.0004786875297291236,-0.0068307180582025985,-0.009823490734807754,0.002992772676605155,0.0
45,-0.0033214647936225,-0.014590764219179273,-0.004604934837516552,-0.00998582938166272,0.0
46,-0.014347881571476524,-0.002878756862730196,-0.0034372621771687232,0.0005585053144385272,0.0
47,-0.018343754558242983,0.0023994468362967757,-0.001728323873151652,0.004127770709448428,0.0
48,-0.011830971822010974,0.0023806005705708302,-0.0037494121939308012,0.006130012764501631,0.0
49,-0.0218254980467329,0.0,-0.0004684699364510495,0.0004684699364510495,0.0
50,-0.004195027609972122,-0.010040821664031245,-0.007696654404830073,-0.002344167259201172,0.0
51,-7.5487512077999745e-06,-0.015913514792462346,-0.022465826070580126,0.0065523112781177804,0.0006615102524427765
52,-0.0022607269044718986,0.0,0.0,0.0,0.0
53,-0.0036104768135503743,0.0018100087465137767,0.0,0.0018100087465137767,0.0
54,-0.00020323712811475033,-0.010756435152666173,-0.0098195217918708,-0.0009369133607953738,0.0
55,-0.015281191733824476,0.00046372383439505227,0.002064453145180495,-0.001600729310785443,0.0
56,-0.0036374876106768273,-0.0022077114427860997,-0.004290467826993502,0.0020827563842074027,0.0
57,-0.0014506291061656003,-0.007090276226733951,-0.004951426162088275,-0.0021388500646456754,0.0
58,-0.006120039616048671,-0.022094155020867978,-0.013485699620354029,-0.00860845540051395,0.0
59,-0.0016423716129787527,-0.00020323712811425073,-0.005586327636444776,0.005383090508330525,0.0
60,-0.030523404758892973,-0.002915588203714725,-0.01976694894507882,0.016851360741364094,0.01912808898242506
61,-0.010657958011916243,-0.0013217127101259017,0.0017381398649796015,-0.003059852575105503,0.0
62,-0.004721098300011874,-0.005011242529090996,-0.005129040558109902,0.00011779802901890589,0.0
63,-0.014616944154733,-0.0014535909008602035,-0.003207339609215725,0.0017537487083555217,0.0
64,-0.0014125234438628516,-0.0007226837556713003,-0.003643926660897426,0.0029212429052261255,0.0
65,-0.02221705371038905,-0.0022410493031038503,-0.0011868122947693502,-0.0010542370083345002,0.0
66,-0.006475932193044626,0.0,0.0023196825379478503,-0.0023196825379478503,0.0
67,-0.0013947408655196475,0.0005162016741593013,-0.005997733019365538,0.006513934693524839,0.0
68,-0.0011868122947693502,0.0,-0.0009555382033573758,0.0009555382033573758,0.0
69,-0.0012057944287366998,0.0006778089255680721,-0.001324012445405177,0.002001821370973249,0.0
70,0.0,0.0,0.0,0.0,0.0
71,-0.004010945893339949,-0.001740928913309874,-0.002284270369820326,0.000543341456510452,0.0
72,-0.002789481731039295,-0.0001101261493070757,-0.01642698212483757,0.016316855975530495,0.0
73,-0.0011229283868916264,-0.00565794327459045,-0.01874587573896105,0.013087932464370601,0.0
74,-0.0010051681223506252,0.0011309082991123529,-0.00027561245641185,0.0014065207555242027,0.0
75,-0.0005792124542124029,-0.0061353167832698535,-0.00019647959757002368,-0.005938837185699829,0.0
76,-0.0005428184219154475,-0.005117576532722474,-0.0033630863915442505,-0.0017544901411782237,0.0
77,-0.005117576532722474,-0.02515037186562945,-0.004707105622326849,-0.020443266243302602,0.0
78,-0.008813271186082324,-0.0017145356913156745,-0.0007166482979484748,-0.0009978873933671997,0.0
79,0.0,-0.001279230943939975,-0.00908167896593232,0.007802448021992345,0.0
80,-0.003459674645710351,-0.010542161379900328,-0.00479734489454825,-0.005744816485352078,0.0
81,-0.0016509144480474987,-0.00013980332172444998,-0.003026934729567995,0.002887131407843545,0.0
82,0.0,-0.0007307464204015738,-0.010147021879860111,0.009416275459458537,0.0
83,-0.004167622287681603,-7.5487512077999745e-06,-0.007919085132766884,0.007911536381559083,0.0
84,-0.007413691489707821,-0.010824501896306548,-0.011728313325502645,0.0009038114291960962,0.0
85,-0.004721098300011874,-0.0032727145195495,-0.009478682939216564,0.006205968419667064,0.0
86,-0.008072607068632776,-0.0003768917588357259,-0.011025956612312687,0.01064906485347696,0.0
87,-0.008898720796560055,-0.0043131294013775525,-0.006474872880453501,0.002161743479075949,0.0
88,-0.00709706392251086,-0.0001101261493070757,-0.0056150529071406505,0.005504926757833575,0.0
89,-0.0007420079986052742,-0.003683029241099731,0.0,-0.003683029241099731,0.0
90,0.0038976809147631504,-0.005706319746065396,-0.004221810878115108,-0.0014845088679502879,0.0
91,-0.004045781560926074,-0.006939784796505862,-0.016994917983252922,0.01005513318674706,0.0
92,7.746462922969977e-05,-0.0021367488641249217,-0.011154818762392358,0.009018069898267436,0.0
93,-0.007181277067595924,-0.004139556456850451,-0.006960514682069593,0.002820958225219142,0.0
94,-0.012254055184298753,0.0,-0.001211008303461201,0.001211008303461201,0.0
95,-0.0020720561167192784,-0.0011065021302090502,-0.01038335110589373,0.00927684897568468,0.0
96,0.0011550815516252009,-0.006330171281589445,-0.0005877742946707974,-0.005742396986918648,0.0
97,-0.011033782947094548,-0.0001101261493070757,0.0,-0.0001101261493070757,0.0
98,0.0,-0.007191828060342774,-0.007473689176322447,0.0002818611159796725,0.0
99,0.0020987310983468553,0.0,0.0,0.0,0.0
100,-0.0025086104555455766,-0.00200503261493995,-0.0020481768848759066,4.314426993595657e-05,0.0
101,0.0009012127578304011,-0.0014804252253509506,-0.01338570184617245,0.0119052766208215,0.0
102,-0.002681515338931953,-0.0043024264406103475,-0.004917904627525669,0.0006154781869153218,0.0
103,0.0009475550608733269,-0.008128134199241997,-0.004050573786125252,-0.004077560413116745,0.0
104,0.0,-0.0005792124542124029,-0.0004684699364510495,-0.00011074251776135337,0.0
105,-0.0010051681223509999,0.00025518093269374063,-0.002915689858868444,0.003170870791562185,0.0
106,0.0,-0.00566313529607115,-0.013962171918943422,0.008299036622872272,0.0
107,0.0008147238676977017,0.0,0.0,0.0,0.0
108,-0.001408002485021551,-0.00014196511519620064,-0.002284270369820326,0.0021423052546241253,0.0
109,0.0,-0.004385445520125351,-0.00227084462885235,-0.0021146008912730006,0.0
110,-0.0013399473473229007,-0.002704983444852353,-0.0017334162257117737,-0.0009715672191405794,0.0
111,-0.0163918703434707,0.0,-1.5097502415599949e-05,1.5097502415599949e-05,0.0
112,0.009090675354922601,-0.008067416734338301,-0.0028800026764431194,-0.005187414057895181,0.0
113,-0.010449474012998894,-0.004069695999479274,-0.00538681588244835,0.0013171198829690757,0.0
