dataset,component_id,same_pair,molecule_index,alternative_positive_atoms,original_positive_atoms,intersection_atoms,union_atoms,jaccard,exact
CHEMBL2147_Ki,5,False,534,15,17,15,17,0.8823529411764706,False
CHEMBL2147_Ki,6,True,131,6,6,6,6,1.0,True
CHEMBL2147_Ki,6,True,270,6,6,6,6,1.0,True
CHEMBL2147_Ki,7,True,137,0,0,0,0,1.0,True
CHEMBL2147_Ki,7,True,605,4,4,4,4,1.0,True
CHEMBL2147_Ki,8,True,152,15,15,15,15,1.0,True
CHEMBL2147_Ki,8,True,581,14,14,14,14,1.0,True
CHEMBL2147_Ki,13,True,191,10,10,10,10,1.0,True
CHEMBL2147_Ki,13,True,348,11,11,11,11,1.0,True
CHEMBL2147_Ki,15,True,378,11,11,11,11,1.0,True
CHEMBL2147_Ki,15,True,630,11,11,11,11,1.0,True
CHEMBL2147_Ki,18,True,445,3,3,3,3,1.0,True
CHEMBL2147_Ki,18,True,541,0,0,0,0,1.0,True
CHEMBL2147_Ki,36,False,834,9,8,0,17,0.0,False
CHEMBL2147_Ki,39,False,922,6,6,6,6,1.0,True
CHEMBL2147_Ki,42,False,1070,7,10,0,17,0.0,False
CHEMBL2147_Ki,44,True,1146,8,8,8,8,1.0,True
CHEMBL2147_Ki,44,True,1149,7,7,7,7,1.0,True
CHEMBL2147_Ki,48,True,1227,9,9,9,9,1.0,True
CHEMBL2147_Ki,48,True,1249,11,11,11,11,1.0,True
CHEMBL2147_Ki,51,True,1353,7,7,7,7,1.0,True
CHEMBL2147_Ki,51,True,1354,6,6,6,6,1.0,True
CHEMBL2147_Ki,52,True,1447,4,4,4,4,1.0,True
CHEMBL2147_Ki,52,True,1449,5,5,5,5,1.0,True
CHEMBL239_EC50,1,True,1,11,11,11,11,1.0,True
CHEMBL239_EC50,1,True,33,4,4,4,4,1.0,True
CHEMBL239_EC50,7,True,62,4,4,4,4,1.0,True
CHEMBL239_EC50,7,True,64,0,0,0,0,1.0,True
CHEMBL239_EC50,16,True,150,12,12,12,12,1.0,True
CHEMBL239_EC50,16,True,156,13,13,13,13,1.0,True
CHEMBL239_EC50,22,True,190,6,6,6,6,1.0,True
CHEMBL239_EC50,22,True,193,4,4,4,4,1.0,True
CHEMBL239_EC50,24,False,199,8,14,8,14,0.5714285714285714,False
CHEMBL239_EC50,25,False,203,12,0,0,12,0.0,False
CHEMBL239_EC50,26,True,210,18,18,18,18,1.0,True
CHEMBL239_EC50,26,True,270,17,17,17,17,1.0,True
CHEMBL239_EC50,29,True,265,5,5,5,5,1.0,True
CHEMBL239_EC50,29,True,1411,7,7,7,7,1.0,True
CHEMBL239_EC50,30,True,266,7,7,7,7,1.0,True
CHEMBL239_EC50,30,True,1315,7,7,7,7,1.0,True
CHEMBL239_EC50,35,True,309,13,13,13,13,1.0,True
CHEMBL239_EC50,35,True,311,7,7,7,7,1.0,True
CHEMBL239_EC50,37,True,358,5,5,5,5,1.0,True
CHEMBL239_EC50,37,True,359,5,5,5,5,1.0,True
CHEMBL239_EC50,38,False,363,12,5,5,12,0.4166666666666667,False
CHEMBL239_EC50,40,True,371,5,5,5,5,1.0,True
CHEMBL239_EC50,40,True,372,0,0,0,0,1.0,True
CHEMBL239_EC50,48,False,460,8,10,8,10,0.8,False
CHEMBL239_EC50,52,True,500,10,10,10,10,1.0,True
CHEMBL239_EC50,52,True,526,9,9,9,9,1.0,True
CHEMBL239_EC50,57,False,580,18,7,7,18,0.3888888888888889,False
CHEMBL239_EC50,66,False,798,8,8,8,8,1.0,True
CHEMBL239_EC50,68,False,802,6,5,5,6,0.8333333333333334,False
CHEMBL239_EC50,75,True,846,7,7,7,7,1.0,True
CHEMBL239_EC50,75,True,849,7,7,7,7,1.0,True
CHEMBL239_EC50,91,False,1077,8,6,6,8,0.75,False
CHEMBL239_EC50,102,False,1201,4,8,4,8,0.5,False
CHEMBL239_EC50,107,True,1272,8,8,8,8,1.0,True
CHEMBL239_EC50,107,True,1278,8,8,8,8,1.0,True
CHEMBL239_EC50,114,False,1715,13,9,0,22,0.0,False
CHEMBL239_EC50,115,False,1393,5,3,3,5,0.6,False
CHEMBL239_EC50,118,False,1467,7,7,7,7,1.0,True
CHEMBL239_EC50,124,False,1559,4,13,4,13,0.3076923076923077,False
CHEMBL239_EC50,126,False,1623,4,7,0,11,0.0,False
CHEMBL239_EC50,127,True,1641,0,0,0,0,1.0,True
CHEMBL239_EC50,127,True,1656,4,4,4,4,1.0,True
CHEMBL244_Ki,3,False,78,7,10,7,10,0.7,False
CHEMBL244_Ki,25,False,261,8,11,8,11,0.7272727272727273,False
CHEMBL244_Ki,32,True,287,12,12,12,12,1.0,True
CHEMBL244_Ki,32,True,288,8,8,8,8,1.0,True
CHEMBL244_Ki,35,False,335,4,7,4,7,0.5714285714285714,False
CHEMBL244_Ki,36,True,314,6,6,6,6,1.0,True
CHEMBL244_Ki,36,True,333,6,6,6,6,1.0,True
CHEMBL244_Ki,37,True,322,10,10,10,10,1.0,True
CHEMBL244_Ki,37,True,326,10,10,10,10,1.0,True
CHEMBL244_Ki,38,False,374,4,5,0,9,0.0,False
CHEMBL244_Ki,50,False,508,6,13,6,13,0.46153846153846156,False
CHEMBL244_Ki,55,True,553,4,4,4,4,1.0,True
CHEMBL244_Ki,55,True,1094,0,0,0,0,1.0,True
CHEMBL244_Ki,67,False,642,7,4,2,9,0.2222222222222222,False
CHEMBL244_Ki,68,False,729,10,9,9,10,0.9,False
CHEMBL244_Ki,73,True,781,5,5,5,5,1.0,True
CHEMBL244_Ki,73,True,794,5,5,5,5,1.0,True
CHEMBL244_Ki,87,True,1033,11,11,11,11,1.0,True
CHEMBL244_Ki,87,True,1246,11,11,11,11,1.0,True
CHEMBL244_Ki,90,False,1128,6,7,6,7,0.8571428571428571,False
CHEMBL244_Ki,92,True,1164,0,0,0,0,1.0,True
CHEMBL244_Ki,92,True,1188,4,4,4,4,1.0,True
CHEMBL244_Ki,93,False,1211,8,3,3,8,0.375,False
CHEMBL244_Ki,95,True,1238,5,5,5,5,1.0,True
CHEMBL244_Ki,95,True,1243,6,6,6,6,1.0,True
CHEMBL244_Ki,100,True,1289,14,14,14,14,1.0,True
CHEMBL244_Ki,100,True,2103,14,14,14,14,1.0,True
CHEMBL244_Ki,107,False,1363,8,10,8,10,0.8,False
CHEMBL244_Ki,108,False,1395,11,6,6,11,0.5454545454545454,False
CHEMBL244_Ki,114,False,1535,4,4,2,6,0.3333333333333333,False
CHEMBL244_Ki,116,False,1558,11,9,9,11,0.8181818181818182,False
CHEMBL244_Ki,118,False,1999,4,4,4,4,1.0,True
CHEMBL244_Ki,121,False,1613,13,13,13,13,1.0,True
CHEMBL244_Ki,126,True,1776,4,4,4,4,1.0,True
CHEMBL244_Ki,126,True,2055,4,4,4,4,1.0,True
CHEMBL244_Ki,153,False,2149,18,7,7,18,0.3888888888888889,False
CHEMBL244_Ki,155,True,2204,8,8,8,8,1.0,True
CHEMBL244_Ki,155,True,2205,7,7,7,7,1.0,True
CHEMBL244_Ki,157,True,2209,8,8,8,8,1.0,True
CHEMBL244_Ki,157,True,2218,8,8,8,8,1.0,True
CHEMBL244_Ki,159,True,2217,10,10,10,10,1.0,True
CHEMBL244_Ki,159,True,2223,10,10,10,10,1.0,True
CHEMBL244_Ki,162,True,2257,3,3,3,3,1.0,True
CHEMBL244_Ki,162,True,2258,0,0,0,0,1.0,True
CHEMBL244_Ki,163,False,2262,10,4,4,10,0.4,False
CHEMBL244_Ki,164,True,2288,8,8,8,8,1.0,True
CHEMBL244_Ki,164,True,2854,11,11,11,11,1.0,True
CHEMBL244_Ki,168,False,2398,9,9,9,9,1.0,True
CHEMBL244_Ki,169,True,2372,9,9,9,9,1.0,True
CHEMBL244_Ki,169,True,2385,8,8,8,8,1.0,True
CHEMBL244_Ki,171,True,2438,5,5,5,5,1.0,True
CHEMBL244_Ki,171,True,2446,5,5,5,5,1.0,True
CHEMBL244_Ki,172,True,2461,4,4,4,4,1.0,True
CHEMBL244_Ki,172,True,2462,0,0,0,0,1.0,True
CHEMBL244_Ki,173,True,2475,0,0,0,0,1.0,True
CHEMBL244_Ki,173,True,2476,4,4,4,4,1.0,True
CHEMBL244_Ki,175,False,2479,6,6,6,6,1.0,True
CHEMBL244_Ki,182,True,2632,9,9,9,9,1.0,True
CHEMBL244_Ki,182,True,2633,11,11,11,11,1.0,True
CHEMBL244_Ki,183,True,2639,6,6,6,6,1.0,True
CHEMBL244_Ki,183,True,2642,6,6,6,6,1.0,True
CHEMBL244_Ki,189,True,2710,8,8,8,8,1.0,True
CHEMBL244_Ki,189,True,2712,9,9,9,9,1.0,True
CHEMBL244_Ki,194,True,2836,0,0,0,0,1.0,True
CHEMBL244_Ki,194,True,2838,4,4,4,4,1.0,True
CHEMBL244_Ki,200,False,3013,8,8,8,8,1.0,True
CHEMBL244_Ki,202,False,3034,6,7,0,13,0.0,False
CHEMBL2835_Ki,2,False,17,0,4,0,4,0.0,False
CHEMBL2835_Ki,7,False,56,11,11,11,11,1.0,True
CHEMBL2835_Ki,8,True,70,8,8,8,8,1.0,True
CHEMBL2835_Ki,8,True,76,4,4,4,4,1.0,True
CHEMBL2835_Ki,13,False,156,8,8,8,8,1.0,True
CHEMBL2835_Ki,18,False,445,4,11,4,11,0.36363636363636365,False
CHEMBL287_Ki,2,False,735,10,10,10,10,1.0,True
CHEMBL287_Ki,9,False,66,5,8,5,8,0.625,False
CHEMBL287_Ki,12,True,109,11,11,11,11,1.0,True
CHEMBL287_Ki,12,True,767,12,12,12,12,1.0,True
CHEMBL287_Ki,18,False,591,6,6,6,6,1.0,True
CHEMBL287_Ki,19,True,139,4,4,4,4,1.0,True
CHEMBL287_Ki,19,True,156,0,0,0,0,1.0,True
CHEMBL287_Ki,22,False,312,10,0,0,10,0.0,False
CHEMBL287_Ki,26,False,447,6,10,3,13,0.23076923076923078,False
CHEMBL287_Ki,27,False,212,13,4,4,13,0.3076923076923077,False
CHEMBL287_Ki,32,False,309,6,11,6,11,0.5454545454545454,False
