draw,target_balanced_median_delta_nap
0,-0.00033585104169409996
1,-0.0146893643770379
2,-0.011909145107325252
3,-0.017659553221314104
4,-0.025644753687779145
5,0.0
6,-0.0007166482979484748
7,-0.009486007193471176
8,2.3704124875925398e-05
9,0.009721782398660103
10,-0.003753450663160428
11,-0.012071754846381
12,-0.029609105286197323
13,-0.0035724350740403985
14,-0.006925424398229881
15,0.0
16,-0.013166959240437048
17,-0.000615029454764375
18,-0.00716072523471795
19,-0.011166567261221052
20,-0.004917904627525669
21,0.0
22,-2.7516849421926892e-05
23,-0.029084330872607124
24,0.0
25,0.0
26,-0.003202254249327425
27,-0.003956887169203326
28,-0.013019446277813717
29,0.0
30,-0.01220996272141215
31,-0.0029990169253353745
32,0.0016865133203068528
33,0.0
34,0.0
35,-0.0069212269804611514
36,-0.008914927381879637
37,-0.009361097388995217
38,0.0
39,-0.0114104261093554
40,-0.003883256130118353
41,-0.003816800961545126
42,-0.018171588112319025
43,0.00245870802970465
44,-0.009823490734807754
45,-0.004604934837516552
46,-0.0034372621771687232
47,-0.001728323873151652
48,-0.0037494121939308012
49,-0.0004684699364510495
50,-0.007696654404830073
51,-0.022465826070580126
52,0.0
53,0.0
54,-0.0098195217918708
55,0.002064453145180495
56,-0.004290467826993502
57,-0.004951426162088275
58,-0.013485699620354029
59,-0.005586327636444776
60,-0.01976694894507882
61,0.0017381398649796015
62,-0.005129040558109902
63,-0.003207339609215725
64,-0.003643926660897426
65,-0.0011868122947693502
66,0.0023196825379478503
67,-0.005997733019365538
68,-0.0009555382033573758
69,-0.001324012445405177
70,0.0
71,-0.002284270369820326
72,-0.01642698212483757
73,-0.01874587573896105
74,-0.00027561245641185
75,-0.00019647959757002368
76,-0.0033630863915442505
77,-0.004707105622326849
78,-0.0007166482979484748
79,-0.00908167896593232
80,-0.00479734489454825
81,-0.003026934729567995
82,-0.010147021879860111
83,-0.007919085132766884
84,-0.011728313325502645
85,-0.009478682939216564
86,-0.011025956612312687
87,-0.006474872880453501
88,-0.0056150529071406505
89,0.0
90,-0.004221810878115108
91,-0.016994917983252922
92,-0.011154818762392358
93,-0.006960514682069593
94,-0.001211008303461201
95,-0.01038335110589373
96,-0.0005877742946707974
97,0.0
98,-0.007473689176322447
99,0.0
100,-0.0020481768848759066
101,-0.01338570184617245
102,-0.004917904627525669
103,-0.004050573786125252
104,-0.0004684699364510495
105,-0.002915689858868444
106,-0.013962171918943422
107,0.0
108,-0.002284270369820326
109,-0.00227084462885235
110,-0.0017334162257117737
111,-1.5097502415599949e-05
112,-0.0028800026764431194
113,-0.00538681588244835
114,-0.003459674645710351
115,-0.0004353047473756996
116,-0.0024628252865983255
117,-0.01652821525354981
118,-0.009409857535714761
119,-0.0021595843431936514
120,0.0005208422725339994
121,0.0
122,-0.000993327417159854
123,-0.006206987407722823
124,0.00222889269200745
125,-0.006692354048183624
126,-0.006774166278359396
127,-0.006877209309951924
128,-0.0049895033133999745
129,0.0
130,-0.008146114894325526
131,-0.015533108612878429
132,0.0
133,-3.537931927235019e-05
134,-0.0025868236076107497
135,-0.0025270988276805246
136,-0.0012277131541643012
137,-0.0004298822629632002
138,0.0
139,-0.0013034780729289028
140,-0.0017756244429684512
141,-0.0036244872892016
142,-0.0015058979353858998
143,0.0
144,-0.012262092867523802
145,-0.0012071329748716514
146,0.0
147,-0.004457123431377276
148,-0.004352394029909286
149,-0.00686881459111848
150,-0.003444192165773489
151,-0.005193090871422125
152,-0.01501475606786745
153,-0.010338030237884325
154,-0.0027632203850194476
155,-0.019010924400256896
156,0.014450314508846401
157,-0.00496075414950985
158,-0.00010188304980025039
159,-0.00033585104169409996
160,-0.000614482931678663
161,-0.011915300540972406
162,-0.006375903081714325
163,-0.004365029454764377
164,-0.006206384392950574
165,-0.005280162104283023
166,-0.0033536318137967584
167,-0.0007271024351769503
168,0.0
169,-0.00183460017303175
170,-0.007322189841250345
171,-0.005712206407584975
172,-0.011427221164891902
173,-0.006188874391870295
174,-0.0003849863115978
175,-0.003451003648495225
176,0.0011513553403836745
177,-0.0025548106604574034
178,-0.002015318227785675
179,-0.006020756449446549
180,-0.001025702494827274
181,0.0
182,-0.0047151218304897005
183,0.0
184,-0.0025483406900924446
185,-0.0001571163106061634
186,-0.014110401924245878
187,-0.002042610054543924
188,0.0
189,-0.009949459754457893
190,-0.009917308383446847
191,-0.019885650294943227
192,-0.005639750842395603
193,-0.003542985833179699
194,-0.003816800961545126
195,0.0
196,-0.027552119815605736
197,-0.016962726953176223
198,-0.0018502168395434992
199,-0.00400954665889745
200,-0.0007166482979484748
201,-0.005446058502275974
202,-0.0012451451838491265
203,-0.0027632203850194476
204,-0.005661881977671437
205,-0.0042597580879195004
206,-0.0024343830817852535
207,-0.010540520503251072
208,-0.014923261249576304
209,-0.010575052824314101
210,-0.004336985048245451
211,-0.005463010057577055
212,-0.003935208786162102
213,-0.0048962550407721465
214,-0.007503817103987226
215,-0.003171216938927149
216,-0.01129019108413905
217,-0.0039281445821614
218,-0.00032759348302355035
219,-0.0015354497140432255
220,-0.007669714647056352
221,-0.004838955782677525
222,-0.00183460017303175
223,0.0001722428372663504
224,-0.0008966716963752499
225,0.0
226,-0.01091274902336645
227,-0.006350935308206275
228,-0.0037883722391938712
229,-0.0027907745004475517
230,-0.004248153451658231
231,-0.0004944960440316504
232,-0.0013656359347035
233,-0.0007271024351769503
234,-0.04888739797475997
235,-2.7516849421926892e-05
236,-0.014486625576196854
237,-0.005665492361908726
238,-0.002480377074754925
239,-0.02742556542047103
240,-0.004336985048245451
241,-0.009555097457890953
242,-0.0047374246838274275
243,0.0
244,-0.005940051720465276
245,-0.0073529480523239765
246,-0.01274133920247432
247,-0.025390353240278885
248,-0.0028752819827593755
249,0.001942627950191067
250,0.0
251,-0.00022122191443522433
252,-0.009279268923714166
253,-0.0028207053028822295
254,-0.001153446202931326
255,0.0
256,-0.006066077022487976
257,-0.001665380658436199
258,-0.0008966716963752499
259,-0.012624881744244355
260,-0.001675885409165449
261,-0.00736201519533165
262,-0.001807403123192601
263,-0.01347170172903825
264,-0.0038967706042064183
265,0.011902924008425094
266,-0.0030303327956546474
267,-0.006225532164836312
268,-0.007154245472222027
269,-0.0056471920447366515
270,-0.0011107878768144
271,0.0016191720707368767
272,-0.012791860885365894
273,-0.0036301988021794503
274,0.00044120721110954943
275,-0.02619667521333805
276,0.00021168083635035063
277,-0.0054834162257117736
278,-0.006494735340580488
279,-0.0019901967650485255
280,-0.0236408981373645
281,-0.0085271464006169
282,-0.007081259006020314
283,-0.0029145543596616453
284,-0.0032530454042081994
285,-0.004787202643754188
286,-0.006128292642767649
287,-0.010809626346466901
288,-2.674404597943769e-05
289,-0.0033307825373203245
290,-0.012719678597962376
291,-0.001665380658436199
292,-0.004192517891019611
293,0.0
294,-0.005806518463511698
295,0.0
296,-0.002105200061133328
297,-0.0023216830927138546
298,0.014450314508846401
299,0.0008073791510056494
300,-0.0025664003805074345
301,-0.0038524414656794514
302,-0.006108051984787017
303,-0.010868510582561768
304,-0.0021595843431936514
305,0.0007661102441826571
306,-0.002875553086638498
307,-0.0010426846916028634
308,0.0
309,0.004370757364801275
310,-0.0008161172809361748
311,-0.011905463793647254
312,-0.005655033800410976
313,-0.00780587054909775
314,-0.005242034653799341
315,-0.0062389129770961445
316,-0.006108051984787017
317,0.006389821012907273
318,-0.002180706521739126
319,-0.004917904627525669
320,0.0
321,-0.022976117713758203
322,-0.013949220384984928
323,-0.007685764990657853
324,-0.0023003052742925317
325,-0.0118339195593395
326,-0.0037883722391938712
327,0.0
328,-0.014677645761588401
329,-0.011927936609364554
330,0.002670388866055001
331,-0.017648827751992877
332,0.0007278112079976522
333,-0.00183460017303175
334,-0.015387542031523302
335,-0.0022202712273751766
336,0.0023382775841298
337,-0.0039653396739355515
338,-0.04390601194857232
339,-0.0073740322848841995
340,-0.004189880756913098
341,-0.002180706521739126
342,-0.0003849863115978
343,-0.010045867026614426
344,-0.001889486723429
345,-0.004971225522626846
346,-0.005575342992449543
347,-0.006412581053609276
348,-0.01704698383175557
349,-0.0041171481305300505
350,-0.0003849863115978
351,-0.009430293510220199
352,-0.006168890474865452
353,-0.007153500396415577
354,-0.006312791559293776
355,-0.0023127936132039013
356,-0.003469378558438444
357,-0.000917300086515875
