scenario,dataset,median_delta_nap,components
original_seed42,CHEMBL2147_Ki,-0.015238963961143201,13
original_seed42,CHEMBL239_EC50,-0.002490290367698253,33
original_seed42,CHEMBL244_Ki,-0.004679736855092809,52
original_seed42,CHEMBL2835_Ki,-0.007633601923090252,5
original_seed42,CHEMBL287_Ki,0.0,26
original_seed42,CHEMBL4616_EC50,0.0,9
split_seed_20260903,CHEMBL2147_Ki,-0.026224086162637647,14
split_seed_20260903,CHEMBL239_EC50,-0.004139446098072409,33
split_seed_20260903,CHEMBL244_Ki,0.0,51
split_seed_20260903,CHEMBL2835_Ki,-0.03289202937093813,5
split_seed_20260903,CHEMBL287_Ki,-0.00010940146809714987,26
split_seed_20260903,CHEMBL4616_EC50,0.0,10
split_seed_20260904,CHEMBL2147_Ki,-0.022551002628739013,14
split_seed_20260904,CHEMBL239_EC50,-0.003276936180330911,33
split_seed_20260904,CHEMBL244_Ki,-0.0102641643592803,51
split_seed_20260904,CHEMBL2835_Ki,0.004163624264428997,5
split_seed_20260904,CHEMBL287_Ki,0.0,26
split_seed_20260904,CHEMBL4616_EC50,0.003456405004858852,10
