draw,estimate
0,-0.01344307876118988
1,-0.013123636416718092
2,-0.014043730790296369
3,-0.01444382991048523
4,-0.013005507353480867
5,-0.012109829056138149
6,-0.013201206433584911
7,-0.013154649229379057
8,-0.012051878755564936
9,-0.00417125270278193
10,-0.01760112994719795
11,-0.010273812414452452
12,-0.009804184105790766
13,-0.013359658197307951
14,-0.020783964961451663
15,-0.01709066954539215
16,-0.014583333333333323
17,-0.014567223562466772
18,-0.011773337430762622
19,-0.012873029414617798
20,-0.01284507384726684
21,-0.012268518518518519
22,-0.01337179973783873
23,-0.010963104440047017
24,-0.00788477364882525
25,-0.006325094570060641
26,-0.01905864134879489
27,-0.015018413463523908
28,-0.014156240309514127
29,-0.002659729423866714
30,-0.013218530058352633
31,-0.016929036363913002
32,-0.012097482683034969
33,-0.010117172968197235
34,-0.008927622247221623
35,-0.01421258062961825
36,-0.012408853872014047
37,-0.018162650703726857
38,-0.010724460724460799
39,-0.023441020237695384
40,-0.01721368434441964
41,-0.012627355153761705
42,-0.0029824011368395076
43,-0.0126181061839418
44,-0.013802361166187105
45,-0.020087653392341885
46,-0.012383359711811101
47,-0.013104532638488028
48,-0.012570798335597645
49,-0.013005507353480867
50,-0.013510379167540557
51,-0.012117187463019253
52,-0.013652410964414767
53,-0.014679986571565022
54,-0.015282772232929901
55,-0.01537420913760539
56,-0.0029612046776550955
57,-0.012415087367432812
58,-0.0059533916328490255
59,-0.011879108889564399
60,-0.02023084313057215
61,-0.011508969933924227
62,-0.008410740957070803
63,-0.009109403301614633
64,-0.010993143442885638
65,-0.011773337430762622
66,-0.012471576312438719
67,-0.012314479121424748
68,-0.01795419253116152
69,-0.015516082487904884
70,-0.0107265703387327
71,-0.009758610676304466
72,-0.01081408941935258
73,-0.018515380630317473
74,-0.01155347703677393
75,-0.0119086319823707
76,-0.015834954674104583
77,-0.0044303227825714005
78,-0.007626746642474057
79,-0.013210233675064452
80,-0.014504621002252473
81,-0.009940614940614927
82,-0.0135043123531212
83,-0.024276045442344296
84,-0.012416727273366533
85,-0.012609819291544103
86,-0.017262560902799578
87,-0.009019392505067406
88,-0.011388932646281031
89,-0.014876295621236256
90,-0.012268518518518519
91,-0.01705965699035981
92,-0.010233660605061937
93,-0.010634881422924902
94,-0.015182765277334385
95,-0.009843554883554217
96,-0.011976332906835935
97,-0.009882796226250642
98,-0.013826829703995014
99,-0.01155347703677393
100,-0.014976211075721124
101,-0.013301950622234562
102,-0.01709066954539215
103,-0.009384246541799424
104,-0.015158921352117953
105,-0.012228741330908503
106,-0.004253533133965787
107,-0.012173171281077214
108,-0.010273812414452452
109,-0.013218530058352633
110,-0.013826829703995014
111,-0.01840441243582651
112,-0.004147589109082028
113,-0.017943588634548757
114,-0.011898801902801601
115,-0.01346371882086167
116,-0.011706402407162319
117,-0.010634881422924902
118,-0.010792557097867889
119,-0.009920763906101459
120,-0.0167739267960334
121,-0.015834954674104583
122,-0.006474826084878618
123,-0.013510379167540557
124,-0.011906751336898332
125,-0.009090045809174576
126,-0.013005507353480867
127,-0.01892682683711318
128,-0.012169455145788058
129,-0.008779241216471292
130,-0.013652410964414767
131,-0.009821054490172204
132,-0.01906861972166172
133,-0.014035300915204434
134,-0.005453879212163934
135,-0.010963104440047017
136,-0.012541426827141128
137,-0.013379024148471086
138,-0.017662465168712435
139,-0.013765109449922722
140,-0.01240584290396323
141,-0.011576347935013831
142,-0.018347139820802938
143,-0.013917840370612703
144,-0.014790230160091705
145,-0.0122929885483304
146,-0.018536205726105065
147,-0.011156345375475638
148,-0.011528882647265768
149,-0.010963104440047017
150,-0.017935680461999833
151,-0.005568506588947754
152,-0.014063870417044069
153,-0.013267839768359643
154,-0.011888353353033981
155,-0.01421258062961825
156,-0.01161939252752717
157,-0.013127355961700343
158,-0.008665112200000241
159,-0.014591346791541582
160,-0.017490686750890817
161,-0.010720669948730749
162,-0.008654806830560878
163,-0.012971900471900463
164,-0.017245352076042053
165,-0.018586322829885933
166,-0.013834140825140694
167,-0.01346371882086167
168,-0.013375411943154909
169,-0.009081472909640849
170,-0.01035263975865107
171,-0.015544692656523222
172,-0.016118592152529712
173,-0.0099536620790853
174,-0.016639401892199993
175,-0.011104566729566723
176,-0.015768348111916186
177,-0.011834123763447932
178,-0.014469819009542612
179,-0.012383359711811101
180,-0.013123636416718092
181,-0.0119086319823707
182,-0.011879108889564399
183,-0.005568506588947754
184,-0.011255351991592815
185,-0.008466004011527226
186,-0.008700058793107812
187,-0.014824023413203196
188,-0.011266841662863252
189,-0.014818801579858099
190,-0.01078567043705717
191,-0.011902776619849967
192,-0.008061616939088932
193,-0.012333333333333333
194,-0.008065776355404102
195,-0.011758895241002564
196,-0.021173144523993
197,-0.014035546060817167
198,-0.012008672134515432
199,-0.010273812414452452
200,-0.012728228177858483
201,-0.004341383447346482
202,-0.005960242661914015
203,-0.014274330635093646
204,-0.01198073762876
205,-0.014587431400672467
206,-0.010945402606176435
207,-0.011229661459697548
208,-0.016903252276831066
209,-0.019470695499245846
210,-0.012333750935048335
211,-0.013950627750744841
212,-0.009124949615903565
213,-0.009085768420394227
214,-0.011564240817304745
215,-0.018595218393481786
216,-0.01234564665254212
217,-0.009759512721544534
218,-0.013142740194948155
219,-0.01562578715499672
220,-0.0186670433985415
221,-0.015122280790675152
222,-0.0110058865389666
223,-0.01307562550131838
224,-0.015184989352198986
225,-0.01542847806241094
226,-0.017168772270813062
227,-0.0198036533962508
228,-0.017978625850760134
229,-0.00990138663353949
230,-0.010770661275287911
231,-0.009843554883554217
232,-0.012279503444254913
233,-0.010372731843320104
234,-0.010642525686783264
235,-0.013570024424811613
236,-0.008867900258367381
237,-0.0063440291944810365
238,-0.012947249031381678
239,-0.0060772358859671315
240,-0.017370538672779465
241,-0.014531521763062771
242,-0.019068285794028673
243,-0.012333333333333333
244,-0.01230807158447814
245,-0.01161939252752717
246,-0.010642525686783264
247,-0.019778798938765885
248,-0.01455092973976015
249,-0.013359658197307951
250,-0.008466004011527226
251,-0.010201209340753227
252,-0.009459946995984568
253,-0.013025187750082226
254,-0.009559440018286902
255,-0.01638713711527927
256,-0.012279503444254913
257,-0.009295587092224823
258,-0.012710494229628617
259,-0.008481658936419695
260,-0.013342457041853717
261,-0.011242732789867631
262,-0.006834574720670967
263,-0.011255994658109149
264,-0.0172686117035628
265,-0.014659748233635918
266,-0.012090194942759015
267,-0.012828449530667974
268,-0.009492318175969718
269,-0.0234947524179899
270,-0.014306635307902063
271,-0.007567758292713389
272,-0.0029612046776550955
273,-0.028281748097716122
274,-0.00868605984115562
275,-0.011229661459697548
276,-0.014450311954679974
277,-0.008020813007688136
278,-0.01283067013626495
279,-0.014554919165052655
280,-0.004018218058672536
281,-0.013264055690532323
282,-0.012828449530667974
283,-0.006920802802118883
284,-0.017662465168712435
285,-0.013917840370612703
286,-0.015632150145281964
287,-0.009640631705456967
288,-0.013123636416718092
289,-0.015629350148568553
290,-0.01669792936903772
291,-0.004096771284271106
292,-0.013005507353480867
293,-0.020847623422419005
294,-0.008741706478055361
295,-0.009500505896328533
296,-0.012541426827141128
297,-0.012357794433488384
298,-0.01081408941935258
299,-0.008927622247221623
300,-0.012288747907724495
301,-0.009669054083062276
302,-0.01611197444530775
303,-0.009081472909640849
304,-0.008781525143508849
305,-0.009639661329756515
306,-0.02042755225104363
307,-0.0061115351506514665
308,-0.012311736325213984
309,-0.01173337214761408
310,-0.014304000627235768
311,-0.014801188163350687
312,-0.014469819009542612
313,-0.015359387281886133
314,-0.009090045809174576
315,-0.010259680021013283
316,-0.017360380404721695
317,-0.01095942365921948
318,-0.016277024648855054
319,-0.016904900136487988
320,-0.019027849261541878
321,-0.012471576312438719
322,-0.015214261812399026
323,-0.0166200938492642
324,-0.009921029294575102
325,-0.011823259745326763
326,-0.013301950622234562
327,-0.009482691332430931
328,-0.009109403301614633
329,-0.008828419038598802
330,-0.0197503521311636
331,-0.01840441243582651
332,-0.01518877156370202
333,-0.01234564665254212
334,-0.014583333333333323
335,-0.013754677663506736
336,-0.005169869847495109
337,-0.014885957945732272
338,-0.010201209340753227
339,-0.014129649332879603
340,-0.016837992727660428
341,-0.009882444654728146
342,-0.012904431674122578
343,-0.01840441243582651
344,-0.012845442347425384
345,-0.009383147098809469
346,-0.009353186779888565
347,-0.015672066051932818
348,-0.0109220354160324
349,-0.014043730790296369
350,-0.01709066954539215
351,-0.00947618075865822
352,-0.008211705180157652
353,-0.01843025076646913
354,-0.017446457772832512
355,-0.012375964886648596
356,-0.019368163727828916
357,-0.014531521763062771
358,-0.016957689188885933
359,-0.014140511260550184
360,-0.014554919165052655
361,-0.01317364652009402
362,-0.013005507353480867
363,-0.014801188163350687
364,-0.012331286647057953
365,-0.0133891094679501
366,-0.014824023413203196
367,-0.016714023362433245
368,-0.013559151881233083
369,-0.01562578715499672
370,-0.01195167342458313
371,-0.012089872449649555
372,-0.009425809568794095
373,-0.008392833928868432
374,-0.011243779585423663
375,-0.013142740194948155
376,-0.011773337430762622
377,-0.012173171281077214
378,-0.01161939252752717
379,-0.00652427008897806
380,-0.010273812414452452
381,-0.012805207209348798
382,-0.007143929417729619
383,-0.013379024148471086
384,-0.012498840038221992
385,-0.01709329685491988
386,-0.012674026397234701
387,-0.012806743210450881
388,-0.01709066954539215
389,-0.009669053467500105
390,-0.0082952095802068
391,-0.0073507193605232765
392,-0.011773337430762622
393,-0.0192406356767028
394,-0.009708317026330779
395,-0.011243779585423663
396,-0.009081472909640849
397,-0.011641104435990878
398,-0.012331286647057953
399,-0.009689893868254376
400,-0.013834140825140694
401,-0.010117172968197235
402,-0.014876058275181101
403,-0.009476150482589506
404,-0.011706724713294866
405,-0.01421258062961825
406,-0.009980892340561445
407,-0.012049188721418507
408,-0.008495646109427001
409,-0.017490686750890817
410,-0.00027426632832033837
411,-0.017747428049156123
412,-0.004536401803670431
413,-0.008597852451267407
414,-0.015462047238249984
415,-0.009476150482589506
416,-0.010615085096957648
417,-0.010770661275287911
418,-0.01593823070847393
419,-0.018144994370308705
420,-0.014659748233635918
421,-0.01421258062961825
422,-0.013267839768359643
423,-0.01595866013406154
424,-0.009708317026330779
425,-0.012541426827141128
426,-0.014469819009542612
427,-0.015678631552413606
428,-0.010645375234018983
429,-0.01518877156370202
430,-0.018243792580273997
431,-0.009338102852426491
432,-0.01177692309611799
433,-0.014222674757691282
434,-0.012279503444254913
435,-0.007072625322392705
436,-0.0149000667868592
437,-0.01391384790098362
438,-0.007742715397287381
439,-0.009581413006282735
440,-0.008648956603178687
441,-0.011105423558133182
442,-0.008894992949850713
443,-0.01198073762876
444,-0.014154411764705874
445,-0.021890071179392137
446,-0.013005507353480867
447,-0.008010218415432535
448,-0.012157570622373232
449,-0.012541426827141128
450,-0.009659989197897022
451,-0.012710494229628617
452,-0.013380988027976909
453,-0.009680134680134537
454,-0.016696722891859035
455,-0.012169455145788058
456,-0.013962570589608092
457,-0.011105423558133182
458,-0.0126181061839418
459,-0.01414992465772692
460,-0.01227025898078533
461,-0.012288747907724495
462,-0.007995202387701019
463,-0.010273812414452452
464,-0.009821054490172204
465,-0.011363386818141832
466,-0.01905864134879489
467,-0.010758195453804964
468,-0.012400962737749021
469,-0.011105423558133182
470,-0.01155347703677393
471,-0.01795419253116152
472,-0.008319293634026597
473,-0.01081408941935258
474,-0.011215543333971432
475,-0.011104566729566723
476,-0.018862591698381018
477,-0.010577706465493802
478,-0.014679986571565022
479,-0.009639661329756515
480,-0.014881404140072397
481,-0.019257173706926367
482,-0.01747084261017975
483,-0.017943588634548757
484,-0.014554919165052655
485,-0.015551900301654337
486,-0.00990138663353949
487,-0.012388223365924954
488,-0.021009700176366816
489,-0.01115230000662874
490,-0.01945657026367103
491,-0.007787634462334169
492,-0.010761649655981052
493,-0.010117172968197235
494,-0.009463157732561314
495,-0.009492318175969718
496,-0.01977014287678684
497,-0.009383147098809469
498,-0.013361646342379324
499,-0.016698369552861247
500,-0.006877581380713274
501,-0.02208101778077296
502,-0.011758895241002564
503,-0.007072625322392705
504,-0.01595866013406154
505,-0.007889814246584595
506,-0.013772962614178862
507,-0.011242732789867631
508,-0.018515380630317473
509,-0.014277836066317103
510,-0.011504817444219032
511,-0.00515477264865806
512,-0.01421258062961825
513,-0.011881251556090731
514,-0.015132982157463726
515,-0.017485446421513534
516,-0.01112309441731544
517,-0.01346371882086167
518,-0.01094120586840443
519,-0.008700058793107812
520,-0.015608734431344667
521,-0.015462047238249984
522,-0.006398199410025833
523,-0.008894992949850713
524,-0.012393126681607247
525,-0.016737759794150864
526,-0.013026482937603563
527,-0.013167075170001846
528,-0.0074480958298799495
529,-0.017262560902799578
530,-0.01738232326334531
531,-0.01525681106026647
532,-0.01230807158447814
533,-0.0185758277628347
534,-0.00987928184018022
535,-0.012268518518518519
536,-0.005309375661433927
537,-0.008966075098778059
538,-0.014469819009542612
539,-0.006398199410025833
540,-0.01414992465772692
541,-0.011243779585423663
542,-0.009822671744355981
543,-0.011191593160770699
544,-0.017943588634548757
545,-0.009882796226250642
546,-0.013826829703995014
