dataset,median_delta_nap,components,rows
CHEMBL1862_Ki,-0.010273812414452452,8,96
CHEMBL1871_Ki,0.009809680655548315,11,132
CHEMBL2034_Ki,-0.021204610955256498,12,144
CHEMBL2047_EC50,-0.01709066954539215,10,120
CHEMBL204_Ki,-0.010394140779836608,47,564
CHEMBL2147_Ki,-0.028108264054568212,13,156
CHEMBL218_EC50,-0.0049606410359876825,20,240
CHEMBL219_Ki,-0.00637026160382893,34,408
CHEMBL228_Ki,-0.0037950708774898215,31,372
CHEMBL231_Ki,-0.044275629211435796,15,180
CHEMBL233_Ki,-0.008211783214677141,46,552
CHEMBL236_Ki,-0.01942846480965017,37,444
CHEMBL237_EC50,-0.008691069978036271,18,216
CHEMBL237_Ki,-0.009980892340561445,40,480
CHEMBL238_Ki,-0.004210892232762876,19,228
CHEMBL239_EC50,-0.010706593481035587,33,396
CHEMBL244_Ki,-0.019214056502397246,52,624
CHEMBL262_Ki,-0.029113102987161216,13,156
CHEMBL264_Ki,-0.012388223365924954,46,552
CHEMBL2835_Ki,0.010471074058847793,5,60
CHEMBL287_Ki,0.0,26,312
CHEMBL2971_Ki,-0.03311310088600103,11,132
CHEMBL3979_EC50,-0.01391384790098362,17,204
CHEMBL4005_Ki,-0.038818499283211245,17,204
CHEMBL4203_Ki,-0.02252332856797686,6,72
CHEMBL4616_EC50,-0.0030471744920407967,9,108
CHEMBL4792_Ki,-0.004163869291682817,21,252
