dataset,representation,predictor,explainer,components,trained_ap,permuted_ap,trained_nap,permuted_nap,prevalence,median_delta_ap,median_delta_nap,ci90_low,ci90_high,ci95_low,ci95_high
CHEMBL1862_Ki,molformer,mlp,crem_lime,8,0.3439839027193671,0.3675575299603789,0.07364664892682986,0.06293175673653173,0.2924651567944251,-0.022388374428741656,-0.02942888716759355,-0.09919545121138579,0.06845392961211064,-0.11430296697922775,0.13533396786306343
CHEMBL1862_Ki,molformer,mlp,crem_mean,8,0.406607626773588,0.46792669103844703,0.12576707695458073,0.1470068046167487,0.2924651567944251,-0.04453967264282652,-0.060326304129323736,-0.11043204605375595,0.014029782948034066,-0.13135219175976454,0.01942283580441362
CHEMBL1862_Ki,molformer,xgboost,crem_lime,8,0.4248334180301897,0.46535357956150614,0.07537934600465765,0.10606063624441127,0.2924651567944251,0.002457871523842081,0.0033552530517161902,-0.12735197240319854,0.14031340071389475,-0.13747599834053867,0.19689823738514295
CHEMBL1862_Ki,molformer,xgboost,crem_mean,8,0.4451973618333869,0.4460717785114295,0.1806745835662481,0.13533169598465533,0.2924651567944251,0.011249902907882553,0.019020743692622268,-0.004453820159339095,0.05927946350244086,-0.0107265703387327,0.06740267731768204
CHEMBL1862_Ki,morgan,mlp,crem_lime,8,0.3735752547530213,0.4737356135847913,-0.01573924214384073,0.24595163552735144,0.2924651567944251,-0.09227622081581807,-0.1465479258826465,-0.30795956675301095,-0.09183971805757685,-0.35610877879328856,-0.08826505663048016
CHEMBL1862_Ki,morgan,mlp,crem_mean,8,0.4391171250612728,0.46530827219107096,0.1596171672790891,0.2427255516003914,0.2924651567944251,-0.06390493846949638,-0.0878837131948905,-0.29732999370211016,0.03434285310876761,-0.4398400396624905,0.0385571571115816
CHEMBL1862_Ki,morgan,xgboost,crem_lime,8,0.3544516095302799,0.46489067587127353,0.06345884846429475,0.17756558395426103,0.2924651567944251,-0.02813747395595259,-0.03833715031813178,-0.291235748789616,0.12994619926855044,-0.294061974936071,0.19416484105382964
CHEMBL1862_Ki,morgan,xgboost,crem_mean,8,0.4323929822305348,0.42057085321143783,0.10504708564897045,0.1502151093798901,0.2924651567944251,-0.010114335369785038,-0.014112733462999356,-0.2961152936277316,0.1786752092568218,-0.47145806385108496,0.1956959848358788
CHEMBL1862_Ki,unimol,mlp,crem_lime,8,0.3728349871169873,0.4304765550156542,0.09814101543070947,0.12299773445834677,0.2924651567944251,0.0010436462719863177,0.01653490796523023,-0.09765972448917448,0.08575481791646819,-0.10624094986592403,0.10833537803588061
CHEMBL1862_Ki,unimol,mlp,crem_mean,8,0.39317922539451466,0.4027427981895274,0.10387890152728932,0.16401311918091288,0.2924651567944251,0.0137666202749116,0.01979746854021342,-0.08872722556208631,0.14806739427650142,-0.10931067140497575,0.19555910111631192
CHEMBL1862_Ki,unimol,xgboost,crem_lime,8,0.42821160447172535,0.4417037846774222,0.05736885898983819,0.11504440158835634,0.2924651567944251,-0.009364549952560766,-0.0479732174642523,-0.10190088278698126,0.0012000462274838856,-0.10411503833565283,0.006126628008539969
CHEMBL1862_Ki,unimol,xgboost,crem_mean,8,0.5300551064215444,0.44710074420386314,0.24093611960873318,0.1990626130635565,0.2924651567944251,0.052846745548469964,0.11898789695584189,-0.00021424950289830602,0.1727426445386427,-0.003934108271254344,0.2024389445432654
CHEMBL1871_Ki,molformer,mlp,crem_lime,11,0.32014297831456456,0.28187830687830684,0.11322997171464948,0.0928943244274612,0.2195121951219512,-0.030501351028669133,-0.04108345240596245,-0.15446079019737835,0.2643873591895777,-0.15446079019737835,0.2643873591895777
CHEMBL1871_Ki,molformer,mlp,crem_mean,11,0.2747318414353305,0.30092953033448405,0.0651602628230779,0.09925322693179829,0.2195121951219512,-0.006353233697135585,-0.007819364550320618,-0.0340929641087204,0.112685134624813,-0.036152810680831864,0.112685134624813
CHEMBL1871_Ki,molformer,xgboost,crem_lime,11,0.33505159690923536,0.3094524076206437,0.14789792622052958,0.1535872846203193,0.2195121951219512,0.02593052953184144,0.030792503819061595,-0.19536394815162567,0.16282454385808032,-0.19536394815162567,0.16282454385808032
CHEMBL1871_Ki,molformer,xgboost,crem_mean,11,0.32877183428940054,0.32029710056025845,0.12955960161842506,0.1379822530864197,0.2195121951219512,0.0006944444444444003,0.0007535460992907674,-0.01486185069890451,0.10234937476316788,-0.0181731958517673,0.10234937476316788
CHEMBL1871_Ki,morgan,mlp,crem_lime,11,0.33868805218161674,0.37377613062281534,0.18956271649031262,0.1976506673604822,0.2195121951219512,0.002481930569634694,0.0031799735423443665,-0.14403072431558037,0.1382251049293004,-0.2136551133715494,0.1382251049293004
CHEMBL1871_Ki,morgan,mlp,crem_mean,11,0.2645257134840468,0.3338101894474443,0.0543902030509173,0.14347024357528557,0.2195121951219512,-0.004319364845680684,-0.005228704813192334,-0.08203925463843878,0.15605471399742238,-0.08203925463843878,0.15605471399742238
CHEMBL1871_Ki,morgan,xgboost,crem_lime,11,0.4392710751619428,0.3562546833166951,0.22706505544637703,0.18026268024052974,0.2195121951219512,0.0977338300674214,0.1290398192532407,0.014176989025082187,0.32036685969910084,0.014176989025082187,0.32036685969910084
CHEMBL1871_Ki,morgan,xgboost,crem_mean,11,0.25068365586416985,0.3254434608601275,0.09929078014184389,0.1327130211058782,0.2195121951219512,0.027664859981933188,0.0354456018518519,-0.07150651624074564,0.09346504559270509,-0.08055506230713981,0.107086017430845
CHEMBL1871_Ki,unimol,mlp,crem_lime,11,0.27212282256786896,0.2633645926650186,0.03954489113774497,0.09166528294143993,0.2195121951219512,0.011300037982116817,0.014478173664587174,-0.05395850070282954,0.11835889953458023,-0.12010105914726066,0.11835889953458023
CHEMBL1871_Ki,unimol,mlp,crem_mean,11,0.2713254094833042,0.29686194641660774,0.05044689638420286,0.029669486054918634,0.2195121951219512,7.122507122503396e-05,7.728677941439867e-05,-0.09865168589126924,0.019305563466747663,-0.09865168589126924,0.020777410329284228
CHEMBL1871_Ki,unimol,xgboost,crem_lime,11,0.2920772266186615,0.29387259291810525,0.09297394660516002,0.08564641968829127,0.2195121951219512,0.018773633303527548,0.025286934653730997,-0.10936759982952765,0.06297971715013326,-0.10936759982952765,0.07922028670078513
CHEMBL1871_Ki,unimol,xgboost,crem_mean,11,0.3072262479871175,0.3012291209176485,0.06271786492374723,0.08855557143440923,0.2195121951219512,-0.00698309626881044,-0.008668671230247449,-0.02179540174331837,0.010591258647981404,-0.0430597771023303,0.010591258647981404
CHEMBL2034_Ki,molformer,mlp,crem_lime,12,0.3138997359827196,0.35332033736141955,0.10119227071559664,0.14494693596669184,0.20780367231638416,-0.00622730967609926,-0.007175632717317578,-0.18978162568066115,0.16303968051940967,-0.2650444486111084,0.18827528851237102
CHEMBL2034_Ki,molformer,mlp,crem_mean,12,0.3354138206773851,0.3509170333078533,0.11089871068862656,0.16131773406209488,0.20780367231638416,0.010295713445302779,0.01383294484074266,-0.04371837888774271,0.0419328419328419,-0.07056794551542456,0.04240378682888682
CHEMBL2034_Ki,molformer,xgboost,crem_lime,12,0.333980779750261,0.3582304295817405,0.19796927422427846,0.1713946862206338,0.20780367231638416,-0.03620131105899827,-0.04115788915856766,-0.07685190085480886,0.0648787053486059,-0.09639815022671018,0.10245832486474998
CHEMBL2034_Ki,molformer,xgboost,crem_mean,12,0.3582306191618553,0.27404687348689744,0.133148329670886,0.10303041335969854,0.20780367231638416,0.012259369532053421,0.015934987633650637,-0.0389433551198257,0.06837999069913839,-0.04786671216194779,0.071347005968287
