dataset,interaction,contrast,estimate
CHEMBL1862_Ki,representation_by_predictor,molformer_vs_morgan,0.03492528362757506
CHEMBL1862_Ki,representation_by_explainer,molformer_vs_morgan,0.049060277931856265
CHEMBL1862_Ki,three_way,molformer_vs_morgan,0.08100270343525985
CHEMBL1862_Ki,representation_by_predictor,unimol_vs_morgan,0.07364972615512996
CHEMBL1862_Ki,representation_by_explainer,unimol_vs_morgan,-0.043667522726094476
CHEMBL1862_Ki,three_way,unimol_vs_morgan,0.19813834967773458
CHEMBL1862_Ki,predictor_by_explainer,average_over_representations,0.058607221871707894
CHEMBL1871_Ki,representation_by_predictor,molformer_vs_morgan,0.043042642750652574
CHEMBL1871_Ki,representation_by_explainer,molformer_vs_morgan,-0.05261401294639825
CHEMBL1871_Ki,three_way,molformer_vs_morgan,0.02188249347043944
CHEMBL1871_Ki,representation_by_predictor,unimol_vs_morgan,0.0822356746982293
CHEMBL1871_Ki,representation_by_explainer,unimol_vs_morgan,-0.02682320149388714
CHEMBL1871_Ki,three_way,unimol_vs_morgan,0.06563082004704643
CHEMBL1871_Ki,predictor_by_explainer,average_over_representations,-0.05601443454002348
CHEMBL2034_Ki,representation_by_predictor,molformer_vs_morgan,-0.04718444508760918
CHEMBL2034_Ki,representation_by_explainer,molformer_vs_morgan,0.006416821214438042
CHEMBL2034_Ki,three_way,molformer_vs_morgan,-0.0076489213588314744
CHEMBL2034_Ki,representation_by_predictor,unimol_vs_morgan,-0.14656529189800196
CHEMBL2034_Ki,representation_by_explainer,unimol_vs_morgan,-0.019630188022689496
CHEMBL2034_Ki,three_way,unimol_vs_morgan,-0.17777713345007123
CHEMBL2034_Ki,predictor_by_explainer,average_over_representations,-0.018075464343311365
CHEMBL2047_EC50,representation_by_predictor,molformer_vs_morgan,0.009804143658475192
CHEMBL2047_EC50,representation_by_explainer,molformer_vs_morgan,0.07563913547304225
CHEMBL2047_EC50,three_way,molformer_vs_morgan,0.055276869479404536
CHEMBL2047_EC50,representation_by_predictor,unimol_vs_morgan,-0.051265037387933705
CHEMBL2047_EC50,representation_by_explainer,unimol_vs_morgan,0.02172631914195008
CHEMBL2047_EC50,three_way,unimol_vs_morgan,-0.02798625153552508
CHEMBL2047_EC50,predictor_by_explainer,average_over_representations,-0.019135195919856633
CHEMBL204_Ki,representation_by_predictor,molformer_vs_morgan,0.028297788896036985
CHEMBL204_Ki,representation_by_explainer,molformer_vs_morgan,0.047013576077413355
CHEMBL204_Ki,three_way,molformer_vs_morgan,-0.041359390334711046
CHEMBL204_Ki,representation_by_predictor,unimol_vs_morgan,-0.027894348570803935
CHEMBL204_Ki,representation_by_explainer,unimol_vs_morgan,0.010305834559174403
CHEMBL204_Ki,three_way,unimol_vs_morgan,-0.0693318779980168
CHEMBL204_Ki,predictor_by_explainer,average_over_representations,0.04166869714517398
CHEMBL2147_Ki,representation_by_predictor,molformer_vs_morgan,0.08142792105186408
CHEMBL2147_Ki,representation_by_explainer,molformer_vs_morgan,0.04363500460816813
CHEMBL2147_Ki,three_way,molformer_vs_morgan,-0.06722289957895344
CHEMBL2147_Ki,representation_by_predictor,unimol_vs_morgan,0.004330720871328086
CHEMBL2147_Ki,representation_by_explainer,unimol_vs_morgan,0.038107034929160274
CHEMBL2147_Ki,three_way,unimol_vs_morgan,-0.0718583872467086
CHEMBL2147_Ki,predictor_by_explainer,average_over_representations,0.01186371585454542
CHEMBL218_EC50,representation_by_predictor,molformer_vs_morgan,-0.00873107338717506
CHEMBL218_EC50,representation_by_explainer,molformer_vs_morgan,0.03865550258522511
CHEMBL218_EC50,three_way,molformer_vs_morgan,-0.008359197057047109
CHEMBL218_EC50,representation_by_predictor,unimol_vs_morgan,-0.00028750103181680517
CHEMBL218_EC50,representation_by_explainer,unimol_vs_morgan,0.06317184455480516
CHEMBL218_EC50,three_way,unimol_vs_morgan,0.06679190710913771
CHEMBL218_EC50,predictor_by_explainer,average_over_representations,-0.038658943072179056
CHEMBL219_Ki,representation_by_predictor,molformer_vs_morgan,0.02584103851510127
CHEMBL219_Ki,representation_by_explainer,molformer_vs_morgan,-0.024637630240272324
CHEMBL219_Ki,three_way,molformer_vs_morgan,0.008180833710045587
CHEMBL219_Ki,representation_by_predictor,unimol_vs_morgan,0.019462771096969762
CHEMBL219_Ki,representation_by_explainer,unimol_vs_morgan,-0.0016075459818238552
CHEMBL219_Ki,three_way,unimol_vs_morgan,-0.006539882837976196
CHEMBL219_Ki,predictor_by_explainer,average_over_representations,0.01516571531927488
CHEMBL228_Ki,representation_by_predictor,molformer_vs_morgan,0.01332448013050749
CHEMBL228_Ki,representation_by_explainer,molformer_vs_morgan,-0.015643805580855857
CHEMBL228_Ki,three_way,molformer_vs_morgan,-0.03371843359434384
CHEMBL228_Ki,representation_by_predictor,unimol_vs_morgan,0.03280963424970733
CHEMBL228_Ki,representation_by_explainer,unimol_vs_morgan,0.010915983915736054
CHEMBL228_Ki,three_way,unimol_vs_morgan,-0.01341374442456493
CHEMBL228_Ki,predictor_by_explainer,average_over_representations,0.026174926643237655
CHEMBL231_Ki,representation_by_predictor,molformer_vs_morgan,0.08161237986437707
CHEMBL231_Ki,representation_by_explainer,molformer_vs_morgan,-0.011943534262597769
CHEMBL231_Ki,three_way,molformer_vs_morgan,0.06078195277072285
CHEMBL231_Ki,representation_by_predictor,unimol_vs_morgan,-0.015073086588161491
CHEMBL231_Ki,representation_by_explainer,unimol_vs_morgan,0.025300490829540515
CHEMBL231_Ki,three_way,unimol_vs_morgan,-0.0649879202088563
CHEMBL231_Ki,predictor_by_explainer,average_over_representations,0.002035747674111956
CHEMBL233_Ki,representation_by_predictor,molformer_vs_morgan,0.05074114111869116
CHEMBL233_Ki,representation_by_explainer,molformer_vs_morgan,0.03271328207402115
CHEMBL233_Ki,three_way,molformer_vs_morgan,0.04062956668673236
