target_index_zero_based,dataset,role,molecules,shared_model_molecules,sentinel_pairs,calibration_sentinel_pairs,test_sentinel_pairs,normalized_ap_eligible_pairs,normalized_ap_eligible_test_pairs,label_permutation_seed_replicate_11,label_permutation_seed_replicate_23,label_permutation_seed_replicate_42
0,CHEMBL1862_Ki,confirmation,794,794,15,7,8,15,8,20260913,20260925,20260944
1,CHEMBL1871_Ki,confirmation,659,631,19,8,11,19,11,20261913,20261925,20261944
2,CHEMBL2034_Ki,confirmation,750,750,24,12,12,24,12,20262913,20262925,20262944
3,CHEMBL204_Ki,confirmation,2754,2738,93,46,47,93,47,20263913,20263925,20263944
4,CHEMBL2047_EC50,confirmation,631,631,18,8,10,18,10,20264913,20264925,20264944
5,CHEMBL214_Ki,development,3317,3317,115,57,58,115,58,20265913,20265925,20265944
6,CHEMBL2147_Ki,confirmation,1456,1456,27,13,14,26,13,20266913,20266925,20266944
7,CHEMBL218_EC50,confirmation,1031,1031,38,18,20,38,20,20267913,20267925,20267944
8,CHEMBL219_Ki,confirmation,1865,1865,67,33,34,67,34,20268913,20268925,20268944
9,CHEMBL228_Ki,confirmation,1704,1704,61,30,31,61,31,20269913,20269925,20269944
10,CHEMBL231_Ki,confirmation,973,973,28,13,15,28,15,20270913,20270925,20270944
11,CHEMBL233_Ki,confirmation,3142,3121,91,45,46,91,46,20271913,20271925,20271944
12,CHEMBL234_Ki,development,3657,3657,113,55,58,113,58,20272913,20272925,20272944
13,CHEMBL235_EC50,development,2349,2349,75,37,38,75,38,20273913,20273925,20273944
14,CHEMBL236_Ki,confirmation,2598,2572,69,32,37,69,37,20274913,20274925,20274944
15,CHEMBL237_EC50,confirmation,955,952,35,17,18,35,18,20275913,20275925,20275944
16,CHEMBL237_Ki,confirmation,2603,2585,76,36,40,76,40,20276913,20276925,20276944
17,CHEMBL238_Ki,confirmation,1052,1052,37,18,19,37,19,20277913,20277925,20277944
18,CHEMBL239_EC50,confirmation,1721,1721,65,32,33,65,33,20278913,20278925,20278944
19,CHEMBL244_Ki,confirmation,3097,3092,103,51,52,103,52,20279913,20279925,20279944
20,CHEMBL262_Ki,confirmation,856,856,24,11,13,24,13,20280913,20280925,20280944
21,CHEMBL264_Ki,confirmation,2862,2862,94,47,47,92,46,20281913,20281925,20281944
22,CHEMBL2835_Ki,confirmation,615,615,10,5,5,10,5,20282913,20282925,20282944
23,CHEMBL287_Ki,confirmation,1328,1328,51,25,26,51,26,20283913,20283925,20283944
24,CHEMBL2971_Ki,confirmation,976,976,20,9,11,20,11,20284913,20284925,20284944
25,CHEMBL3979_EC50,confirmation,1125,1125,34,17,17,34,17,20285913,20285925,20285944
26,CHEMBL4005_Ki,confirmation,960,960,34,17,17,34,17,20286913,20286925,20286944
27,CHEMBL4203_Ki,confirmation,731,731,12,6,6,12,6,20287913,20287925,20287944
28,CHEMBL4616_EC50,confirmation,682,673,19,10,9,19,9,20288913,20288925,20288944
29,CHEMBL4792_Ki,confirmation,1471,1471,40,19,21,40,21,20289913,20289925,20289944
