dataset,component_id,same_pair,molecule_index,alternative_positive_atoms,original_positive_atoms,intersection_atoms,union_atoms,jaccard,exact
CHEMBL1862_Ki,3,False,60,5,5,5,5,1.0,True
CHEMBL1862_Ki,8,True,109,6,6,6,6,1.0,True
CHEMBL1862_Ki,8,True,114,7,7,7,7,1.0,True
CHEMBL1862_Ki,9,False,163,9,8,5,12,0.4166666666666667,False
CHEMBL1862_Ki,22,True,456,11,11,11,11,1.0,True
CHEMBL1862_Ki,22,True,533,11,11,11,11,1.0,True
CHEMBL1862_Ki,25,True,576,23,23,23,23,1.0,True
CHEMBL1862_Ki,25,True,727,23,23,23,23,1.0,True
CHEMBL1871_Ki,1,False,11,7,7,7,7,1.0,True
CHEMBL1871_Ki,6,True,91,8,8,8,8,1.0,True
CHEMBL1871_Ki,6,True,92,4,4,4,4,1.0,True
CHEMBL1871_Ki,12,True,182,11,11,11,11,1.0,True
CHEMBL1871_Ki,12,True,185,6,6,6,6,1.0,True
CHEMBL1871_Ki,18,False,248,3,3,3,3,1.0,True
CHEMBL1871_Ki,19,False,258,4,4,4,4,1.0,True
CHEMBL1871_Ki,25,False,409,4,0,0,4,0.0,False
CHEMBL1871_Ki,35,True,574,10,10,10,10,1.0,True
CHEMBL1871_Ki,35,True,576,9,9,9,9,1.0,True
CHEMBL1871_Ki,37,False,597,6,6,6,6,1.0,True
CHEMBL1871_Ki,38,False,602,7,6,6,7,0.8571428571428571,False
CHEMBL2034_Ki,1,False,14,0,3,0,3,0.0,False
CHEMBL2034_Ki,3,True,49,6,6,6,6,1.0,True
CHEMBL2034_Ki,3,True,104,5,5,5,5,1.0,True
CHEMBL2034_Ki,8,True,109,4,4,4,4,1.0,True
CHEMBL2034_Ki,8,True,114,0,0,0,0,1.0,True
CHEMBL2034_Ki,9,False,172,4,4,4,4,1.0,True
CHEMBL2034_Ki,16,False,256,7,7,7,7,1.0,True
CHEMBL2034_Ki,20,True,300,6,6,6,6,1.0,True
CHEMBL2034_Ki,20,True,301,6,6,6,6,1.0,True
CHEMBL2034_Ki,31,True,488,5,5,5,5,1.0,True
CHEMBL2034_Ki,31,True,490,4,4,4,4,1.0,True
CHEMBL2034_Ki,34,True,512,7,7,7,7,1.0,True
CHEMBL2034_Ki,34,True,517,7,7,7,7,1.0,True
CHEMBL2034_Ki,36,False,588,8,10,4,14,0.2857142857142857,False
CHEMBL2034_Ki,38,False,601,6,11,6,11,0.5454545454545454,False
CHEMBL2034_Ki,41,True,626,7,7,7,7,1.0,True
CHEMBL2034_Ki,41,True,628,4,4,4,4,1.0,True
CHEMBL2047_EC50,2,False,590,6,5,1,10,0.1,False
CHEMBL2047_EC50,3,False,285,9,8,0,17,0.0,False
CHEMBL2047_EC50,5,True,57,7,7,7,7,1.0,True
CHEMBL2047_EC50,5,True,284,5,5,5,5,1.0,True
CHEMBL2047_EC50,8,True,150,0,0,0,0,1.0,True
CHEMBL2047_EC50,8,True,154,6,6,6,6,1.0,True
CHEMBL2047_EC50,13,False,191,10,10,10,10,1.0,True
CHEMBL2047_EC50,17,False,310,5,9,5,9,0.5555555555555556,False
CHEMBL2047_EC50,19,False,340,9,9,9,9,1.0,True
CHEMBL2047_EC50,30,False,573,5,9,5,9,0.5555555555555556,False
CHEMBL2047_EC50,31,False,579,5,5,1,9,0.1111111111111111,False
CHEMBL204_Ki,4,False,1411,5,5,5,5,1.0,True
CHEMBL204_Ki,17,True,133,8,8,8,8,1.0,True
CHEMBL204_Ki,17,True,263,6,6,6,6,1.0,True
CHEMBL204_Ki,20,False,212,5,5,5,5,1.0,True
CHEMBL204_Ki,23,False,193,12,5,5,12,0.4166666666666667,False
CHEMBL204_Ki,32,False,805,12,4,4,12,0.3333333333333333,False
CHEMBL204_Ki,33,False,313,6,8,0,14,0.0,False
CHEMBL204_Ki,34,True,295,6,6,6,6,1.0,True
CHEMBL204_Ki,34,True,331,8,8,8,8,1.0,True
CHEMBL204_Ki,35,False,297,12,12,12,12,1.0,True
CHEMBL204_Ki,38,False,1661,7,11,7,11,0.6363636363636364,False
CHEMBL204_Ki,39,False,1500,7,11,7,11,0.6363636363636364,False
CHEMBL204_Ki,43,True,363,4,4,4,4,1.0,True
CHEMBL204_Ki,43,True,371,6,6,6,6,1.0,True
CHEMBL204_Ki,52,False,498,6,6,6,6,1.0,True
CHEMBL204_Ki,56,False,529,9,3,3,9,0.3333333333333333,False
CHEMBL204_Ki,66,False,1850,7,4,0,11,0.0,False
CHEMBL204_Ki,67,False,606,8,0,0,8,0.0,False
CHEMBL204_Ki,70,False,691,4,8,4,8,0.5,False
CHEMBL204_Ki,73,True,639,10,10,10,10,1.0,True
CHEMBL204_Ki,73,True,1179,9,9,9,9,1.0,True
CHEMBL204_Ki,82,False,835,4,8,4,8,0.5,False
CHEMBL204_Ki,83,False,1405,7,7,7,7,1.0,True
CHEMBL204_Ki,84,False,856,4,0,0,4,0.0,False
CHEMBL204_Ki,98,True,1272,8,8,8,8,1.0,True
CHEMBL204_Ki,98,True,1289,8,8,8,8,1.0,True
CHEMBL204_Ki,106,False,1489,10,9,9,10,0.9,False
CHEMBL204_Ki,108,True,1441,7,7,7,7,1.0,True
CHEMBL204_Ki,108,True,1452,6,6,6,6,1.0,True
CHEMBL204_Ki,110,True,1492,5,5,5,5,1.0,True
CHEMBL204_Ki,110,True,1493,5,5,5,5,1.0,True
CHEMBL204_Ki,116,False,1556,10,7,7,10,0.7,False
CHEMBL204_Ki,117,True,1560,4,4,4,4,1.0,True
CHEMBL204_Ki,117,True,1571,3,3,3,3,1.0,True
CHEMBL204_Ki,124,False,1699,4,4,4,4,1.0,True
CHEMBL204_Ki,133,True,1816,3,3,3,3,1.0,True
CHEMBL204_Ki,133,True,1818,8,8,8,8,1.0,True
CHEMBL204_Ki,134,False,2706,8,3,3,8,0.375,False
CHEMBL204_Ki,144,True,1970,6,6,6,6,1.0,True
CHEMBL204_Ki,144,True,1986,8,8,8,8,1.0,True
CHEMBL204_Ki,147,False,2060,8,7,0,15,0.0,False
CHEMBL204_Ki,156,True,2203,7,7,7,7,1.0,True
CHEMBL204_Ki,156,True,2210,7,7,7,7,1.0,True
CHEMBL204_Ki,172,False,2462,7,7,7,7,1.0,True
CHEMBL204_Ki,178,True,2577,4,4,4,4,1.0,True
CHEMBL204_Ki,178,True,2580,8,8,8,8,1.0,True
CHEMBL204_Ki,189,True,2747,0,0,0,0,1.0,True
CHEMBL204_Ki,189,True,2752,4,4,4,4,1.0,True
CHEMBL2147_Ki,5,False,534,15,17,15,17,0.8823529411764706,False
CHEMBL2147_Ki,6,True,131,6,6,6,6,1.0,True
CHEMBL2147_Ki,6,True,270,6,6,6,6,1.0,True
CHEMBL2147_Ki,7,True,137,0,0,0,0,1.0,True
CHEMBL2147_Ki,7,True,605,4,4,4,4,1.0,True
CHEMBL2147_Ki,8,True,152,15,15,15,15,1.0,True
CHEMBL2147_Ki,8,True,581,14,14,14,14,1.0,True
CHEMBL2147_Ki,13,True,191,10,10,10,10,1.0,True
CHEMBL2147_Ki,13,True,348,11,11,11,11,1.0,True
CHEMBL2147_Ki,15,True,378,11,11,11,11,1.0,True
CHEMBL2147_Ki,15,True,630,11,11,11,11,1.0,True
CHEMBL2147_Ki,18,True,445,3,3,3,3,1.0,True
CHEMBL2147_Ki,18,True,541,0,0,0,0,1.0,True
CHEMBL2147_Ki,36,False,834,9,8,0,17,0.0,False
CHEMBL2147_Ki,39,False,922,6,6,6,6,1.0,True
CHEMBL2147_Ki,42,False,1070,7,10,0,17,0.0,False
CHEMBL2147_Ki,44,True,1146,8,8,8,8,1.0,True
CHEMBL2147_Ki,44,True,1149,7,7,7,7,1.0,True
CHEMBL2147_Ki,48,True,1227,9,9,9,9,1.0,True
CHEMBL2147_Ki,48,True,1249,11,11,11,11,1.0,True
CHEMBL2147_Ki,51,True,1353,7,7,7,7,1.0,True
CHEMBL2147_Ki,51,True,1354,6,6,6,6,1.0,True
CHEMBL2147_Ki,52,True,1447,4,4,4,4,1.0,True
CHEMBL2147_Ki,52,True,1449,5,5,5,5,1.0,True
CHEMBL218_EC50,2,True,19,0,0,0,0,1.0,True
CHEMBL218_EC50,2,True,510,4,4,4,4,1.0,True
CHEMBL218_EC50,3,False,26,9,9,0,18,0.0,False
CHEMBL218_EC50,4,True,34,5,5,5,5,1.0,True
CHEMBL218_EC50,4,True,36,6,6,6,6,1.0,True
CHEMBL218_EC50,17,True,254,4,4,4,4,1.0,True
CHEMBL218_EC50,17,True,255,0,0,0,0,1.0,True
CHEMBL218_EC50,27,True,321,11,11,11,11,1.0,True
CHEMBL218_EC50,27,True,338,12,12,12,12,1.0,True
CHEMBL218_EC50,29,False,339,11,16,11,16,0.6875,False
CHEMBL218_EC50,31,False,347,8,0,0,8,0.0,False
CHEMBL218_EC50,36,True,396,7,7,7,7,1.0,True
CHEMBL218_EC50,36,True,402,7,7,7,7,1.0,True
CHEMBL218_EC50,47,True,538,8,8,8,8,1.0,True
CHEMBL218_EC50,47,True,540,12,12,12,12,1.0,True
CHEMBL218_EC50,49,False,560,11,14,7,18,0.3888888888888889,False
CHEMBL218_EC50,50,False,963,19,7,7,19,0.3684210526315789,False
CHEMBL218_EC50,51,False,649,10,17,10,17,0.5882352941176471,False
CHEMBL218_EC50,52,False,676,14,14,14,14,1.0,True
CHEMBL218_EC50,57,False,696,14,11,11,14,0.7857142857142857,False
CHEMBL218_EC50,58,False,798,8,10,4,14,0.2857142857142857,False
CHEMBL218_EC50,63,True,828,11,11,11,11,1.0,True
CHEMBL218_EC50,63,True,875,15,15,15,15,1.0,True
CHEMBL218_EC50,69,True,953,4,4,4,4,1.0,True
CHEMBL218_EC50,69,True,956,4,4,4,4,1.0,True
CHEMBL218_EC50,72,False,982,5,0,0,5,0.0,False
CHEMBL219_Ki,11,True,88,4,4,4,4,1.0,True
CHEMBL219_Ki,11,True,1010,7,7,7,7,1.0,True
CHEMBL219_Ki,20,False,145,8,4,4,8,0.5,False
CHEMBL219_Ki,26,False,202,5,5,5,5,1.0,True
CHEMBL219_Ki,37,False,603,10,10,10,10,1.0,True
CHEMBL219_Ki,41,True,358,6,6,6,6,1.0,True
CHEMBL219_Ki,41,True,364,6,6,6,6,1.0,True
CHEMBL219_Ki,42,True,375,3,3,3,3,1.0,True
CHEMBL219_Ki,42,True,411,0,0,0,0,1.0,True
CHEMBL219_Ki,45,False,405,13,6,6,13,0.46153846153846156,False
CHEMBL219_Ki,48,False,433,15,5,1,19,0.05263157894736842,False
CHEMBL219_Ki,52,True,453,12,12,12,12,1.0,True
CHEMBL219_Ki,52,True,471,12,12,12,12,1.0,True
CHEMBL219_Ki,53,True,460,7,7,7,7,1.0,True
CHEMBL219_Ki,53,True,550,7,7,7,7,1.0,True
CHEMBL219_Ki,56,False,619,9,6,6,9,0.6666666666666666,False
CHEMBL219_Ki,58,False,540,12,7,7,12,0.5833333333333334,False
CHEMBL219_Ki,64,True,663,9,9,9,9,1.0,True
CHEMBL219_Ki,64,True,1229,15,15,15,15,1.0,True
CHEMBL219_Ki,71,False,772,5,5,5,5,1.0,True
CHEMBL219_Ki,76,False,1235,5,11,2,14,0.14285714285714285,False
CHEMBL219_Ki,85,False,1117,6,7,3,10,0.3,False
CHEMBL219_Ki,86,False,1124,8,6,6,8,0.75,False
CHEMBL219_Ki,87,True,1144,8,8,8,8,1.0,True
CHEMBL219_Ki,87,True,1145,7,7,7,7,1.0,True
CHEMBL219_Ki,94,True,1245,8,8,8,8,1.0,True
CHEMBL219_Ki,94,True,1249,9,9,9,9,1.0,True
CHEMBL219_Ki,95,False,1247,8,8,4,12,0.3333333333333333,False
CHEMBL219_Ki,96,True,1285,9,9,9,9,1.0,True
CHEMBL219_Ki,96,True,1291,8,8,8,8,1.0,True
CHEMBL219_Ki,99,True,1397,17,17,17,17,1.0,True
CHEMBL219_Ki,99,True,1402,17,17,17,17,1.0,True
CHEMBL219_Ki,109,True,1502,3,3,3,3,1.0,True
CHEMBL219_Ki,109,True,1508,4,4,4,4,1.0,True
CHEMBL219_Ki,115,False,1594,9,10,9,10,0.9,False
CHEMBL219_Ki,120,True,1725,9,9,9,9,1.0,True
CHEMBL219_Ki,120,True,1726,9,9,9,9,1.0,True
CHEMBL219_Ki,121,True,1727,0,0,0,0,1.0,True
CHEMBL219_Ki,121,True,1731,4,4,4,4,1.0,True
CHEMBL219_Ki,126,False,1755,0,0,0,0,1.0,True
CHEMBL219_Ki,127,False,1763,9,5,1,13,0.07692307692307693,False
CHEMBL228_Ki,4,False,40,6,8,6,8,0.75,False
CHEMBL228_Ki,5,True,60,6,6,6,6,1.0,True
CHEMBL228_Ki,5,True,831,6,6,6,6,1.0,True
CHEMBL228_Ki,15,True,193,6,6,6,6,1.0,True
CHEMBL228_Ki,15,True,194,6,6,6,6,1.0,True
CHEMBL228_Ki,17,True,215,6,6,6,6,1.0,True
CHEMBL228_Ki,17,True,220,0,0,0,0,1.0,True
CHEMBL228_Ki,23,True,278,5,5,5,5,1.0,True
CHEMBL228_Ki,23,True,281,4,4,4,4,1.0,True
CHEMBL228_Ki,24,False,299,5,5,5,5,1.0,True
CHEMBL228_Ki,38,True,474,13,13,13,13,1.0,True
CHEMBL228_Ki,38,True,498,9,9,9,9,1.0,True
CHEMBL228_Ki,46,True,650,8,8,8,8,1.0,True
CHEMBL228_Ki,46,True,651,10,10,10,10,1.0,True
CHEMBL228_Ki,48,True,667,3,3,3,3,1.0,True
CHEMBL228_Ki,48,True,1454,0,0,0,0,1.0,True
CHEMBL228_Ki,49,True,676,0,0,0,0,1.0,True
CHEMBL228_Ki,49,True,1320,4,4,4,4,1.0,True
CHEMBL228_Ki,52,False,696,7,14,7,14,0.5,False
CHEMBL228_Ki,53,True,728,8,8,8,8,1.0,True
CHEMBL228_Ki,53,True,729,8,8,8,8,1.0,True
CHEMBL228_Ki,55,False,739,6,15,6,15,0.4,False
CHEMBL228_Ki,60,True,804,0,0,0,0,1.0,True
CHEMBL228_Ki,60,True,806,4,4,4,4,1.0,True
CHEMBL228_Ki,61,False,827,6,6,6,6,1.0,True
CHEMBL228_Ki,64,True,849,5,5,5,5,1.0,True
CHEMBL228_Ki,64,True,866,5,5,5,5,1.0,True
CHEMBL228_Ki,65,False,850,11,6,5,12,0.4166666666666667,False
CHEMBL228_Ki,66,True,852,6,6,6,6,1.0,True
CHEMBL228_Ki,66,True,867,5,5,5,5,1.0,True
CHEMBL228_Ki,79,True,1015,4,4,4,4,1.0,True
CHEMBL228_Ki,79,True,1016,4,4,4,4,1.0,True
CHEMBL228_Ki,93,True,1335,0,0,0,0,1.0,True
CHEMBL228_Ki,93,True,1339,4,4,4,4,1.0,True
CHEMBL228_Ki,106,False,1468,12,8,8,12,0.6666666666666666,False
CHEMBL228_Ki,118,True,1661,4,4,4,4,1.0,True
CHEMBL228_Ki,118,True,1662,0,0,0,0,1.0,True
CHEMBL228_Ki,120,False,1681,4,17,0,21,0.0,False
CHEMBL231_Ki,1,False,35,8,8,4,12,0.3333333333333333,False
CHEMBL231_Ki,5,True,86,6,6,6,6,1.0,True
CHEMBL231_Ki,5,True,558,7,7,7,7,1.0,True
CHEMBL231_Ki,7,True,96,7,7,7,7,1.0,True
CHEMBL231_Ki,7,True,99,5,5,5,5,1.0,True
CHEMBL231_Ki,8,False,164,12,12,12,12,1.0,True
CHEMBL231_Ki,10,True,154,6,6,6,6,1.0,True
CHEMBL231_Ki,10,True,182,6,6,6,6,1.0,True
CHEMBL231_Ki,16,True,219,4,4,4,4,1.0,True
CHEMBL231_Ki,16,True,286,0,0,0,0,1.0,True
CHEMBL231_Ki,17,False,254,7,7,7,7,1.0,True
CHEMBL231_Ki,21,False,311,9,9,9,9,1.0,True
CHEMBL231_Ki,26,False,349,5,5,3,7,0.42857142857142855,False
CHEMBL231_Ki,34,False,501,5,5,5,5,1.0,True
CHEMBL231_Ki,43,False,703,6,6,6,6,1.0,True
CHEMBL231_Ki,44,True,697,7,7,7,7,1.0,True
CHEMBL231_Ki,44,True,727,6,6,6,6,1.0,True
CHEMBL231_Ki,46,True,754,5,5,5,5,1.0,True
CHEMBL231_Ki,46,True,760,5,5,5,5,1.0,True
CHEMBL231_Ki,51,True,895,6,6,6,6,1.0,True
CHEMBL231_Ki,51,True,899,8,8,8,8,1.0,True
CHEMBL233_Ki,13,True,116,13,13,13,13,1.0,True
CHEMBL233_Ki,13,True,1946,13,13,13,13,1.0,True
CHEMBL233_Ki,18,True,164,4,4,4,4,1.0,True
CHEMBL233_Ki,18,True,170,0,0,0,0,1.0,True
CHEMBL233_Ki,24,False,2898,6,10,6,10,0.6,False
CHEMBL233_Ki,31,True,307,4,4,4,4,1.0,True
CHEMBL233_Ki,31,True,2999,4,4,4,4,1.0,True
CHEMBL233_Ki,33,True,314,6,6,6,6,1.0,True
CHEMBL233_Ki,33,True,933,6,6,6,6,1.0,True
CHEMBL233_Ki,36,False,1146,6,6,6,6,1.0,True
CHEMBL233_Ki,41,True,444,5,5,5,5,1.0,True
CHEMBL233_Ki,41,True,451,6,6,6,6,1.0,True
CHEMBL233_Ki,44,True,462,6,6,6,6,1.0,True
CHEMBL233_Ki,44,True,468,4,4,4,4,1.0,True
CHEMBL233_Ki,45,True,464,3,3,3,3,1.0,True
CHEMBL233_Ki,45,True,467,0,0,0,0,1.0,True
CHEMBL233_Ki,47,True,475,3,3,3,3,1.0,True
CHEMBL233_Ki,47,True,481,3,3,3,3,1.0,True
CHEMBL233_Ki,50,True,517,9,9,9,9,1.0,True
CHEMBL233_Ki,50,True,2218,6,6,6,6,1.0,True
CHEMBL233_Ki,52,False,555,5,9,5,9,0.5555555555555556,False
CHEMBL233_Ki,65,False,826,0,4,0,4,0.0,False
CHEMBL233_Ki,66,False,837,4,4,4,4,1.0,True
CHEMBL233_Ki,74,False,960,4,8,4,8,0.5,False
CHEMBL233_Ki,78,False,975,8,12,4,16,0.25,False
CHEMBL233_Ki,84,False,1033,4,4,4,4,1.0,True
CHEMBL233_Ki,86,True,1086,3,3,3,3,1.0,True
CHEMBL233_Ki,86,True,1088,0,0,0,0,1.0,True
CHEMBL233_Ki,94,True,1167,6,6,6,6,1.0,True
CHEMBL233_Ki,94,True,1171,7,7,7,7,1.0,True
CHEMBL233_Ki,98,True,1210,5,5,5,5,1.0,True
CHEMBL233_Ki,98,True,1641,9,9,9,9,1.0,True
CHEMBL233_Ki,99,False,1312,9,14,9,14,0.6428571428571429,False
CHEMBL233_Ki,100,True,1214,4,4,4,4,1.0,True
CHEMBL233_Ki,100,True,1307,4,4,4,4,1.0,True
CHEMBL233_Ki,107,False,1412,4,4,4,4,1.0,True
CHEMBL233_Ki,117,True,1555,4,4,4,4,1.0,True
CHEMBL233_Ki,117,True,1932,4,4,4,4,1.0,True
CHEMBL233_Ki,122,True,1613,4,4,4,4,1.0,True
CHEMBL233_Ki,122,True,1615,4,4,4,4,1.0,True
CHEMBL233_Ki,124,False,1668,4,4,4,4,1.0,True
CHEMBL233_Ki,132,True,1810,4,4,4,4,1.0,True
CHEMBL233_Ki,132,True,1812,0,0,0,0,1.0,True
CHEMBL233_Ki,140,True,1897,10,10,10,10,1.0,True
CHEMBL233_Ki,140,True,1899,5,5,5,5,1.0,True
CHEMBL233_Ki,141,False,1914,7,12,7,12,0.5833333333333334,False
CHEMBL233_Ki,142,False,2083,13,14,13,14,0.9285714285714286,False
CHEMBL233_Ki,159,True,2417,3,3,3,3,1.0,True
CHEMBL233_Ki,159,True,2422,3,3,3,3,1.0,True
CHEMBL233_Ki,163,False,2697,6,13,5,14,0.35714285714285715,False
CHEMBL233_Ki,167,True,2630,0,0,0,0,1.0,True
CHEMBL233_Ki,167,True,2632,5,5,5,5,1.0,True
CHEMBL233_Ki,177,True,2878,0,0,0,0,1.0,True
CHEMBL233_Ki,177,True,2879,7,7,7,7,1.0,True
CHEMBL233_Ki,180,False,2984,5,0,0,5,0.0,False
CHEMBL233_Ki,182,True,3072,5,5,5,5,1.0,True
CHEMBL233_Ki,182,True,3073,6,6,6,6,1.0,True
CHEMBL236_Ki,18,True,172,0,0,0,0,1.0,True
CHEMBL236_Ki,18,True,1508,3,3,3,3,1.0,True
CHEMBL236_Ki,22,False,202,8,8,8,8,1.0,True
CHEMBL236_Ki,26,False,217,4,4,4,4,1.0,True
CHEMBL236_Ki,35,True,280,5,5,5,5,1.0,True
CHEMBL236_Ki,35,True,313,0,0,0,0,1.0,True
CHEMBL236_Ki,45,True,394,3,3,3,3,1.0,True
CHEMBL236_Ki,45,True,398,0,0,0,0,1.0,True
CHEMBL236_Ki,46,True,407,0,0,0,0,1.0,True
CHEMBL236_Ki,46,True,409,5,5,5,5,1.0,True
CHEMBL236_Ki,48,False,445,4,15,4,15,0.26666666666666666,False
CHEMBL236_Ki,53,False,518,6,6,6,6,1.0,True
CHEMBL236_Ki,54,False,562,11,6,6,11,0.5454545454545454,False
CHEMBL236_Ki,67,True,715,8,8,8,8,1.0,True
CHEMBL236_Ki,67,True,717,9,9,9,9,1.0,True
CHEMBL236_Ki,76,True,850,3,3,3,3,1.0,True
CHEMBL236_Ki,76,True,851,0,0,0,0,1.0,True
CHEMBL236_Ki,77,True,862,6,6,6,6,1.0,True
CHEMBL236_Ki,77,True,863,7,7,7,7,1.0,True
CHEMBL236_Ki,81,False,961,7,13,7,13,0.5384615384615384,False
CHEMBL236_Ki,84,True,915,4,4,4,4,1.0,True
CHEMBL236_Ki,84,True,930,8,8,8,8,1.0,True
CHEMBL236_Ki,85,True,994,7,7,7,7,1.0,True
CHEMBL236_Ki,85,True,998,5,5,5,5,1.0,True
CHEMBL236_Ki,86,True,1009,8,8,8,8,1.0,True
CHEMBL236_Ki,86,True,1010,5,5,5,5,1.0,True
