dataset,components,alternative_paired_median_delta_nap,original_paired_median_delta_nap,paired_median_selection_change,selected_median_potency_difference,original_median_potency_difference,alternative_full_components,alternative_full_median_delta_nap,paired_primary_estimate_change
CHEMBL1862_Ki,8,0.0035112233293996507,-0.006978242818962196,0.0,1.4438411029899494,1.8898884043351902,8,0.0035112233293996507,0.010489466148361846
CHEMBL1871_Ki,11,0.008088129418077301,-0.0046701675908251495,0.0,1.182414652434554,1.429673476956717,11,0.008088129418077301,0.01275829700890245
CHEMBL2034_Ki,12,-0.03400849345586189,-0.030500762621196095,0.0,1.2266274995707462,1.3998081022407494,12,-0.03400849345586189,-0.0035077308346657954
CHEMBL2047_EC50,10,0.011166681286851065,0.0021141675641547543,0.0,1.2774686675780882,1.742091871847442,10,0.011166681286851065,0.00905251372269631
CHEMBL204_Ki,47,-0.013795145937265099,0.001296349326605599,0.0,1.49008623188403,2.079181246047624,47,-0.013795145937265099,-0.015091495263870698
CHEMBL2147_Ki,13,-0.022355732934998353,-0.015238963961143201,0.0,1.1050089793111102,1.1999706407558657,14,-0.022355732934998353,-0.007116768973855152
CHEMBL218_EC50,20,0.0,0.001417038689041153,0.0,1.4581817803617358,1.7827064047486862,20,0.0,-0.001417038689041153
CHEMBL219_Ki,34,-0.00041074710659179045,-0.0008356943103851409,0.0,1.3005196895478384,1.5578598456184922,34,-0.00041074710659179045,0.0004249472037933504
CHEMBL228_Ki,31,0.0,0.0,0.0,1.384367201482763,1.8564379657712395,31,0.0,0.0
CHEMBL231_Ki,15,-0.02168642413528605,-0.03961463902448316,0.0,1.2999914272569546,1.4960065988800355,15,-0.02168642413528605,0.01792821488919711
CHEMBL233_Ki,46,0.004542059683338604,0.008192020874780881,0.0,1.3030953346241083,1.628592253910584,46,0.004542059683338604,-0.003649961191442277
CHEMBL236_Ki,37,-0.019510317419386046,-0.014435277627034847,0.0,1.3010299956639813,1.6709447172759422,37,-0.019510317419386046,-0.0050750397923511985
CHEMBL237_EC50,18,0.012517149030306849,-0.0007031159033231964,0.0,1.3140321292791795,1.3140321292791795,18,0.012517149030306849,0.013220264933630045
CHEMBL237_Ki,40,0.0,0.0,0.0,1.3943977326256154,1.636064525195568,40,0.0,0.0
CHEMBL238_Ki,19,0.0,0.0,0.0,1.2424578288512889,1.4910198642362218,19,0.0,0.0
CHEMBL239_EC50,33,-0.00398163277676205,-0.002490290367698253,0.0,1.4471580313422194,1.640481436970422,33,-0.00398163277676205,-0.0014913424090637973
CHEMBL244_Ki,52,-0.0016008209813093005,-0.004679736855092809,0.0,1.3707787240535927,1.5969304494337409,52,-0.0016008209813093005,0.003078915873783509
CHEMBL262_Ki,13,-0.00989708003803568,-0.00469895255269245,0.0,1.2000371816600357,1.7999892590208226,13,-0.00989708003803568,-0.0051981274853432295
CHEMBL264_Ki,46,0.0,-1.942890293094024e-16,0.0,1.447890843963466,1.6088428229873863,46,0.0,1.942890293094024e-16
CHEMBL2835_Ki,5,0.004798893672593551,-0.007633601923090252,0.0,1.1710704576806306,1.6690067809585756,5,0.004798893672593551,0.012432495595683803
CHEMBL287_Ki,26,0.0,0.0,0.0,1.3154552322147897,1.4873149214822754,26,0.0,0.0
CHEMBL2971_Ki,11,-0.0317602040816326,-0.029349676013209897,0.0,1.4128803584649736,1.5076872463852655,11,-0.0317602040816326,-0.0024105280684227
CHEMBL3979_EC50,17,-0.008384578403882945,-0.009153226851331193,0.0,1.1738583776233886,1.3424226808222055,17,-0.008384578403882945,0.0007686484474482488
CHEMBL4005_Ki,17,-0.006789115383995355,0.002331996581781598,0.0,1.204119982655925,1.4880704350227942,17,-0.006789115383995355,-0.009121111965776953
CHEMBL4203_Ki,6,0.0,0.0,0.0,1.3999967275695644,1.3999967275695644,6,0.0,0.0
CHEMBL4616_EC50,9,0.0,0.0,0.0,1.6478174818886373,1.9661417327390325,9,0.0,0.0
CHEMBL4792_Ki,21,-0.0127389843850903,-0.002381716310337601,0.0,1.230448921378274,1.666088777941364,21,-0.0127389843850903,-0.0103572680747527
