draw,unadjusted_boundary_extended,null_adjusted_boundary_extended,null_adjusted_strict_unmatched,null_adjusted_boundary_prevalence_le_0_8
0,-0.0076267466424740004,-0.011265452237294792,-0.011458286092214658,-0.008033428383107881
1,-0.005510851841965449,-0.004392509434444594,-0.011794964982806098,-0.005997809725735256
2,-0.0017530009786604,-0.0049260284680743595,-0.00829065934065936,-0.011987486971272263
3,-0.0050816897071932,-0.010364110367297452,-0.008197294149402484,-0.011264860007964547
4,-0.011687635004734749,-0.0041959493817616544,-0.008543424561955271,-0.0036359931675043027
5,-0.0068303677012791,-0.001128282592659225,-0.008609370408040495,-0.007357599220366044
6,-0.0043154761904761,-0.007509308868209316,-0.014662580457654248,-0.003786395026206006
7,-0.0093602693602693,-0.016162907216168657,-0.012206610290656835,-0.010267676767676766
8,-0.00563201480753505,-0.010355102303223545,-0.010701873295239517,-0.012636458399057356
9,-0.00378188539370965,-0.009823515288090515,-0.014697033202219524,-0.010740420498788754
10,-0.0041949860131678,-0.008647990475847134,-0.010069302000248706,-0.010531483131530125
11,-0.008435079961248301,-0.013264890786682512,-0.0092199181271692,-0.010224629458886983
12,-0.0107244607244607,-0.012512532405865785,-0.012051713176130265,-0.004737426747706865
13,-0.0037954423461669,-0.009133796296296293,-0.010701873295239517,-0.009756007994335392
14,-0.0170932968549198,-0.008727240154750876,-0.010055196448531329,-0.012399030106549047
15,-0.00453545321239275,-0.00888292427901019,-0.007649990824921918,-0.006737213403880032
16,0.0,-0.005203175034568734,-0.01368053498556299,-0.004688228438228439
17,-0.00899863884414875,-0.014107687861969573,-0.01327601508098934,-0.010797431321770821
18,-0.00509682087809635,-0.014046917266725079,-0.012548408384820853,-0.005736734788018637
19,-0.0122685185185185,-0.007322900100791195,-0.009093881046474399,-0.007881053904101543
20,-0.0038957487804936004,-0.004888554050116567,-0.01136339862239049,-0.009047533088800519
21,-0.0119802553689678,-0.012538149828868597,-0.010526323449607758,-0.007974160104151758
22,-0.0066980247222447,-0.008813962350952144,-0.009987606274155299,-0.007829476111569936
23,-0.00563201480753505,-0.00961699798912146,-0.011031606671936409,-0.014364057883618248
24,-0.007874906590338349,-0.012636458399057356,-0.012075101470122106,-0.005608851652051295
25,-0.0032026673848838,-0.010927220329199634,-0.013104828328843965,-0.00996719591585488
26,-0.0064784948790853,-0.01678350272043204,-0.016696404902398595,-0.01291062981740522
27,-0.0011407326478542,-0.0030406009948474207,-0.008916280315269698,-0.005578135356706815
28,-0.0123416026456103,-0.004474836733068624,-0.008662597518191793,-0.009047533088800519
29,-0.0077637845093280495,-0.013047587416620918,-0.01071160047410121,-0.004474836733068624
30,-0.0090091286012307,-0.008086767014683388,-0.010752609481701616,-0.01388695059682396
31,-0.00664163998859045,-0.011470744533341142,-0.014726138592976088,-0.009934238920387936
32,-0.007246880001048001,-0.00996719591585488,-0.017908147547488026,-0.014371712435403148
33,-0.01027381241445245,-0.007785551595670664,-0.012583016076017011,-0.017152266794759688
