dataset,representation,predictor,components,median_delta_nap,median_delta_null_adjusted_nap
CHEMBL1862_Ki,molformer,mlp,8,-0.0603263041293237,-0.050063152491967536
CHEMBL1862_Ki,molformer,xgboost,8,0.0190207436926222,0.02831094682812648
CHEMBL1862_Ki,morgan,mlp,8,-0.08788371319489044,-0.09212269207413742
CHEMBL1862_Ki,morgan,xgboost,8,-0.01411273346299935,-0.04940624845554342
CHEMBL1862_Ki,unimol,mlp,8,0.0197974685402134,0.022892741085875648
CHEMBL1862_Ki,unimol,xgboost,8,0.1189878969558418,0.1202049080817169
CHEMBL1871_Ki,molformer,mlp,11,-0.0078193645503206,-0.010921257802186002
CHEMBL1871_Ki,molformer,xgboost,11,0.0007535460992907,-0.005997809725735256
CHEMBL1871_Ki,morgan,mlp,11,-0.0052287048131923,-0.008647990475847134
CHEMBL1871_Ki,morgan,xgboost,11,0.0354456018518519,0.0013283512205387038
CHEMBL1871_Ki,unimol,mlp,11,7.728677941439867e-05,0.004103892502296758
CHEMBL1871_Ki,unimol,xgboost,11,-0.0086686712302474,-0.011519519319375116
CHEMBL2034_Ki,molformer,mlp,12,0.0138329448407426,0.002645214291299141
CHEMBL2034_Ki,molformer,xgboost,12,0.0159349876336506,0.008982413762259112
CHEMBL2034_Ki,morgan,mlp,12,0.0386016536648799,0.036464415077055994
CHEMBL2034_Ki,morgan,xgboost,12,-0.002656287950405523,-0.02054930790662639
CHEMBL2034_Ki,unimol,mlp,12,-0.05129471635153445,-0.037394704189289946
CHEMBL2034_Ki,unimol,xgboost,12,-0.0348759327938536,-0.03698323519604164
CHEMBL2047_EC50,molformer,mlp,10,-0.02731698331051105,-0.02470740148890703
CHEMBL2047_EC50,molformer,xgboost,10,-0.03075463102824565,-0.030441632598146445
CHEMBL2047_EC50,morgan,mlp,10,0.00948914618748475,0.011765750915648222
CHEMBL2047_EC50,morgan,xgboost,10,-0.01178279261147685,-0.014080834759282143
CHEMBL2047_EC50,unimol,mlp,10,-0.01537062724063245,-0.009497400482197335
CHEMBL2047_EC50,unimol,xgboost,10,0.000629345580577,0.000569994821526195
CHEMBL204_Ki,molformer,mlp,47,0.0254945613902886,0.02522960491801672
CHEMBL204_Ki,molformer,xgboost,47,-0.011969484654199,-0.011131824131384707
CHEMBL204_Ki,morgan,mlp,47,-0.0130810654033066,-0.011656578331578349
CHEMBL204_Ki,morgan,xgboost,47,-0.0015676273844018,-0.03090789074520804
CHEMBL204_Ki,unimol,mlp,47,-0.0083181081406096,-0.0052772814111144845
CHEMBL204_Ki,unimol,xgboost,47,-0.0035762605499092,-0.004886347857321213
CHEMBL2147_Ki,molformer,mlp,13,0.0,0.0
CHEMBL2147_Ki,molformer,xgboost,13,-0.0884136987969342,-0.07844205317105685
CHEMBL2147_Ki,morgan,mlp,13,-0.04130446431714,-0.028425314059610688
CHEMBL2147_Ki,morgan,xgboost,13,-0.0146787922727334,-0.005054244799056945
CHEMBL2147_Ki,unimol,mlp,13,0.0078457135128854,0.0028600949023366573
CHEMBL2147_Ki,unimol,xgboost,13,-0.0057885289373904,-0.0008171467893433315
CHEMBL218_EC50,molformer,mlp,20,0.032778518996660844,0.031967108472785034
CHEMBL218_EC50,molformer,xgboost,20,0.014823983482019399,0.004029080839424302
CHEMBL218_EC50,morgan,mlp,20,0.013743526476838101,0.01274246149674036
CHEMBL218_EC50,morgan,xgboost,20,-0.00876248389645475,-0.021163759362087524
CHEMBL218_EC50,unimol,mlp,20,-0.0005566967587725992,-0.00190834090203372
CHEMBL218_EC50,unimol,xgboost,20,0.01062074745432005,0.008130245185661938
CHEMBL219_Ki,molformer,mlp,34,-0.0077693248078642,-0.006714513895897323
CHEMBL219_Ki,molformer,xgboost,34,-0.00034981585226675,-0.005911639913377561
CHEMBL219_Ki,morgan,mlp,34,-0.0291701306156759,-0.018813614730222136
CHEMBL219_Ki,morgan,xgboost,34,0.0,-0.006640120152075822
CHEMBL219_Ki,unimol,mlp,34,-0.00675307466537455,-0.0062241929268356455
CHEMBL219_Ki,unimol,xgboost,34,-0.0003156565656565,-0.013762292218702453
CHEMBL228_Ki,molformer,mlp,31,-0.0103727318433201,-0.009924331458065455
CHEMBL228_Ki,molformer,xgboost,31,-0.0033564814814815,-0.00622886463844799
CHEMBL228_Ki,morgan,mlp,31,-0.0042336602734981,-0.0014329836829836823
CHEMBL228_Ki,morgan,xgboost,31,0.0329662870160198,0.019304095055392614
CHEMBL228_Ki,unimol,mlp,31,0.0020319017810097,0.007648427271048502
CHEMBL228_Ki,unimol,xgboost,31,-0.000284657391462,0.0013904428904428917
CHEMBL231_Ki,molformer,mlp,15,-0.0108237348788859,-0.00877116345988606
CHEMBL231_Ki,molformer,xgboost,15,-0.026717231624128,-0.03006128015582203
CHEMBL231_Ki,morgan,mlp,15,-0.1142903477944145,-0.10333886770543715
CHEMBL231_Ki,morgan,xgboost,15,-0.078962441060641,-0.08222594019887111
CHEMBL231_Ki,unimol,mlp,15,-0.0260356598559373,-0.03226676594342091
CHEMBL231_Ki,unimol,xgboost,15,-0.0081286266384305,-0.009965639782464439
CHEMBL233_Ki,molformer,mlp,46,-0.0025389412144442,-0.0022040599223210663
CHEMBL233_Ki,molformer,xgboost,46,-0.037247335499384554,-0.04112208752109023
CHEMBL233_Ki,morgan,mlp,46,-0.00536223036223035,-0.008966725233933437
CHEMBL233_Ki,morgan,xgboost,46,-0.0096442668718457,-0.022196121830855828
CHEMBL233_Ki,unimol,mlp,46,-0.004007422395103551,-0.011204435556835826
CHEMBL233_Ki,unimol,xgboost,46,-0.0038780077727311,-0.011330050536250406
CHEMBL236_Ki,molformer,mlp,37,-0.0128730781526767,-0.01577509538457142
CHEMBL236_Ki,molformer,xgboost,37,-0.0007182681913864,0.0015432013245960316
CHEMBL236_Ki,morgan,mlp,37,-0.0764288846729977,-0.07279265176111771
CHEMBL236_Ki,morgan,xgboost,37,-0.0350320489545892,-0.04522815589939706
CHEMBL236_Ki,unimol,mlp,37,-0.0003507072225021,-0.009084282310016588
CHEMBL236_Ki,unimol,xgboost,37,0.0,0.002684653199098181
CHEMBL237_EC50,molformer,mlp,18,-0.018052908366317198,-0.01964232120119276
CHEMBL237_EC50,molformer,xgboost,18,-0.0366292793112196,-0.0385024293137909
CHEMBL237_EC50,morgan,mlp,18,0.00746070829112485,0.003658503368524184
CHEMBL237_EC50,morgan,xgboost,18,-0.01689401455026445,-0.022542912931975446
CHEMBL237_EC50,unimol,mlp,18,0.046611414312170946,0.047152399783433274
CHEMBL237_EC50,unimol,xgboost,18,0.0146317784834193,0.01093779962259665
CHEMBL237_Ki,molformer,mlp,40,-0.026921601671617952,-0.02887149819165863
CHEMBL237_Ki,molformer,xgboost,40,-0.02100970017636675,-0.015952475337199762
