source,rationale,representation,predictor,variant,targets,pairs,target_balanced_median_observed_nap,target_balanced_median_null_mean_nap,target_balanced_median_null_adjusted_nap,target_balanced_median_null_z,target_balanced_median_precision_at_changed_count,target_balanced_median_recall_at_changed_count,target_balanced_median_changed_atom_enrichment_at_changed_count,baseline
model,boundary_extended,molformer,mlp,label_permuted,27,617,0.10981727631973935,0.047399660695620724,0.05685560173782158,0.6268458120601526,0.2727272727272727,0.2727272727272727,1.0,
model,boundary_extended,molformer,mlp,trained,27,617,0.07147562052205306,0.042348128619204346,0.026236487123987108,0.34898705327834045,0.25,0.25,0.9843115895595711,
model,boundary_extended,molformer,xgboost,label_permuted,27,617,0.08773584905660378,0.0466473589409785,0.047788218201610555,0.6785089251930596,0.2638888888888889,0.2638888888888889,1.0000000000000002,
model,boundary_extended,molformer,xgboost,trained,27,617,0.08578323637147166,0.045800170638458405,0.04172208713272542,0.672445377986052,0.25,0.25,0.9845679012345679,
model,boundary_extended,morgan,mlp,label_permuted,27,617,0.12551791549953314,0.04462364736527921,0.07567279187219214,0.8520293333955484,0.3055555555555556,0.3055555555555556,1.0730027548209364,
model,boundary_extended,morgan,mlp,trained,27,617,0.07894368025778223,0.04399379177438174,0.040150506483069295,0.5070966355000686,0.2857142857142857,0.2857142857142857,1.0,
model,boundary_extended,morgan,xgboost,label_permuted,27,617,0.042250233426704024,0.038420623170082525,0.008463157894736825,0.511043741674064,0.2939743148721477,0.2939743148721477,1.0,
model,boundary_extended,morgan,xgboost,trained,27,617,0.056772146521680306,0.04490856032800901,0.014782319848114206,0.22870640668160389,0.25,0.25,0.9667407317956769,
model,boundary_extended,unimol,mlp,label_permuted,27,617,0.10977165758205966,0.04700789033001726,0.06453450291778579,0.7418328026660582,0.25595238095238093,0.25595238095238093,1.0,
model,boundary_extended,unimol,mlp,trained,27,617,0.09074017314943776,0.04643913776796932,0.048736094238209265,0.5764886207367611,0.25227272727272726,0.25227272727272726,0.9833506763787722,
model,boundary_extended,unimol,xgboost,label_permuted,27,617,0.11436170212765959,0.04631840081890577,0.06717212123246077,0.9340882006884199,0.30434782608695654,0.30434782608695654,1.0443786982248522,
model,boundary_extended,unimol,xgboost,trained,27,617,0.10116352447662763,0.046515862351184864,0.05871399192067406,0.7470003728886017,0.2833333333333333,0.2833333333333333,1.0078125,
model,strict_unmatched,molformer,mlp,label_permuted,27,581,0.0706313775510204,0.04598708336511254,0.03807694901776972,0.46620549632542085,0.0,0.0,0.0,
model,strict_unmatched,molformer,mlp,trained,27,581,0.07510442773600669,0.04215151566313082,0.021693123670873032,0.2230176387313385,0.0,0.0,0.0,
model,strict_unmatched,molformer,xgboost,label_permuted,27,581,0.06369154033190405,0.04554493213920033,0.021953251624342657,0.29952120553338224,0.0,0.0,0.0,
model,strict_unmatched,molformer,xgboost,trained,27,581,0.06311823721069491,0.04492220673613262,0.019026304814576456,0.2445036095953785,0.0,0.0,0.0,
model,strict_unmatched,morgan,mlp,label_permuted,27,581,0.07640067911714771,0.04508023573624788,0.02937071486977017,0.31878198450226325,0.0,0.0,0.0,
model,strict_unmatched,morgan,mlp,trained,27,581,0.04435410334346502,0.04406587598909027,0.0,0.0356824975783442,0.0,0.0,0.0,
model,strict_unmatched,morgan,xgboost,label_permuted,27,581,0.02548901201019297,0.037269175270596325,0.0,0.0037049912899407905,0.0,0.0,0.0,
model,strict_unmatched,morgan,xgboost,trained,27,581,0.036482374398545625,0.0441064779230192,-0.01015154725822157,-0.17934204453833774,0.0,0.0,0.0,
model,strict_unmatched,unimol,mlp,label_permuted,27,581,0.07552083333333334,0.046478456054892925,0.024164208791208786,0.37007790296454934,0.0,0.0,0.0,
model,strict_unmatched,unimol,mlp,trained,27,581,0.06521739130434781,0.044802904353109727,0.02630588187824029,0.33261195569834767,0.0,0.0,0.0,
model,strict_unmatched,unimol,xgboost,label_permuted,27,581,0.07196969696969698,0.04551405947078764,0.02792174022930268,0.39637974848850593,0.0,0.0,0.0,
model,strict_unmatched,unimol,xgboost,trained,27,581,0.0754110886190398,0.04592846442910089,0.03184117463971418,0.34840095041546304,0.0,0.0,0.0,
generator,boundary_extended,,,generator_only,27,617,0.26069094304388424,0.04992625010076696,0.21062328325662039,2.767670821643698,0.45454545454545453,0.45454545454545453,1.735841081994928,selected_mean_nearest_train_tanimoto
generator,boundary_extended,,,generator_only,27,617,0.02968217127699882,0.006653389754543407,0.026136669033883887,1.350856574885141,0.2876838235294118,0.2876838235294118,1.1454545454545457,support_any
generator,strict_unmatched,,,generator_only,27,581,0.1712374568992216,0.048627549344855414,0.12118254567018671,1.725291395300945,0.14285714285714285,0.14285714285714285,1.0834722222222222,selected_mean_nearest_train_tanimoto
generator,strict_unmatched,,,generator_only,27,581,0.023732916590059456,0.006555519840698845,0.018236904761904767,1.3812462653023667,0.08514492753623187,0.08514492753623187,1.4114285714285715,support_any
