dataset,component_id,left_unique_matched_atom_sets,right_unique_matched_atom_sets,mapping_combinations_evaluated,left_matches_truncated,right_matches_truncated,combination_truncated,chosen_left_recovered,chosen_right_recovered,positive_atom_count_min,positive_atom_count_max,positive_atom_set_ambiguous
CHEMBL1862_Ki,3,1,1,1,False,False,False,True,True,2,2,False
CHEMBL1862_Ki,8,1,1,1,False,False,False,True,True,1,1,False
CHEMBL1862_Ki,9,1,1,1,False,False,False,True,True,5,5,False
CHEMBL1862_Ki,10,1,2,2,False,False,False,True,True,2,2,True
CHEMBL1862_Ki,19,1,1,1,False,False,False,True,True,3,3,False
CHEMBL1862_Ki,22,1,1,1,False,False,False,True,True,16,16,False
CHEMBL1862_Ki,25,1,1,1,False,False,False,True,True,10,10,False
CHEMBL1862_Ki,27,1,1,1,False,False,False,True,True,10,10,False
CHEMBL1871_Ki,1,1,1,1,False,False,False,True,True,6,6,False
CHEMBL1871_Ki,6,1,1,1,False,False,False,True,True,2,2,False
CHEMBL1871_Ki,9,1,1,1,False,False,False,True,True,3,3,False
CHEMBL1871_Ki,12,1,1,1,False,False,False,True,True,2,2,False
CHEMBL1871_Ki,14,1,1,1,False,False,False,True,True,2,2,False
CHEMBL1871_Ki,18,1,1,1,False,False,False,True,True,2,2,False
CHEMBL1871_Ki,19,2,1,2,False,False,False,True,True,2,2,True
CHEMBL1871_Ki,25,1,1,1,False,False,False,True,True,1,1,False
CHEMBL1871_Ki,35,2,1,2,False,False,False,True,True,5,5,True
CHEMBL1871_Ki,37,4,1,4,False,False,False,True,True,8,8,True
CHEMBL1871_Ki,38,1,1,1,False,False,False,True,True,4,4,False
CHEMBL2034_Ki,1,1,1,1,False,False,False,True,True,4,4,False
CHEMBL2034_Ki,3,1,1,1,False,False,False,True,True,1,1,False
CHEMBL2034_Ki,8,1,1,1,False,False,False,True,True,1,1,False
CHEMBL2034_Ki,9,1,1,1,False,False,False,True,True,4,4,False
CHEMBL2034_Ki,16,2,1,2,False,False,False,True,True,5,5,True
CHEMBL2034_Ki,20,1,1,1,False,False,False,True,True,8,8,False
CHEMBL2034_Ki,31,1,1,1,False,False,False,True,True,3,3,False
CHEMBL2034_Ki,34,1,1,1,False,False,False,True,True,10,10,False
CHEMBL2034_Ki,36,1,1,1,False,False,False,True,True,3,3,False
CHEMBL2034_Ki,38,1,1,1,False,False,False,True,True,5,5,False
CHEMBL2034_Ki,41,1,1,1,False,False,False,True,True,4,4,False
CHEMBL2034_Ki,46,1,1,1,False,False,False,True,True,8,8,False
CHEMBL2047_EC50,0,1,1,1,False,False,False,True,True,4,4,False
CHEMBL2047_EC50,2,1,1,1,False,False,False,True,True,10,10,False
CHEMBL2047_EC50,3,1,1,1,False,False,False,True,True,9,9,False
CHEMBL2047_EC50,5,1,1,1,False,False,False,True,True,5,5,False
CHEMBL2047_EC50,8,1,1,1,False,False,False,True,True,2,2,False
CHEMBL2047_EC50,13,1,1,1,False,False,False,True,True,4,4,False
CHEMBL2047_EC50,17,1,1,1,False,False,False,True,True,8,8,False
CHEMBL2047_EC50,19,1,1,1,False,False,False,True,True,8,8,False
CHEMBL2047_EC50,30,2,1,2,False,False,False,True,True,4,4,True
