dataset,component_id,representation,predictor,mapping_combinations_evaluated,chosen_mapping_nap,minimum_mapping_nap,maximum_mapping_nap,mapping_nap_range
CHEMBL1862_Ki,10,morgan,xgboost,2,0.011114731544839074,0.011114731544839074,0.012096774193548388,0.0009820426487093144
CHEMBL1862_Ki,10,morgan,mlp,2,0.03494553376906318,0.03494553376906318,0.06100217864923747,0.02605664488017429
CHEMBL1862_Ki,10,molformer,xgboost,2,0.06481481481481481,0.06481481481481481,0.07716049382716049,0.012345679012345678
CHEMBL1862_Ki,10,molformer,mlp,2,0.02777777777777778,0.02777777777777778,0.056372549019607844,0.028594771241830064
CHEMBL1862_Ki,10,unimol,xgboost,2,0.011114731544839074,0.01059203142536476,0.011114731544839074,0.0005227001194743133
CHEMBL1862_Ki,10,unimol,mlp,2,0.05514403292181069,0.05514403292181069,0.08539094650205761,0.03024691358024692
CHEMBL1871_Ki,19,morgan,xgboost,2,0.23529411764705885,0.16470588235294117,0.23529411764705885,0.07058823529411767
CHEMBL1871_Ki,19,morgan,mlp,2,0.6218487394957982,0.35714285714285715,0.6218487394957982,0.26470588235294107
CHEMBL1871_Ki,19,molformer,xgboost,2,0.16176470588235292,0.125,0.16176470588235292,0.03676470588235292
CHEMBL1871_Ki,19,molformer,mlp,2,0.3823529411764705,0.29411764705882354,0.3823529411764705,0.08823529411764697
CHEMBL1871_Ki,19,unimol,xgboost,2,0.3235294117647059,0.29411764705882354,0.3235294117647059,0.02941176470588236
CHEMBL1871_Ki,19,unimol,mlp,2,0.07563025210084033,0.07563025210084033,0.10588235294117648,0.030252100840336152
CHEMBL1871_Ki,35,morgan,xgboost,2,0.02758018092105262,0.02758018092105262,0.02758018092105262,0.0
CHEMBL1871_Ki,35,morgan,mlp,2,0.0088575946112711,0.0088575946112711,0.0088575946112711,0.0
CHEMBL1871_Ki,35,molformer,xgboost,2,0.09275729174922723,0.09275729174922723,0.09275729174922723,0.0
CHEMBL1871_Ki,35,molformer,mlp,2,0.07922472747840395,0.07922472747840395,0.07922472747840395,0.0
CHEMBL1871_Ki,35,unimol,xgboost,2,0.3935069444444445,0.3935069444444445,0.3935069444444445,0.0
CHEMBL1871_Ki,35,unimol,mlp,2,0.13686637931034484,0.13686637931034484,0.13686637931034484,0.0
CHEMBL1871_Ki,37,morgan,xgboost,4,-0.004497227093789057,-0.004497227093789057,0.00400153221142185,0.008498759305210907
CHEMBL1871_Ki,37,morgan,mlp,4,0.07097562997347479,0.0581896551724138,0.07578332228116715,0.017593667108753347
CHEMBL1871_Ki,37,molformer,xgboost,4,-0.00028096903096902704,-0.00028096903096902704,0.01397132279485221,0.014252291825821236
CHEMBL1871_Ki,37,molformer,mlp,4,0.006289905746427492,0.006289905746427492,0.038128990574642745,0.03183908482821525
CHEMBL1871_Ki,37,unimol,xgboost,4,0.01574097503373821,0.01574097503373821,0.04895488283646177,0.03321390780272356
CHEMBL1871_Ki,37,unimol,mlp,4,0.030677655677655662,0.030677655677655662,0.053371108058608056,0.022693452380952394
CHEMBL2034_Ki,16,morgan,xgboost,2,0.014674140604018655,0.009929152161487183,0.014674140604018655,0.004744988442531472
CHEMBL2034_Ki,16,morgan,mlp,2,0.001205211422602736,0.001205211422602736,0.0017144706818619964,0.0005092592592592603
CHEMBL2034_Ki,16,molformer,xgboost,2,0.056207590569292726,0.056207590569292726,0.0971985815602837,0.040990990990990975
CHEMBL2034_Ki,16,molformer,mlp,2,0.026346450617283967,0.026346450617283967,0.027237654320987674,0.0008912037037037066
CHEMBL2034_Ki,16,unimol,xgboost,2,0.10624127750939348,0.08485238862050458,0.10624127750939348,0.0213888888888889
CHEMBL2034_Ki,16,unimol,mlp,2,0.0804708113686442,0.06598690021290643,0.0804708113686442,0.014483911155737772
CHEMBL2047_EC50,30,morgan,xgboost,2,0.19444444444444445,0.19444444444444445,0.2077020202020202,0.013257575757575746
CHEMBL2047_EC50,30,morgan,mlp,2,0.2788682277318641,0.2217312008978676,0.2788682277318641,0.05713702683399649
CHEMBL2047_EC50,30,molformer,xgboost,2,0.5757575757575757,0.5227272727272728,0.5757575757575757,0.05303030303030287
CHEMBL2047_EC50,30,molformer,mlp,2,0.11808300395256915,0.11439393939393938,0.11808300395256915,0.0036890645586297732
CHEMBL2047_EC50,30,unimol,xgboost,2,0.05371353867113726,0.05371353867113726,0.05448883549906568,0.000775296827928415
CHEMBL2047_EC50,30,unimol,mlp,2,0.15826612903225806,0.15826612903225806,0.3434343434343434,0.18516821440208536
