dataset,representation,predictor,seed,pairs,exact_zero_ties,tie_fraction,strict_direction_accuracy,non_tie_direction_accuracy,sign_flipped_strict_accuracy,median_absolute_predicted_delta
CHEMBL1862_Ki,molformer,mlp,11,8,0,0.0,0.375,0.375,0.625,0.1082915067672729
CHEMBL1862_Ki,molformer,mlp,23,8,0,0.0,0.75,0.75,0.25,0.06736183166503901
CHEMBL1862_Ki,molformer,mlp,42,8,0,0.0,0.625,0.625,0.375,0.062298774719238253
CHEMBL1862_Ki,molformer,xgboost,11,8,1,0.125,0.375,0.42857142857142855,0.5,0.0604400634765625
CHEMBL1862_Ki,molformer,xgboost,23,8,0,0.0,0.5,0.5,0.5,0.0621549487113952
CHEMBL1862_Ki,molformer,xgboost,42,8,0,0.0,0.75,0.75,0.25,0.22107458114624018
CHEMBL1862_Ki,morgan,mlp,11,8,0,0.0,0.25,0.25,0.75,0.08716815710067745
CHEMBL1862_Ki,morgan,mlp,23,8,0,0.0,0.75,0.75,0.25,0.1264609098434448
CHEMBL1862_Ki,morgan,mlp,42,8,0,0.0,0.875,0.875,0.125,0.09843158721923825
CHEMBL1862_Ki,morgan,xgboost,11,8,6,0.75,0.125,0.5,0.125,0.0
CHEMBL1862_Ki,morgan,xgboost,23,8,1,0.125,0.5,0.5714285714285714,0.375,0.2848186492919922
CHEMBL1862_Ki,morgan,xgboost,42,8,6,0.75,0.0,0.0,0.25,0.0
CHEMBL1862_Ki,unimol,mlp,11,8,0,0.0,0.25,0.25,0.75,0.26773023605346674
CHEMBL1862_Ki,unimol,mlp,23,8,0,0.0,0.375,0.375,0.625,0.1269393563270568
CHEMBL1862_Ki,unimol,mlp,42,8,0,0.0,0.375,0.375,0.625,0.13975387811660764
CHEMBL1862_Ki,unimol,xgboost,11,8,4,0.5,0.125,0.25,0.375,0.02131807804107665
CHEMBL1862_Ki,unimol,xgboost,23,8,2,0.25,0.375,0.5,0.375,0.027058720588684
CHEMBL1862_Ki,unimol,xgboost,42,8,0,0.0,0.625,0.625,0.375,0.09649997949600216
CHEMBL1871_Ki,molformer,mlp,11,11,0,0.0,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.0687900781631469
CHEMBL1871_Ki,molformer,mlp,23,11,0,0.0,0.36363636363636365,0.36363636363636365,0.6363636363636364,0.2976641654968261
CHEMBL1871_Ki,molformer,mlp,42,11,0,0.0,0.09090909090909091,0.09090909090909091,0.9090909090909091,0.0697414875030517
CHEMBL1871_Ki,molformer,xgboost,11,11,8,0.7272727272727273,0.2727272727272727,1.0,0.0,0.0
CHEMBL1871_Ki,molformer,xgboost,23,11,0,0.0,0.6363636363636364,0.6363636363636364,0.36363636363636365,0.0864062309265136
CHEMBL1871_Ki,molformer,xgboost,42,11,2,0.18181818181818182,0.36363636363636365,0.4444444444444444,0.45454545454545453,0.0442756414413452
CHEMBL1871_Ki,morgan,mlp,11,11,0,0.0,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.0578364133834838
CHEMBL1871_Ki,morgan,mlp,23,11,0,0.0,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.2198766469955444
CHEMBL1871_Ki,morgan,mlp,42,11,0,0.0,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.0683529376983642
CHEMBL1871_Ki,morgan,xgboost,11,11,7,0.6363636363636364,0.18181818181818182,0.5,0.18181818181818182,0.0
CHEMBL1871_Ki,morgan,xgboost,23,11,1,0.09090909090909091,0.6363636363636364,0.7,0.2727272727272727,0.0617718696594238
CHEMBL1871_Ki,morgan,xgboost,42,11,11,1.0,0.0,,0.0,0.0
CHEMBL1871_Ki,unimol,mlp,11,11,0,0.0,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.6193917989730835
CHEMBL1871_Ki,unimol,mlp,23,11,0,0.0,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.0543466806411743
CHEMBL1871_Ki,unimol,mlp,42,11,0,0.0,0.8181818181818182,0.8181818181818182,0.18181818181818182,0.2458568811416626
CHEMBL1871_Ki,unimol,xgboost,11,11,0,0.0,0.36363636363636365,0.36363636363636365,0.6363636363636364,0.2783112525939941
CHEMBL1871_Ki,unimol,xgboost,23,11,5,0.45454545454545453,0.36363636363636365,0.6666666666666666,0.18181818181818182,0.009925365447998
CHEMBL1871_Ki,unimol,xgboost,42,11,1,0.09090909090909091,0.6363636363636364,0.7,0.2727272727272727,0.0315337181091308
