Target-assay,Components,Unadjusted Delta nAP,Null-adjusted Delta nAP
CHEMBL1862_Ki,8,0.00398,0.01119
CHEMBL1871_Ki,11,-0.00174,-0.00108
CHEMBL2034_Ki,12,-0.00523,-0.01519
CHEMBL2047_EC50,10,-0.01421,-0.01127
CHEMBL204_Ki,47,-0.00276,-0.00377
CHEMBL2147_Ki,13,-0.01500,-0.00970
CHEMBL218_EC50,20,0.00851,0.00428
CHEMBL219_Ki,34,-0.00317,-0.00832
CHEMBL228_Ki,31,0.00000,-0.00271
CHEMBL231_Ki,15,-0.02946,-0.03355
CHEMBL233_Ki,46,-0.01105,-0.01303
CHEMBL236_Ki,37,-0.01153,-0.01452
CHEMBL237_EC50,18,-0.00396,-0.00033
CHEMBL237_Ki,40,-0.01162,-0.01224
CHEMBL238_Ki,19,-0.00230,-0.00645
CHEMBL239_EC50,33,-0.01004,-0.01005
CHEMBL244_Ki,52,-0.01872,-0.01744
CHEMBL262_Ki,13,-0.02208,-0.02553
CHEMBL264_Ki,46,0.00023,-0.00021
CHEMBL2835_Ki,5,0.02155,0.01998
CHEMBL287_Ki,26,0.00000,-0.00393
CHEMBL2971_Ki,11,-0.01209,-0.00508
CHEMBL3979_EC50,17,-0.01122,-0.01449
CHEMBL4005_Ki,17,-0.03384,-0.03141
CHEMBL4203_Ki,6,-0.03126,-0.02819
CHEMBL4616_EC50,9,0.00000,-0.00408
CHEMBL4792_Ki,21,0.00051,0.00554
