representation,predictor,explainer,control,median_trained_nap,median_randomized_nap,median_calibrated_nap,mean_calibrated_nap,molecules,minimum_randomization_replicates,passes
molformer,mlp,crem_lime,aromatic_atom_count,0.24327953704503924,0.013065013981569586,0.20684645747990138,0.1901007070044631,308,3,True
molformer,mlp,crem_lime,halogen_count,0.7574646074646074,0.337872031320317,0.3441239316239316,0.35683946711685954,134,3,True
molformer,mlp,crem_lime,heteroatom_count,0.0448067352937985,0.10024254338761923,-0.02544035509680492,-0.018403477800837748,308,3,False
molformer,mlp,crem_mean,aromatic_atom_count,0.3452680652680653,0.10844198790627362,0.15928112135542477,0.18645228572890715,308,3,True
molformer,mlp,crem_mean,halogen_count,1.0,0.2458171799185624,0.6183373709844298,0.5320100427188503,134,3,True
molformer,mlp,crem_mean,heteroatom_count,0.01701776484385175,0.08877898237452014,-0.04564324195215143,-0.047657871830704926,308,3,False
molformer,xgboost,crem_lime,aromatic_atom_count,0.09732725155279501,0.011321844608180816,0.08411044670062365,0.14117974784981205,308,3,True
molformer,xgboost,crem_lime,halogen_count,0.5650337837837838,0.2558145975887911,0.312375700280112,0.335186702457065,134,3,True
molformer,xgboost,crem_lime,heteroatom_count,0.0430307644110275,0.08860016665894453,-0.01773562543188828,-0.0008207300676879307,308,3,False
molformer,xgboost,crem_mean,aromatic_atom_count,0.2112271062271062,0.09854421955262298,0.019602750190985396,0.1310765177376722,308,3,True
molformer,xgboost,crem_mean,halogen_count,1.0,0.20888447971781304,0.5299534645362847,0.4483456843291104,134,3,True
molformer,xgboost,crem_mean,heteroatom_count,0.02597635818187195,0.07638621423609702,-0.02382857134695377,-0.008581959101489872,308,3,False
morgan,mlp,crem_lime,aromatic_atom_count,0.01096686155175725,-0.025790269020027394,0.027481310619727375,0.10822785892884058,308,3,True
morgan,mlp,crem_lime,halogen_count,1.0,0.06811135912698413,0.6262788490749017,0.5785328015278995,134,3,True
morgan,mlp,crem_lime,heteroatom_count,0.0754736127512536,0.10892758020084568,-0.011711156768675648,0.010568995215484375,308,3,False
morgan,mlp,crem_mean,aromatic_atom_count,0.16217532467532458,0.0854836263762992,0.0,0.09595725839536069,308,3,False
morgan,mlp,crem_mean,halogen_count,1.0,0.08859509818884818,0.7560727039514918,0.612821152274584,134,3,True
morgan,mlp,crem_mean,heteroatom_count,0.0446587055874981,0.10533203663547103,-0.02247919889906468,-0.011649568190937515,308,3,False
morgan,xgboost,crem_lime,aromatic_atom_count,0.19890740186828515,0.06482544791122805,0.13530409937584686,0.1498868986366676,308,3,True
morgan,xgboost,crem_lime,halogen_count,0.7754702194357366,0.06419172672521561,0.626058836996337,0.5371690068960089,134,3,True
morgan,xgboost,crem_lime,heteroatom_count,0.1619893920363629,0.08135248345513486,0.0618998692627056,0.11285590610242374,308,3,True
morgan,xgboost,crem_mean,aromatic_atom_count,0.35672674867048265,0.0,0.2489684095860567,0.2791347732618737,308,3,True
morgan,xgboost,crem_mean,halogen_count,1.0,0.06691866997202135,0.6666666666666667,0.5509849149675703,134,3,True
morgan,xgboost,crem_mean,heteroatom_count,0.090963215658956,0.045875420875420875,0.044131815396183154,0.08761530842433356,308,3,True
unimol,mlp,crem_lime,aromatic_atom_count,0.1255172351920478,-0.01247553677952124,0.10286394930821639,0.14202160343807263,308,3,True
unimol,mlp,crem_lime,halogen_count,1.0,0.3480539027361319,0.32769179894179895,0.35597796281491084,134,3,True
unimol,mlp,crem_lime,heteroatom_count,0.0522587255739429,0.09216732908892442,-0.011280147539144332,0.012832018616131103,308,3,False
unimol,mlp,crem_mean,aromatic_atom_count,0.259453781512605,0.12129723346828614,0.047673160173160076,0.13451986052469153,308,3,True
unimol,mlp,crem_mean,halogen_count,1.0,0.3068906927433831,0.5832708420611646,0.4909782846705035,134,3,True
unimol,mlp,crem_mean,heteroatom_count,0.01647899946943,0.08942210232065305,-0.038274993557394985,-0.028501454609610358,308,3,False
unimol,xgboost,crem_lime,halogen_count,0.6070238095238094,0.2518612840344589,0.32497310381925765,0.3329052096263161,134,3,True
unimol,xgboost,crem_lime,heteroatom_count,0.06321236559139785,0.09621523595811124,-0.01777374282584674,0.014385341907736476,308,3,False
unimol,xgboost,crem_mean,halogen_count,1.0,0.25114097849843464,0.5018516150421521,0.38164223625901467,134,3,True
unimol,xgboost,crem_mean,heteroatom_count,0.0337140637140637,0.07678588060818413,-0.0236740403254728,-0.0018004733199171528,308,3,False
