representation,predictor,explainer,control,seed,row_id,dataset,predictive_test_r2,average_precision,prevalence,normalized_ap_lift,supported_atom_fraction,rationale_supported_fraction,mean_randomized_nap,randomized_nap_sd,randomization_replicates,randomization_calibrated_nap
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:487,CHEMBL214_Ki,0.975134853316404,1.0,0.037037037037037,1.0,0.074074074074074,1.0,0.16025641025641024,0.2775722448027047,3,0.8397435897435898
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:499,CHEMBL214_Ki,0.975134853316404,1.0,0.037037037037037,1.0,0.074074074074074,1.0,0.3333333333333333,0.5773502691896258,3,0.6666666666666667
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:565,CHEMBL214_Ki,0.975134853316404,1.0,0.04,1.0,0.64,1.0,0.18441358024691357,0.25793657859629116,3,0.8155864197530864
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:579,CHEMBL214_Ki,0.975134853316404,0.1287878787878787,0.0769230769230769,0.0561868686868686,0.6538461538461539,1.0,0.2078282828282828,0.30406672509310523,3,-0.15164141414141422
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:786,CHEMBL214_Ki,0.975134853316404,1.0,0.03125,1.0,0.5625,1.0,0.3225806451612903,0.2793630334788512,3,0.6774193548387097
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:817,CHEMBL214_Ki,0.975134853316404,1.0,0.0384615384615384,1.0,0.2692307692307692,1.0,0.044444444444444446,0.0769800358919501,3,0.9555555555555556
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:834,CHEMBL214_Ki,0.975134853316404,1.0,0.037037037037037,1.0,0.2962962962962963,1.0,0.07371794871794872,0.12768323260924413,3,0.9262820512820513
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:838,CHEMBL214_Ki,0.975134853316404,0.5,0.0384615384615384,0.48,0.2692307692307692,1.0,0.056,0.09699484522385714,3,0.424
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:1156,CHEMBL214_Ki,0.975134853316404,1.0,0.0666666666666666,1.0,0.5,1.0,0.05059523809523809,0.08763352300199677,3,0.9494047619047619
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:1184,CHEMBL214_Ki,0.975134853316404,0.5833333333333333,0.0588235294117647,0.5572916666666666,0.4411764705882353,1.0,0.11877893518518519,0.1172199136413943,3,0.43851273148148145
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:1186,CHEMBL214_Ki,0.975134853316404,1.0,0.0625,1.0,0.40625,1.0,0.07171717171717172,0.07222751976050405,3,0.9282828282828283
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:1210,CHEMBL214_Ki,0.975134853316404,1.0,0.0384615384615384,1.0,0.6923076923076923,1.0,0.005925925925925924,0.010264004785593342,3,0.9940740740740741
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:1211,CHEMBL214_Ki,0.975134853316404,1.0,0.037037037037037,1.0,0.7037037037037037,1.0,0.021794871794871797,0.03774982529316784,3,0.9782051282051282
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:1334,CHEMBL214_Ki,0.975134853316404,1.0,0.0303030303030303,1.0,0.2727272727272727,1.0,0.3333333333333333,0.5773502691896258,3,0.6666666666666667
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:1340,CHEMBL214_Ki,0.975134853316404,1.0,0.0333333333333333,1.0,0.2333333333333333,1.0,0.20689655172413793,0.17917766974850455,3,0.7931034482758621
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:1377,CHEMBL214_Ki,0.975134853316404,1.0,0.0344827586206896,1.0,0.1724137931034483,1.0,0.5972222222222222,0.35933520228879673,3,0.4027777777777778
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:1380,CHEMBL214_Ki,0.975134853316404,1.0,0.0344827586206896,1.0,0.3793103448275862,1.0,0.12962962962962962,0.16076735030940204,3,0.8703703703703703
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:1422,CHEMBL214_Ki,0.975134853316404,0.0878468899521531,0.088235294117647,-0.0004259916653804,0.8235294117647058,1.0,-0.0013520509757068925,0.0023418209843474114,3,0.0009260593103264925
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:1444,CHEMBL214_Ki,0.975134853316404,0.0951064186358304,0.075,0.0217366687954923,0.85,1.0,0.0074852180115338035,0.01296477790170623,3,0.014251450783958498
