row_id,canonical_smiles,unimol_2d_fallback
mutant:218,C#CC(F)(F)c1cc(N2C(=O)[C@@H]3[C@H](C2=O)[C@]2(C)C[C@@H](NS(=O)(=O)CC)[C@]3(C)O2)ccc1C#N,True
mutant:569,C#CCN1CC[C@]23c4c5ccc(OC)c4O[C@H]2[C@]2(OC)CC[C@@]3(C[C@@H]2CNC(=O)/C=C/c2ccccc2C)[C@H]1C5,True
mutant:641,C#CCO[C@@]12CC[C@@]3(C[C@@H]1[C@@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(C(N)=O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,True
mutant:766,C#CCOc1ccc(N2C(=O)[C@@H]3[C@H](C2=O)[C@]2(C)C[C@@H](NS(C)(=O)=O)[C@]3(C)O2)cc1C(F)(F)F,True
mutant:849,C#C[C@](C)([C@H]1C[C@@]23CC[C@@]1(OC)[C@@H]1Oc4c(C(N)=O)ccc5c4[C@@]12CCN(CC1CC1)[C@@H]3C5)C(C)(C)C,True
mutant:935,C#Cc1cc([C@@H]2C[C@H]3CC[C@@H](N3)[C@H]2C(=O)OC)ccc1C,True
mutant:3438,C=CC(F)(F)c1cc(N2C(=O)[C@@H]3[C@H](C2=O)[C@]2(C)C[C@@H](NS(=O)(=O)CC)[C@]3(C)O2)ccc1C#N,True
mutant:3439,C=CC(F)(F)c1cc(N2C(=O)[C@@H]3[C@H](C2=O)[C@]2(C)C[C@@H](NS(=O)(=O)NC)[C@]3(C)O2)ccc1C#N,True
mutant:3556,C=CCC(C)(C)[C@](C)(O)[C@H]1C[C@@]23CC[C@@]1(OC)[C@@H]1Oc4c(C(N)=O)ccc5c4[C@@]12CCN(CC1CC1)[C@@H]3C5,True
mutant:3638,C=CCC(F)(F)c1cc(N2C(=O)[C@@H]3[C@H](C2=O)[C@]2(C)C[C@@H](C(=O)O)[C@]3(C)O2)ccc1C#N,True
mutant:3639,C=CCC(F)(F)c1cc(N2C(=O)[C@@H]3[C@H](C2=O)[C@]2(C)C[C@@H](NS(=O)(=O)NC)[C@]3(C)O2)ccc1C#N,True
mutant:3713,C=CCC(O)[C@@H]1C[C@]2(C)O[C@]1(C)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,True
mutant:4482,C=CCNS(=O)(=O)N[C@@H]1C[C@]2(C)O[C@]1(C)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,True
mutant:4646,C=CCO[C@@]12CC[C@@]3(C[C@@H]1CNC(=O)/C=C/c1ccc([N+](=O)[O-])cc1)[C@H]1Cc4ccc(OC)c5c4[C@@]3(CCN1C)[C@H]2O5,True
mutant:4647,C=CCO[C@@]12CC[C@@]3(C[C@@H]1CNC(=O)/C=C/c1ccccc1C)[C@H]1Cc4ccc(OC)c5c4[C@@]3(CCN1C)[C@H]2O5,True
mutant:4777,C=CC[C@@](O)([C@H]1C[C@@]23CC[C@@]1(OC)[C@@H]1Oc4c(C(N)=O)ccc5c4[C@@]12CCN(CC1CC1)[C@@H]3C5)C(C)(C)C,True
mutant:4789,C=CC[C@@]12C[C@@H](C(=O)O)[C@](C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,True
mutant:4790,C=CC[C@@]12C[C@@H](NS(=O)(=O)NC)[C@](C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,True
mutant:5138,C=C[C@@]12C[C@@H](NS(C)(=O)=O)[C@](C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,True
mutant:5158,C=C[C@]12O[C@@](C)(C[C@H]1C(=O)O)[C@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@H]12,True
mutant:5448,CC#CC(F)(F)c1cc(N2C(=O)[C@@H]3[C@H](C2=O)[C@]2(C)C[C@@H](NS(C)(=O)=O)[C@]3(C)O2)ccc1C#N,True
mutant:5848,CC#Cc1ccc2c3c1O[C@H]1[C@]4(OC)CC[C@@]5(C[C@@H]4CNC(=O)/C=C/c4ccc(OC)cc4)[C@@H](C2)N(C)CC[C@]315,True
mutant:5849,CC#Cc1ccc2c3c1O[C@H]1[C@]4(OC)CC[C@@]5(C[C@@H]4CNC/C=C/c4ccc(Cl)cc4)[C@@H](C2)N(C)CC[C@]315,True
mutant:6079,CC(=CCc1ccc(C(=N)N)cc1)C(=O)[C@H](CCC1CCNCC1)NC(=O)[C@@H](CCC1CCN(C(=O)C(C)C)CC1)NS(=O)(=O)Cc1ccccc1,True
mutant:7009,CC(=O)C(F)(F)c1cc(N2C(=O)[C@@H]3[C@H](C2=O)[C@]2(C)C[C@@H](NS(C)(=O)=O)[C@]3(C)O2)ccc1C#N,True
mutant:10130,CC(C)(C)CC(=O)N1CCC(CC[C@@H](NS(=O)(=O)Cc2ccccc2)C(=O)N[C@@H](CCC2CCNCC2)C(=O)NCc2ccc(C(=N)N)cc2)CC1,True
mutant:10669,CC(C)(C)[C@](C)(O)[C@H]1C[C@@]23CC[C@@]1(OC1CC1)[C@@H]1Oc4c(C(N)=O)ccc5c4[C@@]12CCN(CC1CC1)[C@@H]3C5,True
mutant:10670,CC(C)(C)[C@](C)(O)[C@H]1C[C@@]23CC[C@@]1(OCC#N)[C@@H]1Oc4c(C(N)=O)ccc5c4[C@@]12CCN(CC1CC1)[C@@H]3C5,True
mutant:11598,CC(C)(CN)CN[C@@H]1C[C@]2(C)O[C@]1(C)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,True
mutant:12802,CC(C)C(=O)COCC(=O)NCCC[C@@H](NS(=O)(=O)Cc1ccccc1)C(=O)N[C@@H](CCC1CCNCC1)C(=O)NCc1ccc(C(=N)N)cc1,True
mutant:12850,CC(C)C(=O)N1CCC(CC(=O)C[C@@H](NS(=O)(=O)Cc2ccccc2)C(=O)N[C@@H](CCC2CCNCC2)C(=O)NCc2ccc(C(=N)N)cc2)CC1,True
mutant:12852,CC(C)C(=O)N1CCC(CCC(C(=O)N[C@@H](CCC2CCNCC2)C(=O)NCc2ccc(C(=N)N)cc2)C(C)NS(=O)(=O)Cc2ccccc2)CC1,True
mutant:12855,CC(C)C(=O)N1CCC(CCN(NS(=O)(=O)Cc2ccccc2)C(=O)N[C@@H](CCC2CCNCC2)C(=O)NCc2ccc(C(=N)N)cc2)CC1,True
mutant:12860,CC(C)C(=O)N1CCC(CC[C@@H](NCC(Cc2ccccc2)N(C)C)C(=O)N[C@@H](CCC2CCNCC2)C(=O)NCc2ccc(C(=N)N)cc2)CC1,True
mutant:12861,CC(C)C(=O)N1CCC(CC[C@@H](NCCC(F)Cc2ccccc2)C(=O)N[C@@H](CCC2CCNCC2)C(=O)NCc2ccc(C(=N)N)cc2)CC1,True
mutant:12862,CC(C)C(=O)N1CCC(CC[C@@H](NCCCCc2ccccc2)C(=O)N[C@@H](CCC2CCNCC2)C(=O)NCc2ccc(C(=N)N)cc2)CC1,True
mutant:12863,CC(C)C(=O)N1CCC(CC[C@@H](NCCSCc2ccccc2)C(=O)N[C@@H](CCC2CCNCC2)C(=O)NCc2ccc(C(=N)N)cc2)CC1,True
mutant:12866,CC(C)C(=O)N1CCC(CC[C@@H](NS(=O)(=O)CCc2ccccc2)C(=O)N[C@@H](CCC2CCNCC2)C(=O)NCc2ccc(C(=N)N)cc2)CC1,True
mutant:12867,CC(C)C(=O)N1CCC(CC[C@@H](NS(=O)(=O)CCc2ccncc2)C(=O)N[C@@H](CCC2CCNCC2)C(=O)NCc2ccc(C(=N)N)cc2)CC1,True
mutant:12869,CC(C)C(=O)N1CCC(CC[C@@H](NS(=O)(=O)Cc2ccccc2)C(=O)C(N)[C@@H](CCC2CCNCC2)C(=O)NCc2ccc(C(=N)N)cc2)CC1,True
