dataset,masks,affected_masks,affected_mask_fraction
CHEMBL1862_Ki,222,0,0.0
CHEMBL1871_Ki,324,45,0.1388888888888889
CHEMBL2034_Ki,350,0,0.0
CHEMBL2047_EC50,486,0,0.0
CHEMBL204_Ki,2472,0,0.0
CHEMBL2147_Ki,423,0,0.0
CHEMBL214_Ki,1875,0,0.0
CHEMBL218_EC50,730,0,0.0
CHEMBL219_Ki,936,1,0.0010683760683760685
CHEMBL228_Ki,865,0,0.0
CHEMBL231_Ki,513,0,0.0
CHEMBL233_Ki,1532,36,0.02349869451697128
CHEMBL234_Ki,2046,0,0.0
CHEMBL235_EC50,2024,0,0.0
CHEMBL236_Ki,1285,25,0.019455252918287938
CHEMBL237_EC50,614,2,0.003257328990228013
CHEMBL237_Ki,1294,14,0.010819165378670788
CHEMBL238_Ki,521,6,0.011516314779270634
CHEMBL239_EC50,1792,0,0.0
CHEMBL244_Ki,2341,29,0.012387868432293891
CHEMBL262_Ki,279,0,0.0
CHEMBL264_Ki,1422,0,0.0
CHEMBL2835_Ki,100,0,0.0
CHEMBL287_Ki,722,1,0.0013850415512465374
CHEMBL2971_Ki,322,0,0.0
CHEMBL3979_EC50,1000,0,0.0
CHEMBL4005_Ki,550,0,0.0
CHEMBL4203_Ki,120,0,0.0
CHEMBL4616_EC50,399,0,0.0
CHEMBL4792_Ki,706,0,0.0
