row_id,dataset,component_split,local_weighted_r2,local_samples,variable_bits,supported_atom_fraction,representation,predictor,seed,variant
CHEMBL1862_Ki:53,CHEMBL1862_Ki,calibration,0.9588285219569466,27,237,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:60,CHEMBL1862_Ki,test,0.9409663199064235,35,281,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:101,CHEMBL1862_Ki,calibration,0.8875386515791679,19,178,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:102,CHEMBL1862_Ki,calibration,0.9131733899454542,26,237,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:109,CHEMBL1862_Ki,test,0.8517319594198663,13,127,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:114,CHEMBL1862_Ki,test,0.930683947282456,25,217,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:115,CHEMBL1862_Ki,test,0.9727617311250852,35,283,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:126,CHEMBL1862_Ki,test,0.9712543330025315,34,279,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:135,CHEMBL1862_Ki,test,0.9646207443087307,29,274,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:139,CHEMBL1862_Ki,calibration,0.9682209223969962,36,288,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:141,CHEMBL1862_Ki,calibration,0.9775729116960489,44,326,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:143,CHEMBL1862_Ki,calibration,0.9728679919819853,33,274,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:144,CHEMBL1862_Ki,test,0.9661825986578385,28,236,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:145,CHEMBL1862_Ki,calibration,0.9787565128754854,40,304,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:163,CHEMBL1862_Ki,test,0.9546237265537758,35,285,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:164,CHEMBL1862_Ki,calibration,0.9168359376353803,28,241,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:431,CHEMBL1862_Ki,test,0.9536943349730853,29,238,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:454,CHEMBL1862_Ki,calibration,0.9411113097565359,25,230,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:455,CHEMBL1862_Ki,calibration,0.9426603095535881,29,243,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:456,CHEMBL1862_Ki,test,0.9623264452045369,33,259,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:477,CHEMBL1862_Ki,test,0.9636977518927677,21,188,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:533,CHEMBL1862_Ki,test,0.979776845948295,31,261,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:576,CHEMBL1862_Ki,test,0.9252087447401739,20,179,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:616,CHEMBL1862_Ki,calibration,0.9727578394799515,33,289,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:664,CHEMBL1862_Ki,calibration,0.9859655036032444,29,286,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:693,CHEMBL1862_Ki,calibration,0.9782987921472239,26,220,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:709,CHEMBL1862_Ki,test,0.9672769941780299,29,262,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:711,CHEMBL1862_Ki,test,0.9721047454401068,33,303,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:727,CHEMBL1862_Ki,test,0.9312315045735439,23,200,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:729,CHEMBL1862_Ki,calibration,0.9660654288965953,29,242,1.0,morgan,xgboost,11,trained
CHEMBL1862_Ki:53,CHEMBL1862_Ki,calibration,0.8694742752640721,27,237,1.0,morgan,xgboost,11,label_permuted
CHEMBL1862_Ki:60,CHEMBL1862_Ki,test,0.8997443893396855,35,281,1.0,morgan,xgboost,11,label_permuted
CHEMBL1862_Ki:101,CHEMBL1862_Ki,calibration,0.0,19,178,1.0,morgan,xgboost,11,label_permuted
CHEMBL1862_Ki:102,CHEMBL1862_Ki,calibration,0.9331922369651954,26,237,1.0,morgan,xgboost,11,label_permuted
CHEMBL1862_Ki:109,CHEMBL1862_Ki,test,0.9041198528945679,13,127,1.0,morgan,xgboost,11,label_permuted
CHEMBL1862_Ki:114,CHEMBL1862_Ki,test,0.0,25,217,1.0,morgan,xgboost,11,label_permuted
CHEMBL1862_Ki:115,CHEMBL1862_Ki,test,0.9552224311299528,35,283,1.0,morgan,xgboost,11,label_permuted
CHEMBL1862_Ki:126,CHEMBL1862_Ki,test,0.9490898628887356,34,279,1.0,morgan,xgboost,11,label_permuted
CHEMBL1862_Ki:135,CHEMBL1862_Ki,test,0.0,29,274,1.0,morgan,xgboost,11,label_permuted
CHEMBL1862_Ki:139,CHEMBL1862_Ki,calibration,0.0,36,288,1.0,morgan,xgboost,11,label_permuted
CHEMBL1862_Ki:141,CHEMBL1862_Ki,calibration,0.0,44,326,1.0,morgan,xgboost,11,label_permuted
CHEMBL1862_Ki:143,CHEMBL1862_Ki,calibration,0.0,33,274,1.0,morgan,xgboost,11,label_permuted
CHEMBL1862_Ki:144,CHEMBL1862_Ki,test,0.0,28,236,1.0,morgan,xgboost,11,label_permuted
CHEMBL1862_Ki:145,CHEMBL1862_Ki,calibration,0.9568380538911283,40,304,1.0,morgan,xgboost,11,label_permuted
CHEMBL1862_Ki:163,CHEMBL1862_Ki,test,0.981361776996108,35,285,1.0,morgan,xgboost,11,label_permuted
CHEMBL1862_Ki:164,CHEMBL1862_Ki,calibration,0.9129817366861537,28,241,1.0,morgan,xgboost,11,label_permuted
CHEMBL1862_Ki:431,CHEMBL1862_Ki,test,0.9174649093926847,29,238,1.0,morgan,xgboost,11,label_permuted
CHEMBL1862_Ki:454,CHEMBL1862_Ki,calibration,0.8610136401204054,25,230,1.0,morgan,xgboost,11,label_permuted
CHEMBL1862_Ki:455,CHEMBL1862_Ki,calibration,0.935689861774837,29,243,1.0,morgan,xgboost,11,label_permuted
CHEMBL1862_Ki:456,CHEMBL1862_Ki,test,0.9149452174806985,33,259,1.0,morgan,xgboost,11,label_permuted
CHEMBL1862_Ki:477,CHEMBL1862_Ki,test,0.0,21,188,1.0,morgan,xgboost,11,label_permuted
CHEMBL1862_Ki:533,CHEMBL1862_Ki,test,0.971946468352408,31,261,1.0,morgan,xgboost,11,label_permuted
