dataset,component_id,component_split,left_index,right_index,positive_atoms,total_atoms,valid_normalized_ap_prevalence
CHEMBL1862_Ki,2,calibration,53,164,4,53,True
CHEMBL1862_Ki,3,test,60,126,12,58,True
CHEMBL1862_Ki,6,calibration,101,102,9,43,True
CHEMBL1862_Ki,8,test,109,114,13,41,True
CHEMBL1862_Ki,9,test,115,163,19,57,True
CHEMBL1862_Ki,10,test,135,144,15,56,True
CHEMBL1862_Ki,11,calibration,139,143,11,59,True
CHEMBL1862_Ki,12,calibration,141,145,11,65,True
CHEMBL1862_Ki,19,test,431,477,13,49,True
CHEMBL1862_Ki,21,calibration,454,455,15,55,True
CHEMBL1862_Ki,22,test,456,533,22,58,True
CHEMBL1862_Ki,25,test,576,727,46,52,True
CHEMBL1862_Ki,24,calibration,616,664,22,62,True
CHEMBL1862_Ki,26,calibration,693,729,26,50,True
CHEMBL1862_Ki,27,test,709,711,14,60,True
CHEMBL1871_Ki,1,test,9,11,12,54,True
CHEMBL1871_Ki,5,calibration,37,61,3,47,True
CHEMBL1871_Ki,6,test,91,92,12,46,True
CHEMBL1871_Ki,8,calibration,102,152,12,45,True
CHEMBL1871_Ki,4,calibration,103,106,4,47,True
CHEMBL1871_Ki,10,calibration,145,149,8,42,True
CHEMBL1871_Ki,11,calibration,173,175,11,51,True
CHEMBL1871_Ki,12,test,182,185,17,66,True
CHEMBL1871_Ki,9,test,228,239,9,41,True
CHEMBL1871_Ki,18,test,248,252,6,38,True
CHEMBL1871_Ki,19,test,258,271,7,36,True
CHEMBL1871_Ki,14,test,313,315,8,46,True
CHEMBL1871_Ki,21,calibration,336,338,10,51,True
CHEMBL1871_Ki,25,test,408,409,4,51,True
CHEMBL1871_Ki,26,calibration,448,471,17,53,True
CHEMBL1871_Ki,32,calibration,526,527,8,60,True
CHEMBL1871_Ki,35,test,574,576,19,69,True
CHEMBL1871_Ki,37,test,597,605,14,60,True
CHEMBL1871_Ki,38,test,602,609,12,64,True
CHEMBL2034_Ki,1,test,14,69,8,54,True
CHEMBL2034_Ki,2,calibration,40,446,20,52,True
CHEMBL2034_Ki,3,test,49,104,11,59,True
CHEMBL2034_Ki,4,calibration,50,52,10,46,True
CHEMBL2034_Ki,8,test,109,114,4,55,True
CHEMBL2034_Ki,9,test,165,172,12,66,True
CHEMBL2034_Ki,13,calibration,211,221,8,60,True
CHEMBL2034_Ki,16,test,251,256,13,77,True
CHEMBL2034_Ki,18,calibration,259,268,11,66,True
CHEMBL2034_Ki,19,calibration,279,282,12,48,True
CHEMBL2034_Ki,20,test,300,301,12,50,True
CHEMBL2034_Ki,24,calibration,369,371,9,75,True
CHEMBL2034_Ki,27,calibration,400,401,4,63,True
CHEMBL2034_Ki,29,calibration,423,493,16,50,True
CHEMBL2034_Ki,31,test,488,490,9,65,True
CHEMBL2034_Ki,34,test,512,517,14,54,True
CHEMBL2034_Ki,36,test,569,588,21,69,True
CHEMBL2034_Ki,38,test,596,601,19,77,True
CHEMBL2034_Ki,40,calibration,617,621,23,55,True
CHEMBL2034_Ki,41,test,626,628,11,48,True
CHEMBL2034_Ki,42,calibration,641,643,8,42,True
CHEMBL2034_Ki,44,calibration,683,692,25,83,True
CHEMBL2034_Ki,46,test,726,737,28,56,True
CHEMBL2034_Ki,47,calibration,743,744,16,64,True
CHEMBL2047_EC50,2,test,10,590,20,64,True
CHEMBL2047_EC50,5,test,57,284,12,67,True
CHEMBL2047_EC50,6,calibration,64,80,19,73,True
CHEMBL2047_EC50,3,test,84,285,13,69,True
CHEMBL2047_EC50,8,test,150,154,6,78,True
CHEMBL2047_EC50,0,test,168,486,12,64,True
CHEMBL2047_EC50,12,calibration,175,183,10,64,True
CHEMBL2047_EC50,13,test,191,211,22,76,True
CHEMBL2047_EC50,14,calibration,221,236,17,77,True
CHEMBL2047_EC50,16,calibration,229,243,9,77,True
CHEMBL2047_EC50,17,test,310,321,18,62,True
CHEMBL2047_EC50,18,calibration,324,342,10,66,True
CHEMBL2047_EC50,19,test,334,340,18,64,True
CHEMBL2047_EC50,20,calibration,335,337,4,67,True
CHEMBL2047_EC50,22,calibration,369,370,5,81,True
CHEMBL2047_EC50,23,calibration,387,388,8,48,True
CHEMBL2047_EC50,30,test,553,573,18,70,True
CHEMBL2047_EC50,31,test,579,594,18,60,True
CHEMBL204_Ki,0,test,0,29,9,74,True
CHEMBL204_Ki,11,calibration,118,1395,28,95,True
CHEMBL204_Ki,17,test,133,263,14,69,True
CHEMBL204_Ki,21,calibration,164,2218,16,76,True
CHEMBL204_Ki,23,test,169,193,13,65,True
CHEMBL204_Ki,20,test,171,212,12,64,True
CHEMBL204_Ki,9,calibration,257,267,15,72,True
CHEMBL204_Ki,32,test,283,805,4,53,True
CHEMBL204_Ki,31,test,285,302,28,72,True
CHEMBL204_Ki,34,test,295,331,14,88,True
CHEMBL204_Ki,35,test,297,346,24,40,True
CHEMBL204_Ki,33,test,310,313,20,45,True
CHEMBL204_Ki,38,test,314,1661,23,38,True
CHEMBL204_Ki,43,test,363,371,10,66,True
CHEMBL204_Ki,48,calibration,419,465,13,69,True
CHEMBL204_Ki,49,calibration,423,434,11,68,True
CHEMBL204_Ki,47,calibration,424,454,14,77,True
CHEMBL204_Ki,53,calibration,477,501,21,73,True
CHEMBL204_Ki,54,calibration,482,486,4,71,True
CHEMBL204_Ki,51,test,487,493,20,80,True
CHEMBL204_Ki,52,test,498,502,10,76,True
CHEMBL204_Ki,58,calibration,523,577,6,106,True
CHEMBL204_Ki,56,test,529,567,3,61,True
CHEMBL204_Ki,63,calibration,552,1854,40,64,True
CHEMBL204_Ki,65,calibration,584,2662,28,44,True
CHEMBL204_Ki,67,test,606,1511,5,66,True
CHEMBL204_Ki,70,test,619,691,8,64,True
CHEMBL204_Ki,73,test,639,1179,19,67,True
CHEMBL204_Ki,74,calibration,641,644,11,71,True
CHEMBL204_Ki,68,calibration,717,735,24,56,True
CHEMBL204_Ki,79,calibration,810,827,29,64,True
CHEMBL204_Ki,81,test,825,1127,19,68,True
CHEMBL204_Ki,82,test,835,843,19,79,True
CHEMBL204_Ki,84,test,848,856,4,61,True
CHEMBL204_Ki,4,test,912,1411,12,52,True
CHEMBL204_Ki,90,calibration,944,951,29,53,True
CHEMBL204_Ki,88,calibration,975,1006,17,81,True
CHEMBL204_Ki,55,test,995,999,3,71,True
CHEMBL204_Ki,91,calibration,1022,1028,20,82,True
CHEMBL204_Ki,92,calibration,1027,1058,16,65,True
CHEMBL204_Ki,96,calibration,1201,1228,21,77,True
CHEMBL204_Ki,16,test,1224,1713,12,76,True
CHEMBL204_Ki,95,calibration,1238,1279,20,76,True
CHEMBL204_Ki,93,test,1246,1721,12,78,True
CHEMBL204_Ki,98,test,1272,1289,16,78,True
CHEMBL204_Ki,100,calibration,1296,1737,37,66,True
CHEMBL204_Ki,102,calibration,1314,1387,16,58,True
CHEMBL204_Ki,103,calibration,1316,1379,14,98,True
CHEMBL204_Ki,104,test,1358,1406,17,91,True
CHEMBL204_Ki,83,test,1405,1477,20,65,True
CHEMBL204_Ki,41,test,1430,1482,4,41,True
CHEMBL204_Ki,108,test,1441,1452,13,66,True
CHEMBL204_Ki,106,test,1442,1489,19,65,True
CHEMBL204_Ki,109,calibration,1451,1459,12,60,True
CHEMBL204_Ki,39,test,1457,1500,23,67,True
CHEMBL204_Ki,110,test,1492,1493,10,62,True
CHEMBL204_Ki,114,calibration,1512,1520,22,70,True
CHEMBL204_Ki,115,calibration,1517,1534,4,65,True
CHEMBL204_Ki,116,test,1537,1556,17,68,True
CHEMBL204_Ki,117,test,1560,1571,7,49,True
CHEMBL204_Ki,123,calibration,1635,1652,4,53,True
CHEMBL204_Ki,121,calibration,1647,1663,3,75,True
CHEMBL204_Ki,124,test,1668,1699,8,62,True
CHEMBL204_Ki,24,test,1744,1755,13,64,True
CHEMBL204_Ki,133,test,1816,1818,11,71,True
CHEMBL204_Ki,134,test,1830,2706,6,52,True
CHEMBL204_Ki,135,calibration,1832,1834,5,71,True
CHEMBL204_Ki,66,test,1850,1856,12,63,True
CHEMBL204_Ki,141,calibration,1942,1943,20,62,True
CHEMBL204_Ki,144,test,1970,1986,14,80,True
CHEMBL204_Ki,145,calibration,1991,1996,6,90,True
CHEMBL204_Ki,146,calibration,2042,2045,10,60,True
CHEMBL204_Ki,147,test,2060,2063,13,81,True
CHEMBL204_Ki,150,calibration,2113,2124,14,70,True
CHEMBL204_Ki,151,calibration,2143,2149,13,71,True
CHEMBL204_Ki,152,calibration,2174,2181,10,82,True
CHEMBL204_Ki,153,calibration,2187,2352,19,69,True
CHEMBL204_Ki,154,calibration,2191,2193,8,56,True
CHEMBL204_Ki,156,test,2203,2210,14,68,True
CHEMBL204_Ki,155,test,2206,2370,41,60,True
CHEMBL204_Ki,159,calibration,2276,2282,6,79,True
CHEMBL204_Ki,142,test,2316,2317,11,71,True
CHEMBL204_Ki,164,calibration,2375,2376,5,62,True
CHEMBL204_Ki,166,calibration,2415,2416,8,64,True
CHEMBL204_Ki,168,calibration,2437,2483,4,79,True
CHEMBL204_Ki,172,test,2451,2462,17,73,True
