row_id,dataset,molecule_index,component_split,heavy_atoms,molformer_tokens,within_limit
CHEMBL1862_Ki:0,CHEMBL1862_Ki,0,isolated,17,31,True
CHEMBL1862_Ki:1,CHEMBL1862_Ki,1,isolated,29,57,True
CHEMBL1862_Ki:2,CHEMBL1862_Ki,2,isolated,30,55,True
CHEMBL1862_Ki:3,CHEMBL1862_Ki,3,isolated,25,48,True
CHEMBL1862_Ki:4,CHEMBL1862_Ki,4,isolated,27,50,True
CHEMBL1862_Ki:5,CHEMBL1862_Ki,5,isolated,22,43,True
CHEMBL1862_Ki:6,CHEMBL1862_Ki,6,isolated,21,40,True
CHEMBL1862_Ki:7,CHEMBL1862_Ki,7,isolated,22,35,True
CHEMBL1862_Ki:8,CHEMBL1862_Ki,8,isolated,26,41,True
CHEMBL1862_Ki:9,CHEMBL1862_Ki,9,isolated,23,36,True
CHEMBL1862_Ki:10,CHEMBL1862_Ki,10,isolated,23,38,True
CHEMBL1862_Ki:11,CHEMBL1862_Ki,11,isolated,34,55,True
CHEMBL1862_Ki:12,CHEMBL1862_Ki,12,isolated,26,41,True
CHEMBL1862_Ki:13,CHEMBL1862_Ki,13,isolated,35,55,True
CHEMBL1862_Ki:14,CHEMBL1862_Ki,14,isolated,30,48,True
CHEMBL1862_Ki:15,CHEMBL1862_Ki,15,isolated,35,54,True
CHEMBL1862_Ki:16,CHEMBL1862_Ki,16,isolated,34,51,True
CHEMBL1862_Ki:17,CHEMBL1862_Ki,17,isolated,29,44,True
CHEMBL1862_Ki:18,CHEMBL1862_Ki,18,isolated,34,51,True
CHEMBL1862_Ki:19,CHEMBL1862_Ki,19,isolated,34,51,True
CHEMBL1862_Ki:20,CHEMBL1862_Ki,20,isolated,34,51,True
CHEMBL1862_Ki:21,CHEMBL1862_Ki,21,train,37,64,True
CHEMBL1862_Ki:22,CHEMBL1862_Ki,22,isolated,35,62,True
CHEMBL1862_Ki:23,CHEMBL1862_Ki,23,train,37,64,True
CHEMBL1862_Ki:24,CHEMBL1862_Ki,24,train,38,67,True
CHEMBL1862_Ki:25,CHEMBL1862_Ki,25,isolated,37,64,True
CHEMBL1862_Ki:26,CHEMBL1862_Ki,26,isolated,34,58,True
CHEMBL1862_Ki:27,CHEMBL1862_Ki,27,isolated,25,40,True
CHEMBL1862_Ki:28,CHEMBL1862_Ki,28,isolated,23,36,True
CHEMBL1862_Ki:29,CHEMBL1862_Ki,29,isolated,24,39,True
CHEMBL1862_Ki:30,CHEMBL1862_Ki,30,isolated,24,39,True
CHEMBL1862_Ki:31,CHEMBL1862_Ki,31,isolated,23,38,True
CHEMBL1862_Ki:32,CHEMBL1862_Ki,32,isolated,24,41,True
CHEMBL1862_Ki:33,CHEMBL1862_Ki,33,isolated,24,39,True
CHEMBL1862_Ki:34,CHEMBL1862_Ki,34,isolated,24,39,True
CHEMBL1862_Ki:35,CHEMBL1862_Ki,35,isolated,24,41,True
CHEMBL1862_Ki:36,CHEMBL1862_Ki,36,isolated,26,46,True
CHEMBL1862_Ki:37,CHEMBL1862_Ki,37,isolated,25,42,True
CHEMBL1862_Ki:38,CHEMBL1862_Ki,38,isolated,25,42,True
CHEMBL1862_Ki:39,CHEMBL1862_Ki,39,isolated,24,41,True
CHEMBL1862_Ki:40,CHEMBL1862_Ki,40,isolated,24,41,True
CHEMBL1862_Ki:41,CHEMBL1862_Ki,41,isolated,26,46,True
