row_id,dataset,molecule_index,component_split,heavy_atoms,molformer_tokens,within_limit
CHEMBL1871_Ki:546,CHEMBL1871_Ki,546,calibration,166,303,False
CHEMBL1871_Ki:547,CHEMBL1871_Ki,547,calibration,166,303,False
CHEMBL1871_Ki:548,CHEMBL1871_Ki,548,calibration,167,304,False
CHEMBL1871_Ki:549,CHEMBL1871_Ki,549,calibration,168,304,False
CHEMBL1871_Ki:550,CHEMBL1871_Ki,550,calibration,169,305,False
CHEMBL1871_Ki:551,CHEMBL1871_Ki,551,calibration,165,301,False
CHEMBL1871_Ki:552,CHEMBL1871_Ki,552,calibration,167,304,False
CHEMBL1871_Ki:553,CHEMBL1871_Ki,553,isolated,160,297,False
CHEMBL1871_Ki:554,CHEMBL1871_Ki,554,calibration,165,301,False
CHEMBL1871_Ki:555,CHEMBL1871_Ki,555,calibration,162,297,False
CHEMBL1871_Ki:556,CHEMBL1871_Ki,556,isolated,166,303,False
CHEMBL1871_Ki:557,CHEMBL1871_Ki,557,isolated,163,299,False
CHEMBL1871_Ki:558,CHEMBL1871_Ki,558,train,186,341,False
CHEMBL1871_Ki:559,CHEMBL1871_Ki,559,train,181,331,False
CHEMBL1871_Ki:560,CHEMBL1871_Ki,560,train,181,331,False
CHEMBL1871_Ki:561,CHEMBL1871_Ki,561,train,182,332,False
CHEMBL1871_Ki:562,CHEMBL1871_Ki,562,train,182,332,False
CHEMBL1871_Ki:563,CHEMBL1871_Ki,563,train,184,334,False
CHEMBL1871_Ki:564,CHEMBL1871_Ki,564,train,181,329,False
CHEMBL1871_Ki:565,CHEMBL1871_Ki,565,train,181,328,False
CHEMBL1871_Ki:566,CHEMBL1871_Ki,566,train,179,326,False
CHEMBL1871_Ki:567,CHEMBL1871_Ki,567,train,178,327,False
CHEMBL1871_Ki:568,CHEMBL1871_Ki,568,train,175,325,False
CHEMBL1871_Ki:569,CHEMBL1871_Ki,569,train,182,329,False
CHEMBL1871_Ki:570,CHEMBL1871_Ki,570,train,181,331,False
CHEMBL1871_Ki:571,CHEMBL1871_Ki,571,train,185,340,False
CHEMBL1871_Ki:572,CHEMBL1871_Ki,572,train,176,325,False
CHEMBL1871_Ki:573,CHEMBL1871_Ki,573,train,181,331,False
CHEMBL204_Ki:159,CHEMBL204_Ki,159,test,181,331,False
CHEMBL204_Ki:170,CHEMBL204_Ki,170,isolated,144,262,False
CHEMBL204_Ki:223,CHEMBL204_Ki,223,test,183,333,False
CHEMBL204_Ki:235,CHEMBL204_Ki,235,test,180,330,False
CHEMBL204_Ki:236,CHEMBL204_Ki,236,isolated,182,332,False
CHEMBL204_Ki:360,CHEMBL204_Ki,360,isolated,115,203,False
CHEMBL204_Ki:378,CHEMBL204_Ki,378,isolated,114,208,False
CHEMBL204_Ki:1672,CHEMBL204_Ki,1672,calibration,150,267,False
CHEMBL204_Ki:1682,CHEMBL204_Ki,1682,calibration,150,270,False
CHEMBL204_Ki:1687,CHEMBL204_Ki,1687,calibration,152,273,False
CHEMBL204_Ki:1689,CHEMBL204_Ki,1689,calibration,153,276,False
CHEMBL204_Ki:1693,CHEMBL204_Ki,1693,isolated,110,204,False
CHEMBL204_Ki:1697,CHEMBL204_Ki,1697,calibration,151,273,False
CHEMBL204_Ki:1910,CHEMBL204_Ki,1910,train,206,375,False
CHEMBL204_Ki:1911,CHEMBL204_Ki,1911,isolated,210,384,False
CHEMBL204_Ki:1912,CHEMBL204_Ki,1912,train,224,413,False
CHEMBL233_Ki:142,CHEMBL233_Ki,142,isolated,124,226,False
CHEMBL233_Ki:145,CHEMBL233_Ki,145,isolated,135,247,False
CHEMBL233_Ki:844,CHEMBL233_Ki,844,isolated,139,247,False
CHEMBL233_Ki:845,CHEMBL233_Ki,845,isolated,137,243,False
CHEMBL233_Ki:1125,CHEMBL233_Ki,1125,isolated,153,270,False
CHEMBL233_Ki:2108,CHEMBL233_Ki,2108,train,137,247,False
CHEMBL233_Ki:2109,CHEMBL233_Ki,2109,isolated,147,265,False
CHEMBL233_Ki:2110,CHEMBL233_Ki,2110,isolated,136,246,False
CHEMBL233_Ki:2113,CHEMBL233_Ki,2113,train,135,247,False
CHEMBL233_Ki:2114,CHEMBL233_Ki,2114,train,134,244,False
CHEMBL233_Ki:2116,CHEMBL233_Ki,2116,train,126,238,False
CHEMBL233_Ki:2117,CHEMBL233_Ki,2117,train,128,237,False
CHEMBL233_Ki:2118,CHEMBL233_Ki,2118,train,127,236,False
CHEMBL233_Ki:2119,CHEMBL233_Ki,2119,train,128,234,False
CHEMBL233_Ki:2120,CHEMBL233_Ki,2120,train,129,232,False
CHEMBL233_Ki:2121,CHEMBL233_Ki,2121,train,129,235,False
CHEMBL233_Ki:2122,CHEMBL233_Ki,2122,train,135,245,False
CHEMBL233_Ki:2123,CHEMBL233_Ki,2123,train,133,241,False
CHEMBL233_Ki:2124,CHEMBL233_Ki,2124,train,132,240,False
CHEMBL233_Ki:2125,CHEMBL233_Ki,2125,train,128,233,False
CHEMBL233_Ki:2126,CHEMBL233_Ki,2126,train,126,229,False
CHEMBL236_Ki:494,CHEMBL236_Ki,494,train,118,207,False
CHEMBL236_Ki:987,CHEMBL236_Ki,987,isolated,139,247,False
CHEMBL236_Ki:988,CHEMBL236_Ki,988,isolated,137,243,False
CHEMBL236_Ki:1230,CHEMBL236_Ki,1230,isolated,153,270,False
CHEMBL236_Ki:1804,CHEMBL236_Ki,1804,test,143,244,False
CHEMBL236_Ki:1805,CHEMBL236_Ki,1805,isolated,123,212,False
CHEMBL236_Ki:1956,CHEMBL236_Ki,1956,test,137,247,False
CHEMBL236_Ki:1957,CHEMBL236_Ki,1957,isolated,147,265,False
CHEMBL236_Ki:1958,CHEMBL236_Ki,1958,test,136,246,False
CHEMBL236_Ki:1961,CHEMBL236_Ki,1961,test,135,247,False
CHEMBL236_Ki:1962,CHEMBL236_Ki,1962,test,134,244,False
CHEMBL236_Ki:1964,CHEMBL236_Ki,1964,isolated,128,234,False
CHEMBL236_Ki:1965,CHEMBL236_Ki,1965,test,129,235,False
CHEMBL236_Ki:1966,CHEMBL236_Ki,1966,test,135,245,False
CHEMBL236_Ki:1967,CHEMBL236_Ki,1967,test,133,241,False
CHEMBL236_Ki:1968,CHEMBL236_Ki,1968,test,132,240,False
CHEMBL236_Ki:1969,CHEMBL236_Ki,1969,isolated,126,229,False
CHEMBL236_Ki:1981,CHEMBL236_Ki,1981,calibration,128,223,False
CHEMBL236_Ki:1982,CHEMBL236_Ki,1982,calibration,124,217,False
CHEMBL236_Ki:1983,CHEMBL236_Ki,1983,calibration,129,225,False
CHEMBL236_Ki:1984,CHEMBL236_Ki,1984,calibration,134,230,False
CHEMBL236_Ki:1985,CHEMBL236_Ki,1985,calibration,130,228,False
CHEMBL236_Ki:1986,CHEMBL236_Ki,1986,calibration,135,236,False
CHEMBL236_Ki:1987,CHEMBL236_Ki,1987,calibration,140,241,False
CHEMBL236_Ki:1988,CHEMBL236_Ki,1988,isolated,122,213,False
CHEMBL236_Ki:1989,CHEMBL236_Ki,1989,calibration,124,217,False
CHEMBL237_EC50:256,CHEMBL237_EC50,256,isolated,153,270,False
CHEMBL237_EC50:357,CHEMBL237_EC50,357,isolated,157,281,False
CHEMBL237_EC50:442,CHEMBL237_EC50,442,isolated,128,229,False
CHEMBL237_Ki:779,CHEMBL237_Ki,779,train,139,247,False
CHEMBL237_Ki:780,CHEMBL237_Ki,780,train,137,243,False
CHEMBL237_Ki:781,CHEMBL237_Ki,781,train,136,240,False
CHEMBL237_Ki:1001,CHEMBL237_Ki,1001,isolated,153,270,False
CHEMBL237_Ki:1835,CHEMBL237_Ki,1835,calibration,133,241,False
CHEMBL237_Ki:1836,CHEMBL237_Ki,1836,isolated,132,240,False
CHEMBL237_Ki:1837,CHEMBL237_Ki,1837,calibration,128,233,False
CHEMBL237_Ki:1838,CHEMBL237_Ki,1838,calibration,126,229,False
CHEMBL237_Ki:1839,CHEMBL237_Ki,1839,calibration,135,245,False
CHEMBL237_Ki:1840,CHEMBL237_Ki,1840,isolated,129,235,False
CHEMBL237_Ki:1841,CHEMBL237_Ki,1841,calibration,129,232,False
CHEMBL237_Ki:1842,CHEMBL237_Ki,1842,calibration,128,234,False
CHEMBL237_Ki:1843,CHEMBL237_Ki,1843,calibration,126,238,False
CHEMBL237_Ki:1845,CHEMBL237_Ki,1845,calibration,134,244,False
CHEMBL237_Ki:1846,CHEMBL237_Ki,1846,calibration,135,247,False
CHEMBL237_Ki:1849,CHEMBL237_Ki,1849,calibration,136,246,False
CHEMBL237_Ki:1850,CHEMBL237_Ki,1850,isolated,147,265,False
CHEMBL237_Ki:1851,CHEMBL237_Ki,1851,isolated,137,247,False
CHEMBL244_Ki:3026,CHEMBL244_Ki,3026,isolated,174,313,False
CHEMBL244_Ki:3085,CHEMBL244_Ki,3085,isolated,244,437,False
CHEMBL244_Ki:3086,CHEMBL244_Ki,3086,isolated,238,434,False
CHEMBL244_Ki:3093,CHEMBL244_Ki,3093,train,240,431,False
CHEMBL244_Ki:3094,CHEMBL244_Ki,3094,train,245,438,False
CHEMBL4616_EC50:1,CHEMBL4616_EC50,1,isolated,234,409,False
CHEMBL4616_EC50:531,CHEMBL4616_EC50,531,isolated,206,364,False
CHEMBL4616_EC50:532,CHEMBL4616_EC50,532,isolated,209,367,False
CHEMBL4616_EC50:533,CHEMBL4616_EC50,533,isolated,207,365,False
CHEMBL4616_EC50:534,CHEMBL4616_EC50,534,isolated,210,368,False
CHEMBL4616_EC50:535,CHEMBL4616_EC50,535,isolated,205,365,False
CHEMBL4616_EC50:536,CHEMBL4616_EC50,536,isolated,214,379,False
CHEMBL4616_EC50:640,CHEMBL4616_EC50,640,isolated,316,570,False
CHEMBL4616_EC50:641,CHEMBL4616_EC50,641,isolated,238,418,False
