representation,predictor,target_balanced_spearman,target_balanced_direction_accuracy,target_balanced_delta_mae,target_balanced_delta_rmse,target_balanced_median_absolute_predicted_delta,targets,spearman_defined_targets,permutations_used,permutation_ids,full_10_delta_mae,full_10_direction_accuracy,delta_mae_difference_from_10,direction_accuracy_difference_from_10
molformer,mlp,-0.04761904761904763,0.46153846153846156,1.8255856536497974,1.9181362771059158,0.0621852874755859,27,27,1,42,1.7620102186969357,0.4807692307692308,0.06357543495286166,-0.019230769230769218
molformer,xgboost,0.0872598795800859,0.46153846153846156,1.7585816911912677,1.879351782286027,0.043074548244476304,27,27,1,42,1.764369649486883,0.5,-0.005787958295615292,-0.038461538461538436
morgan,mlp,-0.01575984990619137,0.5,1.7903988038601417,1.9009432404024713,0.0994915962219238,27,27,1,42,1.767123926509761,0.4807692307692308,0.023274877350380807,0.019230769230769218
morgan,xgboost,0.0,0.2647058823529412,1.7832729585851705,1.888252788383098,0.0,27,25,1,42,1.7657464247430281,0.47368421052631576,0.017526533842142422,-0.20897832817337458
unimol,mlp,-0.032967032967032975,0.5,1.7767625606180002,1.8866708058123993,0.11768633127212519,27,27,1,42,1.763615679121795,0.5238095238095238,0.013146881496205243,-0.023809523809523836
unimol,xgboost,0.13939393939393938,0.5,1.7789617145033114,1.9068283328585032,0.035619199275970403,27,27,1,42,1.7671507250681409,0.5,0.01181098943517056,0.0
molformer,mlp,-0.08578431372549021,0.48484848484848486,1.7628614471715034,1.8833419119867807,0.0424360434214274,27,27,3,"42,43,44",1.7620102186969357,0.4807692307692308,0.0008512284745676446,0.00407925407925408
molformer,xgboost,-0.056552574776441565,0.475,1.761380562579779,1.8796377108502762,0.03730348745981851,27,27,3,"42,43,44",1.764369649486883,0.5,-0.002989086907104088,-0.025000000000000022
morgan,mlp,0.01818181818181818,0.48936170212765956,1.7789330793817644,1.8808305255115794,0.07499098777770996,27,27,3,"42,43,44",1.767123926509761,0.4807692307692308,0.011809152872003459,0.008592471358428777
morgan,xgboost,0.019349288816801792,0.4166666666666667,1.7728584977958872,1.8735377909403597,0.01584815979003905,27,27,3,"42,43,44",1.7657464247430281,0.47368421052631576,0.0071120730528591025,-0.05701754385964908
unimol,mlp,0.07878787878787878,0.5531914893617021,1.7650400432496018,1.8631131148090254,0.08808767795562741,27,27,3,"42,43,44",1.763615679121795,0.5238095238095238,0.0014243641278068875,0.029381965552178313
unimol,xgboost,0.05332314744079449,0.5,1.7694226984154615,1.917021146080007,0.030285755793253568,27,27,3,"42,43,44",1.7671507250681409,0.5,0.002271973347320655,0.0
molformer,mlp,-0.027472527472527472,0.4666666666666667,1.7631757680928768,1.8860406893870405,0.036215353012084964,27,27,5,"42,43,44,45,46",1.7620102186969357,0.4807692307692308,0.0011655493959410457,-0.014102564102564108
molformer,xgboost,-0.10769230769230771,0.46808510638297873,1.7575376832456822,1.8829091118659365,0.02544088363647458,27,27,5,"42,43,44,45,46",1.764369649486883,0.5,-0.00683196624120086,-0.03191489361702127
morgan,mlp,0.03864915572232646,0.5,1.76883767152042,1.8714116719443605,0.06727166175842282,27,27,5,"42,43,44,45,46",1.767123926509761,0.4807692307692308,0.001713745010659018,0.019230769230769218
morgan,xgboost,0.014705882352941176,0.4594594594594595,1.7700180968701227,1.8945596010758143,0.01788693666458128,27,27,5,"42,43,44,45,46",1.7657464247430281,0.47368421052631576,0.004271672127094561,-0.014224751066856278
unimol,mlp,0.09946524064171122,0.5,1.7585972155662908,1.8664559711181699,0.07885314226150512,27,27,5,"42,43,44,45,46",1.763615679121795,0.5238095238095238,-0.005018463555504171,-0.023809523809523836
unimol,xgboost,0.002450980392156863,0.5294117647058824,1.7607733031085568,1.9133172604526685,0.032915019989013625,27,27,5,"42,43,44,45,46",1.7671507250681409,0.5,-0.006377421959584018,0.02941176470588236
molformer,mlp,0.05925040553231452,0.4807692307692308,1.7620102186969357,1.8868396845060242,0.030957293510436995,27,27,10,"42,43,44,45,46,47,48,49,50,51",1.7620102186969357,0.4807692307692308,0.0,0.0
molformer,xgboost,-0.03333333333333333,0.5,1.764369649486883,1.9007925551476808,0.02012546062469482,27,27,10,"42,43,44,45,46,47,48,49,50,51",1.764369649486883,0.5,0.0,0.0
morgan,mlp,-0.0061470161359173554,0.4807692307692308,1.767123926509761,1.8826754111379191,0.05434668660163881,27,27,10,"42,43,44,45,46,47,48,49,50,51",1.767123926509761,0.4807692307692308,0.0,0.0
morgan,xgboost,-0.0012987012987012987,0.47368421052631576,1.7657464247430281,1.9148772914203065,0.012360224127769479,27,27,10,"42,43,44,45,46,47,48,49,50,51",1.7657464247430281,0.47368421052631576,0.0,0.0
unimol,mlp,0.08571428571428573,0.5238095238095238,1.763615679121795,1.8797071766522,0.06647313237190244,27,27,10,"42,43,44,45,46,47,48,49,50,51",1.763615679121795,0.5238095238095238,0.0,0.0
unimol,xgboost,-0.02450268931955946,0.5,1.7671507250681409,1.893280300999394,0.023166328668594367,27,27,10,"42,43,44,45,46,47,48,49,50,51",1.7671507250681409,0.5,0.0,0.0
