dataset,representation,predictor,permutation_id,permutation_seed,test_pairs,spearman_true_predicted_delta,spearman_defined,direction_accuracy,delta_mae,delta_rmse,median_absolute_predicted_delta
CHEMBL1862_Ki,molformer,mlp,42,20260944,8,-0.04761904761904763,True,0.625,2.202189697114415,2.3776145070102856,0.062298774719238253
CHEMBL1862_Ki,molformer,mlp,43,20260945,8,-0.04761904761904763,True,0.625,2.225791795340962,2.418356696597829,0.01618278026580805
CHEMBL1862_Ki,molformer,mlp,44,20260946,8,0.261904761904762,True,0.625,2.1840620619930693,2.3556541940698112,0.13093316555023188
CHEMBL1862_Ki,molformer,mlp,45,20260947,8,0.2380952380952381,True,0.25,2.2450447363533446,2.402035575560384,0.06255507469177245
CHEMBL1862_Ki,molformer,mlp,46,20260948,8,0.3333333333333334,True,0.75,2.1313982588924834,2.3115114677904645,0.1346603631973266
CHEMBL1862_Ki,molformer,mlp,47,20260949,8,0.0,True,0.625,2.2159395647921034,2.407053933782114,0.06383943557739255
CHEMBL1862_Ki,molformer,mlp,48,20260950,8,0.07142857142857144,True,0.5,2.258304862467236,2.683538826583503,0.6515238285064697
CHEMBL1862_Ki,molformer,mlp,49,20260951,8,0.6666666666666669,True,0.75,2.218458039847798,2.3955221354201215,0.04643738269805905
CHEMBL1862_Ki,molformer,mlp,50,20260952,8,0.5714285714285715,True,0.5,2.2149870527662703,2.393906658313608,0.0430209636688232
CHEMBL1862_Ki,molformer,mlp,51,20260953,8,0.3333333333333334,True,0.625,2.2415226084865996,2.4336982760086774,0.0524775385856628
CHEMBL1862_Ki,molformer,xgboost,42,20260944,8,0.30952380952380953,True,0.75,2.136331794945187,2.300878821094664,0.22107458114624018
CHEMBL1862_Ki,molformer,xgboost,43,20260945,8,0.024397501823713332,True,0.125,2.2683434171356627,2.4408339786806144,0.0437914133071899
CHEMBL1862_Ki,molformer,xgboost,44,20260946,8,0.0,True,0.75,2.2023469490684935,2.418951829128586,0.08216452598571775
CHEMBL1862_Ki,molformer,xgboost,45,20260947,8,0.3192559026492481,True,0.375,2.234007401553578,2.4220218071784925,0.01006186008453365
CHEMBL1862_Ki,molformer,xgboost,46,20260948,8,0.3333333333333334,True,0.625,2.0973861796535918,2.3328781665367067,0.11340701580047599
