representation,predictor,permutation_id,target_balanced_spearman,target_balanced_direction_accuracy,target_balanced_delta_mae,target_balanced_delta_rmse,target_balanced_median_absolute_predicted_delta,targets,spearman_defined_targets
molformer,mlp,42,-0.04761904761904763,0.46153846153846156,1.8255856536497974,1.9181362771059158,0.0621852874755859,27,27
molformer,mlp,43,-0.045454545454545456,0.5,1.759855325614711,1.876474826401215,0.0661144256591796,27,27
molformer,mlp,44,0.07620320855614975,0.5294117647058824,1.7652602057973443,1.888644599695505,0.0584633350372314,27,27
molformer,mlp,45,-0.055944055944055944,0.45161290322580644,1.7865065694088638,1.8927013434212239,0.0606752634048461,27,27
molformer,mlp,46,-0.08391608391608392,0.4864864864864865,1.7573871031348207,1.8843695735859816,0.0611602067947387,27,27
molformer,mlp,47,0.02077922077922078,0.5106382978723404,1.765368815325513,1.8872170008743054,0.0577621459960937,27,27
molformer,mlp,48,0.05504273504273505,0.5,1.7706681175998285,1.926622353517183,0.0509387254714965,27,27
molformer,mlp,49,-0.03506493506493507,0.47619047619047616,1.752823746987728,1.8632316912110063,0.0599033832550048,27,27
molformer,mlp,50,0.07653743315508023,0.48936170212765956,1.7761134695425518,1.8857481535573886,0.056298017501831,27,27
molformer,mlp,51,0.03921568627450981,0.5217391304347826,1.791059520079293,1.8881326030134908,0.0544131994247436,27,27
molformer,xgboost,42,0.0872598795800859,0.46153846153846156,1.7585816911912677,1.879351782286027,0.043074548244476304,27,27
molformer,xgboost,43,0.024397501823713332,0.38461538461538464,1.7692127032259695,1.8698646813455515,0.0375827550888061,27,27
molformer,xgboost,44,-0.05082694701098844,0.36363636363636365,1.7455875844573074,1.8666363000734116,0.0611879825592041,27,27
molformer,xgboost,45,-0.09356232385443695,0.3076923076923077,1.7780128621543734,1.891524279440937,0.0137099623680114,27,27
molformer,xgboost,46,0.08571428571428573,0.42857142857142855,1.770425995042542,1.886895329991866,0.0376138687133789,27,27
molformer,xgboost,47,0.051624028839408614,0.3404255319148936,1.76418758269276,1.883794487606229,0.0331864356994628,27,27
molformer,xgboost,48,0.0,0.41935483870967744,1.7953053333134454,1.9117980956872396,0.0533480644226074,27,27
molformer,xgboost,49,0.06460958362334661,0.3888888888888889,1.7657705907487513,1.900040719697226,0.0196822881698608,27,27
molformer,xgboost,50,-0.03034424519523961,0.2692307692307692,1.778920189934118,1.9163766229436259,0.0233944654464721,27,27
molformer,xgboost,51,-0.038044578085337816,0.4444444444444444,1.7654631777576042,1.9248345947892262,0.04431784152984615,27,27
morgan,mlp,42,-0.01575984990619137,0.5,1.7903988038601417,1.9009432404024713,0.0994915962219238,27,27
morgan,mlp,43,0.009818150772645778,0.5,1.8019109080153914,1.9108689283862808,0.1072150468826294,27,27
morgan,mlp,44,-0.028449502133712654,0.5,1.76843484258496,1.892522725670447,0.10551941394805905,27,27
morgan,mlp,45,0.08048103607770583,0.5151515151515151,1.7484287125538094,1.8907622570295213,0.0951360464096069,27,27
morgan,mlp,46,0.04849312729445914,0.5294117647058824,1.757949719805999,1.896345977577069,0.10221350193023679,27,27
morgan,mlp,47,0.03859649122807017,0.5294117647058824,1.8173909227098883,1.94012146562013,0.0879337787628173,27,27
morgan,mlp,48,0.007863247863247862,0.5333333333333333,1.79031913274102,1.8975647528146058,0.1080580353736877,27,27
morgan,mlp,49,0.04296435272045029,0.525,1.7639099698583185,1.8873677517970509,0.094096302986145,27,27
morgan,mlp,50,-0.06363636363636364,0.5,1.7870022366240454,1.9059359070366688,0.0883107781410217,27,27
morgan,mlp,51,0.02497687326549491,0.5106382978723404,1.7324008627704217,1.8829706839852156,0.09112751483917231,27,27
morgan,xgboost,42,0.0,0.2647058823529412,1.7832729585851705,1.888252788383098,0.0,27,25
morgan,xgboost,43,0.07391942946153898,0.15384615384615385,1.7712857071912351,1.8918386222505146,0.0,27,25
morgan,xgboost,44,0.0437372720339539,0.1346153846153846,1.7645954224061329,1.8656873235392228,0.0,27,27
morgan,xgboost,45,-0.005781216125786004,0.15217391304347827,1.765499062423569,1.8946248015280773,0.0,27,25
morgan,xgboost,46,-0.09372367215292045,0.2,1.8043885957268104,1.9284657771687799,0.0,27,27
morgan,xgboost,47,0.06711000765613381,0.15384615384615385,1.7841945315584413,1.911074895247991,0.0,27,27
morgan,xgboost,48,-0.02851982478637006,0.1346153846153846,1.7907365620612095,1.924222216589689,0.0,27,24
morgan,xgboost,49,-0.02867255233496025,0.06666666666666667,1.7779069452545986,1.9228820556521522,0.0,27,22
morgan,xgboost,50,-0.1028876378710897,0.10526315789473684,1.783295854327225,1.917652556817684,0.0,27,22
morgan,xgboost,51,0.004955996122074594,0.1111111111111111,1.7643510504535271,1.9031358884920906,0.0,27,22
