dataset,representation,predictor,explainer,permutation_id,permutation_seed,median_normalized_ap_lift,mean_normalized_ap_lift,test_pairs
CHEMBL1862_Ki,molformer,mlp,crem_lime,42,20260944,-0.0020155590015001473,0.049869474250939044,8
CHEMBL1862_Ki,molformer,mlp,crem_lime,43,20260945,0.06342121502514556,-0.01151129970500315,8
CHEMBL1862_Ki,molformer,mlp,crem_lime,44,20260946,0.116636427138221,0.1423538502387589,8
CHEMBL1862_Ki,molformer,mlp,crem_lime,45,20260947,0.0034572330956335,0.07223373959838092,8
CHEMBL1862_Ki,molformer,mlp,crem_lime,46,20260948,0.4044983887842182,0.3104683102717391,8
CHEMBL1862_Ki,molformer,mlp,crem_lime,47,20260949,0.00286216216646235,0.049036953711025344,8
CHEMBL1862_Ki,molformer,mlp,crem_lime,48,20260950,0.046918941486812096,0.08100744698759228,8
CHEMBL1862_Ki,molformer,mlp,crem_lime,49,20260951,0.1425349841342978,0.11522308991513902,8
CHEMBL1862_Ki,molformer,mlp,crem_lime,50,20260952,0.0944324409116038,0.10948869671640166,8
CHEMBL1862_Ki,molformer,mlp,crem_lime,51,20260953,0.1982944898713503,0.15548008419495207,8
CHEMBL1862_Ki,molformer,mlp,crem_mean,42,20260944,0.18050558521274895,0.14758157716457923,8
CHEMBL1862_Ki,molformer,mlp,crem_mean,43,20260945,0.16470898832901304,0.16948054807843105,8
CHEMBL1862_Ki,molformer,mlp,crem_mean,44,20260946,0.2083595019643189,0.22502415452525584,8
CHEMBL1862_Ki,molformer,mlp,crem_mean,45,20260947,0.12688420525101904,0.22366807832028535,8
CHEMBL1862_Ki,molformer,mlp,crem_mean,46,20260948,0.20213190365446776,0.21261728435096913,8
CHEMBL1862_Ki,molformer,mlp,crem_mean,47,20260949,0.12584971023270256,0.11880428440057585,8
CHEMBL1862_Ki,molformer,mlp,crem_mean,48,20260950,0.22560762592956812,0.21493766856209084,8
CHEMBL1862_Ki,molformer,mlp,crem_mean,49,20260951,0.2521561245533528,0.2252002226280159,8
CHEMBL1862_Ki,molformer,mlp,crem_mean,50,20260952,0.3301647886522504,0.3168309750643676,8
CHEMBL1862_Ki,molformer,mlp,crem_mean,51,20260953,0.1661440368470095,0.1977645077907447,8
CHEMBL1862_Ki,molformer,xgboost,crem_lime,42,20260944,0.014207001321120499,0.17333921688763768,8
CHEMBL1862_Ki,molformer,xgboost,crem_lime,43,20260945,0.07795561018359405,0.12929808996729739,8
CHEMBL1862_Ki,molformer,xgboost,crem_lime,44,20260946,0.05270167323826,0.024279913518368976,8
CHEMBL1862_Ki,molformer,xgboost,crem_lime,45,20260947,0.1635265518553827,0.16281094620800415,8
CHEMBL1862_Ki,molformer,xgboost,crem_lime,46,20260948,0.19096708737353404,0.19791523119180948,8
CHEMBL1862_Ki,molformer,xgboost,crem_lime,47,20260949,0.09683472867707041,0.07217581237411615,8
CHEMBL1862_Ki,molformer,xgboost,crem_lime,48,20260950,0.10739289480560785,0.13069126088434999,8
CHEMBL1862_Ki,molformer,xgboost,crem_lime,49,20260951,0.1116402234660157,0.15103018978468252,8
CHEMBL1862_Ki,molformer,xgboost,crem_lime,50,20260952,0.011242206278169648,0.13914449576411775,8
CHEMBL1862_Ki,molformer,xgboost,crem_lime,51,20260953,0.1612517861215299,0.20966229389936628,8
CHEMBL1862_Ki,molformer,xgboost,crem_mean,42,20260944,0.12142441601242836,0.24012355406079466,8
CHEMBL1862_Ki,molformer,xgboost,crem_mean,43,20260945,0.18534429442456318,0.21493931794404925,8
CHEMBL1862_Ki,molformer,xgboost,crem_mean,44,20260946,0.10054419361176585,0.10490529799180655,8
CHEMBL1862_Ki,molformer,xgboost,crem_mean,45,20260947,0.12135632879953909,0.13365454664322315,8
CHEMBL1862_Ki,molformer,xgboost,crem_mean,46,20260948,0.2710734827531349,0.19486415253093617,8
CHEMBL1862_Ki,molformer,xgboost,crem_mean,47,20260949,0.14630000992977293,0.1072442379202059,8
CHEMBL1862_Ki,molformer,xgboost,crem_mean,48,20260950,0.09432724622682595,0.09149151683701018,8
CHEMBL1862_Ki,molformer,xgboost,crem_mean,49,20260951,0.1399981367262293,0.19848015127761773,8
CHEMBL1862_Ki,molformer,xgboost,crem_mean,50,20260952,0.17601327675085435,0.16803151007609063,8
CHEMBL1862_Ki,molformer,xgboost,crem_mean,51,20260953,0.2728939992433946,0.2755790243040055,8
CHEMBL1862_Ki,morgan,mlp,crem_lime,42,20260944,0.18730708355187745,0.15911821832957368,8
CHEMBL1862_Ki,morgan,mlp,crem_lime,43,20260945,0.3429110548139306,0.2744058492926725,8
CHEMBL1862_Ki,morgan,mlp,crem_lime,44,20260946,0.13312838025630883,0.16062998067996861,8
CHEMBL1862_Ki,morgan,mlp,crem_lime,45,20260947,0.1433341519455621,0.18803660777534972,8
CHEMBL1862_Ki,morgan,mlp,crem_lime,46,20260948,0.3055054960613329,0.31230003275965107,8
CHEMBL1862_Ki,morgan,mlp,crem_lime,47,20260949,0.4712625676625942,0.4003935976718312,8
CHEMBL1862_Ki,morgan,mlp,crem_lime,48,20260950,0.1827500929770049,0.19271520565929914,8
CHEMBL1862_Ki,morgan,mlp,crem_lime,49,20260951,0.30982872462047795,0.31198320714576544,8
CHEMBL1862_Ki,morgan,mlp,crem_lime,50,20260952,0.15873746745566963,0.2151388012223433,8
CHEMBL1862_Ki,morgan,mlp,crem_lime,51,20260953,0.097514074649909,0.10679667056039803,8
CHEMBL1862_Ki,morgan,mlp,crem_mean,42,20260944,0.24776633180268084,0.26142442881628136,8
CHEMBL1862_Ki,morgan,mlp,crem_mean,43,20260945,0.263037943428961,0.3073483545076289,8
CHEMBL1862_Ki,morgan,mlp,crem_mean,44,20260946,0.30625717112190515,0.22671504631895478,8
CHEMBL1862_Ki,morgan,mlp,crem_mean,45,20260947,0.24072790684905693,0.23456585993864396,8
CHEMBL1862_Ki,morgan,mlp,crem_mean,46,20260948,0.3393321379490874,0.32592278150751014,8
