representation,predictor,explainer,permutations,mean_target_balanced_nap,sd_target_balanced_nap,median_target_balanced_nap,minimum_target_balanced_nap,maximum_target_balanced_nap
molformer,mlp,crem_lime,10,0.07263618806307579,0.01392146953983765,0.0744348775936216,0.05399931498043705,0.09264660458132845
molformer,mlp,crem_mean,10,0.09899024091451042,0.008593545233597618,0.09545194602847737,0.08886034848088209,0.1105639220871028
molformer,xgboost,crem_lime,10,0.07139113778800035,0.014364784925777979,0.06957975274056363,0.05441665011663595,0.10054556355243695
molformer,xgboost,crem_mean,10,0.08646621851587503,0.01535377508664224,0.0903030034236384,0.0594762142738154,0.10226400464967636
morgan,mlp,crem_lime,10,0.11789595646310957,0.018040254203587826,0.1232491470527881,0.08816373015911466,0.1394856964953256
morgan,mlp,crem_mean,10,0.11684007385306983,0.013708830618468528,0.11460373483892969,0.102961942088905,0.14278827433589325
morgan,xgboost,crem_lime,10,0.05884022908846803,0.018787128033576135,0.058169646485209774,0.0307505018772463,0.08893984667699036
morgan,xgboost,crem_mean,10,0.03672376721399172,0.023184559612751263,0.023977174971493074,0.01636904761904755,0.0790333359802807
unimol,mlp,crem_lime,10,0.06994665439258584,0.011066647208092372,0.0673775413261922,0.05413738294322375,0.08991376574702555
unimol,mlp,crem_mean,10,0.09815858656329042,0.013323956216619647,0.09932297454945747,0.0768985815359757,0.11366274201244739
unimol,xgboost,crem_lime,10,0.06938024765599146,0.012982496337881169,0.06397805607521706,0.0541933132254606,0.09762981024279
unimol,xgboost,crem_mean,10,0.09916872724332458,0.015914098423666406,0.10010119296340864,0.0733806855118467,0.1213728244016101
