dataset,representation,predictor,explainer,permutations,mean_of_permutation_medians,sd_of_permutation_medians,median_of_permutation_medians,q25_of_permutation_medians,q75_of_permutation_medians,minimum_permutation_median,maximum_permutation_median
CHEMBL1862_Ki,molformer,mlp,crem_lime,10,0.10710407236122443,0.12351897573948485,0.07892682796837468,0.01432266019342815,0.1360603448852786,-0.0020155590015001473,0.4044983887842182
CHEMBL1862_Ki,molformer,mlp,crem_mean,10,0.1982512470626451,0.061444308863128634,0.19131874443360836,0.16506775045851216,0.22129559493825582,0.12584971023270256,0.3301647886522504
CHEMBL1862_Ki,molformer,xgboost,crem_lime,10,0.09877197633202847,0.061652227770560813,0.10211381174133913,0.059015157474593516,0.14884889545765134,0.011242206278169648,0.19096708737353404
CHEMBL1862_Ki,molformer,xgboost,crem_mean,10,0.16292753844785085,0.06438814925661233,0.14314907332800111,0.1213733506027614,0.18301154000613598,0.09432724622682595,0.2728939992433946
CHEMBL1862_Ki,morgan,mlp,crem_lime,10,0.23322790939946675,0.11855951707111383,0.18502858826444119,0.14718498082308898,0.3087479174806917,0.097514074649909,0.4712625676625942
CHEMBL1862_Ki,morgan,mlp,crem_mean,10,0.27206088545826096,0.053394096367545274,0.26406266482063745,0.2424875130874629,0.304532486116123,0.17450371559818675,0.3521949029069772
CHEMBL1862_Ki,morgan,xgboost,crem_lime,10,0.08117796931317375,0.09975299012358711,0.053210632372188975,0.02930730493513015,0.07653442624009373,-0.016642799884610447,0.29715187813589017
CHEMBL1862_Ki,morgan,xgboost,crem_mean,10,0.06283885432684008,0.07300459762990444,0.04287297831961108,0.012046123530677424,0.09346073522662489,0.0,0.23771891759238167
CHEMBL1862_Ki,unimol,mlp,crem_lime,10,0.08765183463859519,0.0760007332922307,0.06455343518654238,0.034439107011367945,0.1446440388706031,0.0106862971236729,0.2345644043986732
CHEMBL1862_Ki,unimol,mlp,crem_mean,10,0.12468676760802792,0.05440934227309069,0.13232322293558518,0.08802312567081699,0.14656484244242204,0.049964016070359496,0.2151642851379399
CHEMBL1862_Ki,unimol,xgboost,crem_lime,10,0.0596978176067678,0.08229187184391294,0.043233141249591975,0.013964543371645625,0.1196556359923242,-0.07667889895993729,0.19939210793237439
CHEMBL1862_Ki,unimol,xgboost,crem_mean,10,0.15479498808064468,0.05959191218078782,0.1435305459076753,0.1282314655335265,0.16314662807137215,0.07777389361593845,0.2898709370703476
CHEMBL1871_Ki,molformer,mlp,crem_lime,10,0.07206145993380675,0.07138642137478796,0.05901247964770815,0.013925758037196699,0.09746793181909003,0.0002051133148694,0.2006236030788727
CHEMBL1871_Ki,molformer,mlp,crem_mean,10,0.11810940737093752,0.03927346266282055,0.1143617021276595,0.10110164258010897,0.12383364086513948,0.0465425531914893,0.18258873130668
CHEMBL1871_Ki,molformer,xgboost,crem_lime,10,0.0586193656980762,0.0677385463665615,0.045218305119640256,0.00570921198810805,0.07616409900609387,-0.0062556047463167,0.2056157914163061
CHEMBL1871_Ki,molformer,xgboost,crem_mean,10,0.10207651366769029,0.05952899268988451,0.10421981292516999,0.06645638086794997,0.12998924275651244,0.0,0.2100127197280898
CHEMBL1871_Ki,morgan,mlp,crem_lime,10,0.1911229895931219,0.0699761556111723,0.18761746114704808,0.14736903176933286,0.24058195219764844,0.0930129817078346,0.3034474206349206
CHEMBL1871_Ki,morgan,mlp,crem_mean,10,0.1324558087581627,0.07411798118455278,0.10228618762542616,0.07702119309262162,0.19438583125557907,0.052312271062271,0.2502893518518518
CHEMBL1871_Ki,morgan,xgboost,crem_lime,10,0.09635598799199516,0.05777697284492465,0.0853338192767661,0.05503859270610302,0.13609383172867473,0.0113679424024251,0.1828528861997176
CHEMBL1871_Ki,morgan,xgboost,crem_mean,10,0.04645100228088143,0.06345047314325153,0.01756535947712415,0.0,0.07356366459627325,0.0,0.183564711150918
CHEMBL1871_Ki,unimol,mlp,crem_lime,10,0.1271742701299094,0.0933044584411633,0.1245724779964141,0.04811989024582153,0.18261282587736757,0.0053453604183262,0.2983262979898906
CHEMBL1871_Ki,unimol,mlp,crem_mean,10,0.13654713658461787,0.07137748219385659,0.13124677502579976,0.10893693726704778,0.15686684436389065,0.0385204081632653,0.2889582889409759
CHEMBL1871_Ki,unimol,xgboost,crem_lime,10,0.06924142842064177,0.07153463127633748,0.07666046533774565,0.01253904859286145,0.114134864851058,-0.0371325580756276,0.1846748697698452
CHEMBL1871_Ki,unimol,xgboost,crem_mean,10,0.08500921489596812,0.04505849456257077,0.07496563219918485,0.0518050630417651,0.11789492889891826,0.0284304511278195,0.1701955782312925
CHEMBL2034_Ki,molformer,mlp,crem_lime,10,0.13680478685645245,0.10266640789309041,0.12091137785779296,0.07060038828605052,0.18625097489543396,0.02493274213225835,0.3599929673842964
CHEMBL2034_Ki,molformer,mlp,crem_mean,10,0.12778603109158526,0.04737666901056511,0.11409831933498024,0.09635058193081492,0.16432174977475136,0.06357583515812285,0.2098631582262534
CHEMBL2034_Ki,molformer,xgboost,crem_lime,10,0.07105683734229794,0.04980544851134642,0.06976724546714178,0.03219907022050545,0.07960799157712248,0.0112018282187713,0.15932811816076195
CHEMBL2034_Ki,molformer,xgboost,crem_mean,10,0.11380387932326452,0.03790034175829895,0.09849571999918015,0.08858157585796542,0.149215347944762,0.0618387748598861,0.17208545422831134
CHEMBL2034_Ki,morgan,mlp,crem_lime,10,0.1580364236096912,0.09128433122597822,0.12051213690831397,0.10070400188047858,0.17887784705285842,0.07891503738811355,0.379229822767163
CHEMBL2034_Ki,morgan,mlp,crem_mean,10,0.1618504057647271,0.02750670387296653,0.17289477733249484,0.14622653665666935,0.17981630659899844,0.10537691318339355,0.1937843282709352
CHEMBL2034_Ki,morgan,xgboost,crem_lime,10,0.0990940331621831,0.05854811097543012,0.09919868957493563,0.07376197331539297,0.14121800979203736,0.0,0.18811967854175646
CHEMBL2034_Ki,morgan,xgboost,crem_mean,10,0.07505594842815763,0.09500600980912906,0.02163364589635005,0.003586401459562713,0.12112299091853801,0.0,0.25057397959183675
CHEMBL2034_Ki,unimol,mlp,crem_lime,10,0.22020635589424015,0.07909044330062569,0.23882584049185884,0.153047316962572,0.2746218298439157,0.100362879761945,0.3201443032456164
CHEMBL2034_Ki,unimol,mlp,crem_mean,10,0.16296714090370276,0.05668511747884474,0.16337948156146143,0.11376588526889267,0.21022205663391963,0.08933078312948001,0.2360407631784603
CHEMBL2034_Ki,unimol,xgboost,crem_lime,10,0.19551993446984103,0.06562261619108001,0.1733940706338657,0.15733738656841983,0.21341086783358304,0.1200912771234266,0.33395533977821473
CHEMBL2034_Ki,unimol,xgboost,crem_mean,10,0.14794038373700996,0.032615925041211385,0.14779981746267223,0.13537016527234724,0.1649192793538031,0.09396928878291425,0.2055801411011558
CHEMBL2047_EC50,molformer,mlp,crem_lime,10,0.1306337809699675,0.11096545476158531,0.11099136267077703,0.048311417098418026,0.19348089336818372,0.009125526849097499,0.36746297807381595
CHEMBL2047_EC50,molformer,mlp,crem_mean,10,0.06483274606102732,0.05093096573876341,0.07320439566340077,0.03601327244506693,0.08722162617660358,-0.0128466438552487,0.13512810406817125
