dataset,component_id,component_split,positive_atoms,total_atoms,valid_normalized_ap_prevalence
CHEMBL1862_Ki,2,calibration,4,53,True
CHEMBL1862_Ki,3,test,12,58,True
CHEMBL1862_Ki,6,calibration,9,43,True
CHEMBL1862_Ki,8,test,13,41,True
CHEMBL1862_Ki,9,test,19,57,True
CHEMBL1862_Ki,10,test,15,56,True
CHEMBL1862_Ki,11,calibration,11,59,True
CHEMBL1862_Ki,12,calibration,11,65,True
CHEMBL1862_Ki,19,test,13,49,True
CHEMBL1862_Ki,21,calibration,15,55,True
CHEMBL1862_Ki,22,test,22,58,True
CHEMBL1862_Ki,25,test,46,52,True
CHEMBL1862_Ki,24,calibration,22,62,True
CHEMBL1862_Ki,26,calibration,26,50,True
CHEMBL1862_Ki,27,test,14,60,True
CHEMBL1871_Ki,1,test,12,54,True
CHEMBL1871_Ki,5,calibration,3,47,True
CHEMBL1871_Ki,6,test,12,46,True
CHEMBL1871_Ki,8,calibration,12,45,True
CHEMBL1871_Ki,4,calibration,4,47,True
CHEMBL1871_Ki,10,calibration,8,42,True
CHEMBL1871_Ki,11,calibration,11,51,True
CHEMBL1871_Ki,12,test,17,66,True
CHEMBL1871_Ki,9,test,9,41,True
CHEMBL1871_Ki,18,test,6,38,True
CHEMBL1871_Ki,19,test,7,36,True
CHEMBL1871_Ki,14,test,8,46,True
CHEMBL1871_Ki,21,calibration,10,51,True
CHEMBL1871_Ki,25,test,4,51,True
CHEMBL1871_Ki,26,calibration,17,53,True
CHEMBL1871_Ki,32,calibration,8,60,True
CHEMBL1871_Ki,35,test,19,69,True
CHEMBL1871_Ki,37,test,14,60,True
CHEMBL1871_Ki,38,test,12,64,True
CHEMBL2034_Ki,1,test,8,54,True
CHEMBL2034_Ki,2,calibration,20,52,True
CHEMBL2034_Ki,3,test,11,59,True
CHEMBL2034_Ki,4,calibration,10,46,True
CHEMBL2034_Ki,8,test,4,55,True
CHEMBL2034_Ki,9,test,12,66,True
CHEMBL2034_Ki,13,calibration,8,60,True
CHEMBL2034_Ki,16,test,13,77,True
CHEMBL2034_Ki,18,calibration,11,66,True
CHEMBL2034_Ki,19,calibration,12,48,True
CHEMBL2034_Ki,20,test,12,50,True
CHEMBL2034_Ki,24,calibration,9,75,True
CHEMBL2034_Ki,27,calibration,4,63,True
CHEMBL2034_Ki,29,calibration,16,50,True
CHEMBL2034_Ki,31,test,9,65,True
CHEMBL2034_Ki,34,test,14,54,True
