dataset,representation,predictor,seed,variant,parent_prediction_range,mutant_prediction_range,local_domain_prediction_range,finite_local_domain,parent_rows,mutant_rows
CHEMBL4616_EC50,morgan,xgboost,42,trained,2.4402482509613037,3.070869415998459,3.070869415998459,True,40,1877
CHEMBL4616_EC50,morgan,xgboost,42,label_permuted,0.07397806644439697,0.1193307638168335,0.1193307638168335,True,40,1877
CHEMBL4616_EC50,morgan,mlp,42,trained,4.00144100189209,3.7527127265930176,4.076815843582153,True,40,1877
CHEMBL4616_EC50,morgan,mlp,42,label_permuted,0.5632176399230957,0.7040271759033203,0.7040271759033203,True,40,1877
CHEMBL239_EC50,morgan,xgboost,42,trained,3.0977697372436523,3.5535584688186646,3.5535584688186646,True,130,6952
CHEMBL239_EC50,morgan,xgboost,42,label_permuted,0.4242985248565674,0.6157193183898926,0.6157193183898926,True,130,6952
CHEMBL239_EC50,morgan,mlp,42,trained,4.472776412963867,4.706847906112671,4.706847906112671,True,130,6952
CHEMBL239_EC50,morgan,mlp,42,label_permuted,1.1483070850372314,1.552459716796875,1.552459716796875,True,130,6952
CHEMBL2835_Ki,morgan,xgboost,42,trained,3.7413136959075928,4.1216670870780945,4.1216670870780945,True,20,529
CHEMBL2835_Ki,morgan,xgboost,42,label_permuted,0.09605088829994202,0.11794844269752502,0.11794844269752502,True,20,529
CHEMBL2835_Ki,morgan,mlp,42,trained,3.7486143112182617,3.762054204940796,3.810031771659851,True,20,529
CHEMBL2835_Ki,morgan,mlp,42,label_permuted,0.7670599818229675,1.1008591651916504,1.1008591651916504,True,20,529
CHEMBL2147_Ki,morgan,xgboost,42,trained,4.890340805053711,5.030517339706421,5.056130409240723,True,54,1632
CHEMBL2147_Ki,morgan,xgboost,42,label_permuted,1.679933786392212,1.723326861858368,1.723326861858368,True,54,1632
CHEMBL2147_Ki,morgan,mlp,42,trained,5.701835632324219,6.47628116607666,6.47628116607666,True,54,1632
CHEMBL2147_Ki,morgan,mlp,42,label_permuted,2.008373975753784,2.6188331842422485,2.6188331842422485,True,54,1632
CHEMBL287_Ki,morgan,xgboost,42,trained,3.970280647277832,4.35458916425705,4.35458916425705,True,102,2395
CHEMBL287_Ki,morgan,xgboost,42,label_permuted,0.6996821165084839,0.9778056144714355,0.9778056144714355,True,102,2395
CHEMBL287_Ki,morgan,mlp,42,trained,3.8415961265563965,4.033953547477722,4.033953547477722,True,102,2395
CHEMBL287_Ki,morgan,mlp,42,label_permuted,0.7158212661743164,1.1335088014602661,1.1335088014602661,True,102,2395
CHEMBL244_Ki,morgan,xgboost,42,trained,5.516533851623535,6.651372075080872,6.651372075080872,True,204,8954
CHEMBL244_Ki,morgan,xgboost,42,label_permuted,0.12662804126739502,0.1632617712020874,0.1632617712020874,True,204,8954
CHEMBL244_Ki,morgan,mlp,42,trained,5.520756721496582,6.267223834991455,6.267223834991455,True,204,8954
CHEMBL244_Ki,morgan,mlp,42,label_permuted,1.2970209121704102,2.040203630924225,2.040203630924225,True,204,8954
CHEMBL4616_EC50,molformer,xgboost,42,trained,1.9759865999221802,3.2305117547512054,3.2305117547512054,True,40,1877
CHEMBL4616_EC50,molformer,xgboost,42,label_permuted,0.2979162931442261,0.4743068218231201,0.4743068218231201,True,40,1877
CHEMBL4616_EC50,molformer,mlp,42,trained,2.785630702972412,4.050266861915588,4.050266861915588,True,40,1877
CHEMBL4616_EC50,molformer,mlp,42,label_permuted,1.7932531833648682,2.094024658203125,2.094024658203125,True,40,1877
CHEMBL239_EC50,molformer,xgboost,42,trained,3.171419382095337,3.0754339694976807,3.341472864151001,True,130,6952
CHEMBL239_EC50,molformer,xgboost,42,label_permuted,0.8212180137634277,1.0626075267791748,1.0626075267791748,True,130,6952
CHEMBL239_EC50,molformer,mlp,42,trained,4.181768417358398,4.910746335983276,4.910746335983276,True,130,6952
CHEMBL239_EC50,molformer,mlp,42,label_permuted,0.7212011814117432,1.0614750385284424,1.0614750385284424,True,130,6952
CHEMBL2835_Ki,molformer,xgboost,42,trained,3.715975522994995,3.648678421974182,3.7300846874713898,True,20,529
CHEMBL2835_Ki,molformer,xgboost,42,label_permuted,0.07446378469467163,0.11796960234642029,0.11796960234642029,True,20,529
CHEMBL2835_Ki,molformer,mlp,42,trained,3.882437229156494,4.256316721439362,4.269382357597351,True,20,529
CHEMBL2835_Ki,molformer,mlp,42,label_permuted,0.8118205666542053,0.833544909954071,0.851370632648468,True,20,529
CHEMBL2147_Ki,molformer,xgboost,42,trained,4.7494330406188965,4.98833703994751,4.98833703994751,True,54,1632
CHEMBL2147_Ki,molformer,xgboost,42,label_permuted,1.223722219467163,1.6282307803630829,1.6282307803630829,True,54,1632
CHEMBL2147_Ki,molformer,mlp,42,trained,5.555749893188477,6.0495781898498535,6.0495781898498535,True,54,1632
CHEMBL2147_Ki,molformer,mlp,42,label_permuted,1.0887951850891113,1.640857994556427,1.640857994556427,True,54,1632
CHEMBL287_Ki,molformer,xgboost,42,trained,3.1095476150512695,3.730648696422577,3.730648696422577,True,102,2395
CHEMBL287_Ki,molformer,xgboost,42,label_permuted,0.10672545433044434,0.14233529567718506,0.14233529567718506,True,102,2395
CHEMBL287_Ki,molformer,mlp,42,trained,4.57598876953125,5.74306333065033,5.74306333065033,True,102,2395
CHEMBL287_Ki,molformer,mlp,42,label_permuted,0.7718867063522339,1.0237106084823608,1.0237106084823608,True,102,2395
CHEMBL244_Ki,molformer,xgboost,42,trained,5.004443168640137,5.63119912147522,5.63119912147522,True,204,8954
CHEMBL244_Ki,molformer,xgboost,42,label_permuted,0.1570436954498291,0.16955626010894775,0.16955626010894775,True,204,8954
CHEMBL244_Ki,molformer,mlp,42,trained,5.5777587890625,6.940476417541504,6.940476417541504,True,204,8954
CHEMBL244_Ki,molformer,mlp,42,label_permuted,1.2485508918762207,1.4745488166809082,1.4745488166809082,True,204,8954
CHEMBL4616_EC50,unimol,xgboost,42,trained,1.6192879676818848,2.9278795421123505,2.9278795421123505,True,40,1877
CHEMBL4616_EC50,unimol,xgboost,42,label_permuted,0.3602325916290283,0.8206838369369507,0.8206838369369507,True,40,1877
CHEMBL4616_EC50,unimol,mlp,42,trained,2.14680552482605,2.7421109676361084,2.7421109676361084,True,40,1877
CHEMBL4616_EC50,unimol,mlp,42,label_permuted,1.2004423141479492,1.9914461970329285,1.9914461970329285,True,40,1877
CHEMBL239_EC50,unimol,xgboost,42,trained,2.15663480758667,2.879968047142029,2.879968047142029,True,130,6952
CHEMBL239_EC50,unimol,xgboost,42,label_permuted,0.2232379913330078,0.280322790145874,0.280322790145874,True,130,6952
CHEMBL239_EC50,unimol,mlp,42,trained,2.4589908123016357,3.16899836063385,3.16899836063385,True,130,6952
CHEMBL239_EC50,unimol,mlp,42,label_permuted,0.6335322856903076,1.2565653324127197,1.2565653324127197,True,130,6952
CHEMBL2835_Ki,unimol,xgboost,42,trained,3.064035654067993,3.3339785635471344,3.3339785635471344,True,20,529
CHEMBL2835_Ki,unimol,xgboost,42,label_permuted,0.1357186734676361,0.1357186734676361,0.1357186734676361,True,20,529
CHEMBL2835_Ki,unimol,mlp,42,trained,3.793987274169922,4.25970596075058,4.25970596075058,True,20,529
CHEMBL2835_Ki,unimol,mlp,42,label_permuted,0.7364639043807983,1.0551792085170746,1.0551792085170746,True,20,529
CHEMBL2147_Ki,unimol,xgboost,42,trained,4.874680519104004,5.232712745666504,5.232712745666504,True,54,1632
CHEMBL2147_Ki,unimol,xgboost,42,label_permuted,0.9517895579338074,1.2675725221633911,1.2675725221633911,True,54,1632
CHEMBL2147_Ki,unimol,mlp,42,trained,6.094892501831055,7.39624547958374,7.39624547958374,True,54,1632
CHEMBL2147_Ki,unimol,mlp,42,label_permuted,1.4789021015167236,1.4806269407272339,1.611207902431488,True,54,1632
CHEMBL287_Ki,unimol,xgboost,42,trained,2.667039394378662,3.4601965323090553,3.4601965323090553,True,102,2395
CHEMBL287_Ki,unimol,xgboost,42,label_permuted,0.13728654384613037,0.13728654384613037,0.13728654384613037,True,102,2395
CHEMBL287_Ki,unimol,mlp,42,trained,4.493629455566406,5.601609110832214,5.601609110832214,True,102,2395
CHEMBL287_Ki,unimol,mlp,42,label_permuted,0.6387715339660645,1.0732554197311401,1.0732554197311401,True,102,2395
CHEMBL244_Ki,unimol,xgboost,42,trained,4.374237537384033,5.306313455104828,5.306313455104828,True,204,8954
CHEMBL244_Ki,unimol,xgboost,42,label_permuted,0.3984396457672119,0.46953701972961426,0.46953701972961426,True,204,8954
CHEMBL244_Ki,unimol,mlp,42,trained,6.1520280838012695,6.828333616256714,6.850898027420044,True,204,8954
CHEMBL244_Ki,unimol,mlp,42,label_permuted,1.2313966751098633,1.5783679485321045,1.5783679485321045,True,204,8954
