dataset,component_id,component_split,left_index,right_index,positive_atoms,total_atoms,valid_normalized_ap_prevalence
CHEMBL1862_Ki,0,calibration,21,24,12,75,True
CHEMBL1862_Ki,2,calibration,53,164,4,53,True
CHEMBL1862_Ki,3,test,60,126,12,58,True
CHEMBL1862_Ki,8,test,109,114,13,41,True
CHEMBL1862_Ki,11,calibration,139,143,11,59,True
CHEMBL1862_Ki,12,calibration,141,145,11,65,True
CHEMBL1862_Ki,13,test,169,341,17,69,True
CHEMBL1862_Ki,16,test,214,330,20,73,True
CHEMBL1862_Ki,18,test,394,397,18,46,True
CHEMBL1862_Ki,1,test,403,405,8,56,True
CHEMBL1862_Ki,20,calibration,419,420,14,48,True
CHEMBL1862_Ki,19,calibration,431,477,13,49,True
CHEMBL1862_Ki,24,test,616,664,22,62,True
CHEMBL1862_Ki,26,calibration,693,729,26,50,True
CHEMBL1862_Ki,28,test,722,776,18,54,True
CHEMBL1871_Ki,1,calibration,9,11,12,54,True
CHEMBL1871_Ki,5,test,37,61,3,47,True
CHEMBL1871_Ki,6,calibration,91,92,12,46,True
CHEMBL1871_Ki,4,calibration,103,106,4,47,True
CHEMBL1871_Ki,10,calibration,145,149,8,42,True
CHEMBL1871_Ki,11,test,173,175,11,51,True
CHEMBL1871_Ki,12,test,182,185,17,66,True
CHEMBL1871_Ki,15,calibration,214,215,5,38,True
CHEMBL1871_Ki,16,test,222,381,8,56,True
CHEMBL1871_Ki,9,calibration,228,239,9,41,True
CHEMBL1871_Ki,17,calibration,244,308,13,41,True
CHEMBL1871_Ki,18,test,248,252,6,38,True
CHEMBL1871_Ki,23,test,369,379,22,44,True
CHEMBL1871_Ki,25,test,408,409,4,51,True
CHEMBL1871_Ki,26,test,448,471,17,53,True
CHEMBL1871_Ki,28,test,450,480,14,55,True
CHEMBL1871_Ki,35,test,574,576,19,69,True
CHEMBL1871_Ki,36,test,577,579,7,69,True
CHEMBL1871_Ki,38,calibration,602,609,12,64,True
CHEMBL2034_Ki,1,calibration,14,69,8,54,True
CHEMBL2034_Ki,4,calibration,50,52,10,46,True
CHEMBL2034_Ki,5,test,51,53,6,52,True
CHEMBL2034_Ki,6,test,100,108,8,58,True
CHEMBL2034_Ki,7,calibration,105,107,8,60,True
CHEMBL2034_Ki,8,calibration,109,114,4,55,True
CHEMBL2034_Ki,9,test,165,172,12,66,True
CHEMBL2034_Ki,15,test,232,235,8,64,True
CHEMBL2034_Ki,16,calibration,251,256,13,77,True
CHEMBL2034_Ki,18,test,259,268,11,66,True
CHEMBL2034_Ki,20,test,300,301,12,50,True
CHEMBL2034_Ki,24,test,369,371,9,75,True
CHEMBL2034_Ki,25,calibration,381,382,8,50,True
CHEMBL2034_Ki,28,calibration,409,410,3,53,True
CHEMBL2034_Ki,29,test,423,493,16,50,True
CHEMBL2034_Ki,33,test,495,496,12,66,True
CHEMBL2034_Ki,32,calibration,497,502,7,70,True
CHEMBL2034_Ki,34,test,512,517,14,54,True
CHEMBL2034_Ki,35,test,520,528,20,54,True
CHEMBL2034_Ki,40,calibration,617,621,23,55,True
CHEMBL2034_Ki,44,test,683,692,25,83,True
CHEMBL2034_Ki,45,calibration,705,716,29,79,True
CHEMBL2034_Ki,46,calibration,726,737,28,56,True
CHEMBL2034_Ki,47,calibration,743,744,16,64,True
CHEMBL2047_EC50,2,test,10,590,20,64,True
CHEMBL2047_EC50,4,test,42,94,22,66,True
CHEMBL2047_EC50,5,test,57,284,12,67,True
CHEMBL2047_EC50,3,calibration,84,285,13,69,True
CHEMBL2047_EC50,7,calibration,127,128,8,59,True
CHEMBL2047_EC50,8,test,150,154,6,78,True
CHEMBL2047_EC50,0,calibration,168,486,12,64,True
CHEMBL2047_EC50,10,test,170,184,18,58,True
CHEMBL2047_EC50,11,test,172,185,20,56,True
CHEMBL2047_EC50,12,test,175,183,10,64,True
CHEMBL2047_EC50,16,calibration,229,243,9,77,True
CHEMBL2047_EC50,18,test,324,342,10,66,True
CHEMBL2047_EC50,19,calibration,334,340,18,64,True
CHEMBL2047_EC50,20,calibration,335,337,4,67,True
CHEMBL2047_EC50,23,test,387,388,8,48,True
CHEMBL2047_EC50,24,calibration,396,409,4,55,True
CHEMBL2047_EC50,25,calibration,413,415,26,78,True
CHEMBL2047_EC50,28,test,533,541,12,68,True
CHEMBL204_Ki,0,test,0,29,9,74,True
CHEMBL204_Ki,3,calibration,13,30,12,80,True
CHEMBL204_Ki,6,test,62,818,38,54,True
CHEMBL204_Ki,7,test,63,1393,12,56,True
CHEMBL204_Ki,10,test,100,121,18,86,True
CHEMBL204_Ki,13,test,109,1332,18,82,True
CHEMBL204_Ki,12,test,112,147,23,77,True
CHEMBL204_Ki,14,calibration,113,128,14,88,True
CHEMBL204_Ki,11,test,118,1395,28,95,True
CHEMBL204_Ki,25,test,167,217,13,68,True
CHEMBL204_Ki,19,test,185,227,4,67,True
CHEMBL204_Ki,26,calibration,186,222,16,66,True
CHEMBL204_Ki,9,calibration,257,267,15,72,True
CHEMBL204_Ki,31,calibration,285,302,28,72,True
CHEMBL204_Ki,30,calibration,289,306,15,71,True
CHEMBL204_Ki,35,calibration,297,346,24,40,True
CHEMBL204_Ki,36,calibration,305,316,8,68,True
CHEMBL204_Ki,40,calibration,330,344,4,41,True
CHEMBL204_Ki,44,test,412,427,15,65,True
CHEMBL204_Ki,48,test,419,465,13,69,True
CHEMBL204_Ki,49,calibration,423,434,11,68,True
CHEMBL204_Ki,47,calibration,424,454,14,77,True
CHEMBL204_Ki,46,test,437,1965,24,73,True
CHEMBL204_Ki,53,calibration,477,501,21,73,True
CHEMBL204_Ki,51,calibration,487,493,20,80,True
CHEMBL204_Ki,27,calibration,518,569,17,57,True
CHEMBL204_Ki,57,test,522,603,11,95,True
CHEMBL204_Ki,58,test,523,577,6,106,True
CHEMBL204_Ki,56,calibration,529,567,3,61,True
CHEMBL204_Ki,61,test,547,842,4,65,True
CHEMBL204_Ki,62,test,549,566,18,61,True
CHEMBL204_Ki,63,calibration,552,1854,40,64,True
CHEMBL204_Ki,65,test,584,2662,28,44,True
CHEMBL204_Ki,67,calibration,606,1511,5,66,True
CHEMBL204_Ki,70,test,619,691,8,64,True
CHEMBL204_Ki,72,test,635,689,4,41,True
CHEMBL204_Ki,77,calibration,742,2674,23,61,True
CHEMBL204_Ki,86,test,870,1443,4,63,True
CHEMBL204_Ki,90,calibration,944,951,29,53,True
CHEMBL204_Ki,55,calibration,995,999,3,71,True
CHEMBL204_Ki,91,calibration,1022,1028,20,82,True
CHEMBL204_Ki,96,test,1201,1228,21,77,True
CHEMBL204_Ki,16,calibration,1224,1713,12,76,True
CHEMBL204_Ki,101,calibration,1313,1336,11,73,True
CHEMBL204_Ki,105,calibration,1349,1412,14,64,True
CHEMBL204_Ki,104,test,1358,1406,17,91,True
CHEMBL204_Ki,83,calibration,1405,1477,20,65,True
CHEMBL204_Ki,108,calibration,1441,1452,13,66,True
CHEMBL204_Ki,106,test,1442,1489,19,65,True
CHEMBL204_Ki,109,test,1451,1459,12,60,True
CHEMBL204_Ki,114,calibration,1512,1520,22,70,True
CHEMBL204_Ki,117,test,1560,1571,7,49,True
CHEMBL204_Ki,120,test,1607,1646,17,69,True
CHEMBL204_Ki,123,calibration,1635,1652,4,53,True
CHEMBL204_Ki,121,test,1647,1663,3,75,True
CHEMBL204_Ki,124,calibration,1668,1699,8,62,True
CHEMBL204_Ki,126,calibration,1678,1686,16,56,True
CHEMBL204_Ki,127,calibration,1706,1733,4,69,True
CHEMBL204_Ki,24,calibration,1744,1755,13,64,True
CHEMBL204_Ki,129,test,1750,2393,32,62,True
CHEMBL204_Ki,122,test,1763,1800,20,79,True
CHEMBL204_Ki,130,calibration,1784,1794,17,71,True
CHEMBL204_Ki,131,test,1813,1814,18,98,True
CHEMBL204_Ki,132,calibration,1815,1817,8,68,True
CHEMBL204_Ki,133,test,1816,1818,11,71,True
CHEMBL204_Ki,134,calibration,1830,2706,6,52,True
CHEMBL204_Ki,141,test,1942,1943,20,62,True
CHEMBL204_Ki,143,test,1972,1985,29,81,True
CHEMBL204_Ki,146,test,2042,2045,10,60,True
CHEMBL204_Ki,147,test,2060,2063,13,81,True
CHEMBL204_Ki,148,test,2067,2072,17,70,True
CHEMBL204_Ki,149,test,2089,2106,14,70,True
CHEMBL204_Ki,152,test,2174,2181,10,82,True
CHEMBL204_Ki,156,test,2203,2210,14,68,True
CHEMBL204_Ki,155,calibration,2206,2370,41,60,True
CHEMBL204_Ki,157,calibration,2269,2275,9,67,True
CHEMBL204_Ki,159,calibration,2276,2282,6,79,True
CHEMBL204_Ki,160,calibration,2279,2280,19,81,True
CHEMBL204_Ki,161,calibration,2308,2318,25,85,True
CHEMBL204_Ki,162,calibration,2329,2347,28,74,True
CHEMBL204_Ki,165,test,2389,2400,28,70,True
CHEMBL204_Ki,168,test,2437,2483,4,79,True
CHEMBL204_Ki,169,calibration,2444,2503,17,81,True
CHEMBL204_Ki,170,test,2445,2449,6,70,True
CHEMBL204_Ki,171,test,2450,2461,17,69,True
CHEMBL204_Ki,176,calibration,2508,2509,5,56,True
CHEMBL204_Ki,178,calibration,2577,2580,12,79,True
CHEMBL204_Ki,181,test,2646,2648,15,78,True
CHEMBL204_Ki,182,test,2658,2659,4,63,True
CHEMBL204_Ki,185,test,2713,2720,21,57,True
CHEMBL204_Ki,128,test,2734,2735,6,58,True
CHEMBL204_Ki,187,test,2745,2750,4,49,True
CHEMBL2147_Ki,1,calibration,22,1445,30,56,True
CHEMBL2147_Ki,4,calibration,85,88,18,48,True
CHEMBL2147_Ki,6,test,131,270,12,58,True
CHEMBL2147_Ki,7,calibration,137,605,4,55,True
CHEMBL2147_Ki,11,test,176,438,24,48,True
CHEMBL2147_Ki,15,calibration,378,630,22,52,True
CHEMBL2147_Ki,18,test,445,541,3,47,True
CHEMBL2147_Ki,14,test,467,494,12,57,True
CHEMBL2147_Ki,9,calibration,508,1094,54,54,False
CHEMBL2147_Ki,17,calibration,615,674,26,32,True
CHEMBL2147_Ki,20,test,662,667,34,44,True
CHEMBL2147_Ki,22,test,681,898,25,59,True
CHEMBL2147_Ki,25,test,719,1443,15,59,True
CHEMBL2147_Ki,30,test,770,1185,31,66,True
CHEMBL2147_Ki,31,calibration,801,812,15,59,True
CHEMBL2147_Ki,33,calibration,821,1179,18,62,True
CHEMBL2147_Ki,32,test,822,1138,34,62,True
CHEMBL2147_Ki,34,calibration,828,830,17,65,True
CHEMBL2147_Ki,39,test,922,931,13,61,True
CHEMBL2147_Ki,40,test,942,1025,31,55,True
CHEMBL2147_Ki,43,calibration,1083,1084,20,58,True
CHEMBL2147_Ki,44,calibration,1146,1149,15,79,True
CHEMBL2147_Ki,45,test,1147,1160,15,67,True
CHEMBL2147_Ki,47,test,1180,1183,4,67,True
CHEMBL2147_Ki,49,test,1233,1240,16,72,True
CHEMBL2147_Ki,50,calibration,1252,1253,10,64,True
CHEMBL2147_Ki,52,calibration,1447,1449,9,49,True
CHEMBL214_Ki,1,test,6,58,24,50,True
CHEMBL214_Ki,4,calibration,30,31,22,42,True
CHEMBL214_Ki,5,calibration,36,3234,24,36,True
CHEMBL214_Ki,10,calibration,82,106,33,80,True
CHEMBL214_Ki,7,calibration,86,105,17,57,True
CHEMBL214_Ki,11,calibration,113,115,18,60,True
CHEMBL214_Ki,3,test,140,184,32,54,True
CHEMBL214_Ki,16,test,174,626,37,48,True
CHEMBL214_Ki,17,calibration,176,177,13,47,True
CHEMBL214_Ki,19,test,198,209,4,53,True
CHEMBL214_Ki,21,calibration,246,816,18,28,True
CHEMBL214_Ki,22,calibration,254,2309,8,48,True
CHEMBL214_Ki,24,calibration,285,287,8,64,True
CHEMBL214_Ki,25,calibration,297,298,10,60,True
CHEMBL214_Ki,27,calibration,329,728,28,54,True
CHEMBL214_Ki,26,test,344,358,16,60,True
CHEMBL214_Ki,30,test,372,388,26,42,True
CHEMBL214_Ki,32,test,378,397,8,68,True
CHEMBL214_Ki,33,test,407,413,4,35,True
