dataset,pair_index,left_index,right_index,component_id,component_split,is_sentinel,potency_difference,distance_to_component_median,component_pair_count,component_median_potency_difference,original_pair_index,original_left_index,original_right_index,original_potency_difference,same_as_original,mcs_atoms,match,rationale_left,rationale_right,rationale_valid,rationale_failure_reason,positive_atoms,total_atoms,valid_normalized_ap_prevalence
CHEMBL1862_Ki,17,60,61,3,test,True,1.4483495121496377,0.0,23,1.4483495121496377,30,60,126,1.960232873128512,False,28,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [7, 6], [8, 7], [9, 8], [10, 9], [11, 10], [12, 11], [13, 12], [14, 13], [15, 14], [16, 15], [17, 16], [18, 17], [19, 18], [20, 19], [21, 20], [22, 25], [23, 24], [24, 23], [25, 22], [26, 21], [27, 26], [28, 27]]","[4, 5, 6, 7, 8]","[4, 5, 6, 7]",True,,9,57,True
CHEMBL1862_Ki,42,109,114,8,test,True,1.1024864785694142,0.0,1,1.1024864785694142,42,109,114,1.1024864785694142,True,20,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 8], [8, 14], [9, 13], [10, 11], [11, 12], [12, 10], [13, 9], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20]]","[5, 6, 7, 8, 13, 14]","[5, 6, 7, 8, 9, 14, 15]",True,,13,41,True
CHEMBL1862_Ki,58,163,165,9,test,True,1.2232038037013222,0.014014361800121833,4,1.237218165501444,44,115,163,1.4273237863572463,False,27,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 9], [7, 8], [8, 7], [9, 13], [10, 11], [11, 12], [12, 10], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [20, 21], [21, 26], [22, 25], [23, 24], [24, 23], [25, 22], [26, 27], [27, 28]]","[4, 5, 6, 7, 12, 17, 18, 19, 20]","[4, 5, 6, 7, 8, 13, 18, 19, 20, 21]",True,,19,57,True
CHEMBL1862_Ki,53,136,137,10,test,True,1.698970004336018,0.451544993495973,6,2.150514997831991,52,135,144,3.4771212547196644,False,27,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 8], [8, 9], [9, 10], [10, 11], [11, 13], [12, 14], [13, 15], [14, 16], [15, 17], [16, 18], [17, 19], [18, 20], [19, 21], [20, 22], [21, 23], [22, 24], [23, 25], [24, 26], [25, 27], [26, 28]]",[],"[5, 6, 7, 8, 10, 11, 12]",True,,7,56,True
CHEMBL1862_Ki,483,540,753,19,test,True,1.518876002826663,0.0,563,1.518876002826663,150,431,477,3.39794000867204,False,17,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [20, 21], [21, 22]]","[8, 9, 10, 11, 12, 13, 14]","[8, 9, 10, 11, 12, 13, 14, 15]",True,,15,45,True
CHEMBL1862_Ki,266,456,533,22,test,True,1.414973347970819,0.0,1,1.414973347970819,266,456,533,1.414973347970819,True,21,"[[6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20], [21, 21], [22, 22], [23, 23], [24, 24], [25, 25], [26, 26]]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 27, 28]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 27, 28]",True,,22,58,True
CHEMBL1862_Ki,543,576,727,25,test,True,3.330413773349191,0.15051499783198974,2,3.1798987755172012,543,576,727,3.330413773349191,True,21,"[[1, 11], [2, 12], [3, 13], [4, 21], [5, 22], [6, 10], [7, 17], [8, 18], [9, 19], [10, 14], [12, 6], [13, 7], [14, 8], [15, 9], [16, 2], [17, 1], [18, 0], [20, 23], [21, 24], [24, 15], [25, 16]]","[0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25]",True,,46,52,True
CHEMBL1862_Ki,708,701,706,27,test,True,1.439332693830261,0.0,23,1.439332693830261,715,709,711,1.8195439355418688,False,30,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20], [21, 21], [22, 22], [24, 23], [25, 28], [26, 27], [27, 26], [28, 25], [29, 24], [30, 29]]","[21, 22, 23, 24, 25, 29, 30]","[21, 22, 23, 24, 28, 29]",True,,13,61,True
CHEMBL1871_Ki,4,10,11,1,test,True,1.1369476440813149,0.0,7,1.1369476440813149,2,9,11,1.429673476956717,False,26,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 11], [11, 10], [12, 14], [13, 15], [14, 16], [15, 17], [16, 18], [17, 19], [18, 20], [19, 21], [20, 22], [21, 23], [22, 24], [23, 26], [24, 25], [25, 27]]","[8, 9, 10, 11, 12]","[8, 9, 10, 11, 12, 13, 14]",True,,12,54,True
CHEMBL1871_Ki,13,91,92,6,test,True,1.0778867756946262,0.0,1,1.0778867756946262,13,91,92,1.0778867756946262,True,22,"[[1, 0], [2, 1], [3, 2], [4, 3], [5, 4], [6, 5], [7, 6], [8, 7], [9, 8], [10, 9], [11, 10], [12, 11], [13, 12], [14, 13], [15, 14], [16, 15], [17, 16], [18, 17], [19, 19], [20, 18], [21, 20], [22, 21]]","[0, 1, 2, 13, 18, 21, 22, 23]","[12, 17, 20, 21]",True,,12,46,True
